# Filename	C:\Users\labuser\Documents\Data\2018-11-02\2_fscan.txt
# Date	2018-11-3-1:51
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 25 dB. Laser at -100 GHz with -10 GHz Limit. MW Pulse from Laser -200 ns to -100 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.009	0.065	0.091
18502000000.000	-0.009	0.069	0.083
18504000000.000	-0.009	0.063	0.078
18506000000.000	-0.009	0.041	0.086
18508000000.000	-0.009	0.055	0.084
18510000000.000	-0.009	0.047	0.088
18512000000.000	-0.009	0.042	0.066
18514000000.000	-0.009	0.054	0.079
18516000000.000	-0.009	0.070	0.078
18518000000.000	-0.009	0.068	0.090
18520000000.000	-0.009	0.081	0.095
18500200000.000	-0.009	0.086	0.110
18502200000.000	-0.009	0.074	0.101
18504200000.000	-0.009	0.053	0.088
18506200000.000	-0.009	0.068	0.093
18508200000.000	-0.009	0.040	0.091
18510200000.000	-0.009	0.025	0.091
18512200000.000	-0.009	0.039	0.080
18514200000.000	-0.009	0.059	0.070
18516200000.000	-0.009	0.059	0.081
18518200000.000	-0.009	0.067	0.090
18500400000.000	-0.009	0.069	0.097
18502400000.000	-0.009	0.077	0.061
18504400000.000	-0.009	0.064	0.099
18506400000.000	-0.009	0.062	0.091
18508400000.000	-0.009	0.058	0.103
18510400000.000	-0.009	0.045	0.102
18512400000.000	-0.009	0.061	0.101
18514400000.000	-0.009	0.058	0.114
18516400000.000	-0.009	0.086	0.107
18518400000.000	-0.009	0.089	0.094
18500600000.000	-0.009	0.088	0.122
18502600000.000	-0.009	0.074	0.122
18504600000.000	-0.009	0.076	0.101
18506600000.000	-0.009	0.060	0.086
18508600000.000	-0.009	0.049	0.094
18510600000.000	-0.009	0.030	0.083
18512600000.000	-0.009	0.060	0.102
18514600000.000	-0.009	0.059	0.101
18516600000.000	-0.009	0.064	0.088
18518600000.000	-0.009	0.076	0.097
18500800000.000	-0.009	0.071	0.087
18502800000.000	-0.009	0.088	0.111
18504800000.000	-0.009	0.074	0.101
18506800000.000	-0.009	0.058	0.103
18508800000.000	-0.009	0.053	0.099
18510800000.000	-0.009	0.048	0.107
18512800000.000	-0.009	0.061	0.080
18514800000.000	-0.009	0.065	0.100
18516800000.000	-0.009	0.070	0.095
18518800000.000	-0.009	0.076	0.103
18501000000.000	-0.009	0.071	0.085
18503000000.000	-0.009	0.074	0.102
18505000000.000	-0.009	0.070	0.099
18507000000.000	-0.009	0.060	0.090
18509000000.000	-0.009	0.038	0.098
18511000000.000	-0.009	0.033	0.104
18513000000.000	-0.009	0.064	0.077
18515000000.000	-0.009	0.049	0.079
18517000000.000	-0.009	0.060	0.093
18519000000.000	-0.009	0.062	0.095
18501200000.000	-0.009	0.066	0.104
18503200000.000	-0.009	0.069	0.089
18505200000.000	-0.009	0.055	0.113
18507200000.000	-0.009	0.064	0.097
18509200000.000	-0.009	0.062	0.108
18511200000.000	-0.009	0.053	0.104
18513200000.000	-0.009	0.057	0.112
18515200000.000	-0.009	0.068	0.099
18517200000.000	-0.009	0.074	0.092
18519200000.000	-0.009	0.075	0.080
18501400000.000	-0.009	0.071	0.084
18503400000.000	-0.009	0.061	0.100
18505400000.000	-0.009	0.067	0.078
18507400000.000	-0.009	0.044	0.078
18509400000.000	-0.009	0.045	0.078
18511400000.000	-0.009	0.047	0.081
18513400000.000	-0.009	0.057	0.079
18515400000.000	-0.009	0.085	0.099
18517400000.000	-0.009	0.072	0.102
18519400000.000	-0.009	0.084	0.104
18501600000.000	-0.009	0.086	0.104
18503600000.000	-0.009	0.084	0.099
18505600000.000	-0.009	0.073	0.083
18507600000.000	-0.009	0.065	0.105
18509600000.000	-0.009	0.046	0.089
18511600000.000	-0.009	0.062	0.102
18513600000.000	-0.009	0.063	0.079
18515600000.000	-0.009	0.079	0.092
18517600000.000	-0.009	0.083	0.093
18519600000.000	-0.009	0.071	0.087
18501800000.000	-0.009	0.076	0.079
18503800000.000	-0.009	0.072	0.087
18505800000.000	-0.009	0.063	0.081
18507800000.000	-0.009	0.043	0.083
18509800000.000	-0.009	0.040	0.092
18511800000.000	-0.009	0.046	0.091
18513800000.000	-0.009	0.066	0.091
18515800000.000	-0.009	0.071	0.099
18517800000.000	-0.009	0.074	0.102
18519800000.000	-0.009	0.081	0.094
