# Diode Laser Delay Scan w/ MW and PM
# MW at 19 dB, Phase Modulation at 32.5 dB (~1.4)
# Center at -10 GHz
# Hittite at 18.6 dBm and 18510.1 MHz
i	d	n	nb	s	sb
119.000	132827.000	1.000	0.000	0.031	-0.004
120.000	131755.000	1.000	0.000	0.038	-0.004
121.000	130683.000	1.000	0.000	0.035	-0.004
122.000	129612.000	1.000	0.000	0.050	-0.004
123.000	128540.000	1.000	0.000	0.047	-0.004
124.000	127468.000	1.000	0.000	0.038	-0.004
125.000	126396.000	1.000	0.000	0.055	-0.004
126.000	125324.000	1.000	0.000	0.040	-0.004
127.000	124252.000	1.000	0.000	0.037	-0.004
128.000	123180.000	1.000	0.000	0.043	-0.004
129.000	122108.000	1.000	0.000	0.040	-0.004
130.000	121036.000	1.000	0.000	0.053	-0.004
131.000	119964.000	1.000	0.000	0.059	-0.004
132.000	118892.000	1.000	0.000	0.046	-0.004
133.000	117821.000	1.000	0.000	0.047	-0.004
134.000	116749.000	1.000	0.000	0.033	-0.004
135.000	115677.000	1.000	0.000	0.034	-0.004
136.000	114605.000	1.000	0.000	0.036	-0.004
137.000	113533.000	1.000	0.000	0.049	-0.004
138.000	112461.000	1.000	0.000	0.077	-0.004
139.000	111389.000	1.000	0.000	0.052	-0.004
140.000	110317.000	1.000	0.000	0.049	-0.004
141.000	109245.000	1.000	0.000	0.041	-0.004
142.000	108173.000	1.000	0.000	0.041	-0.004
143.000	107101.000	1.000	0.000	0.041	-0.004
144.000	106030.000	1.000	0.000	0.047	-0.004
145.000	104958.000	1.000	0.000	0.055	-0.004
146.000	103886.000	1.000	0.000	0.054	-0.004
147.000	102814.000	1.000	0.000	0.053	-0.004
148.000	101742.000	1.000	0.000	0.046	-0.004
149.000	100670.000	1.000	0.000	0.041	-0.004
150.000	99598.000	1.000	0.000	0.031	-0.004
151.000	98526.000	1.000	0.000	0.026	-0.004
152.000	97454.000	1.000	0.000	0.043	-0.004
153.000	96382.000	1.000	0.000	0.048	-0.004
154.000	95310.000	1.000	0.000	0.056	-0.004
155.000	94238.000	1.000	0.000	0.047	-0.004
156.000	93167.000	1.000	0.000	0.037	-0.004
157.000	92095.000	1.000	0.000	0.037	-0.004
158.000	91023.000	1.000	0.000	0.030	-0.004
159.000	89951.000	1.000	0.000	0.046	-0.004
160.000	88879.000	1.000	0.000	0.043	-0.004
161.000	87807.000	1.000	0.000	0.061	-0.004
162.000	86735.000	1.000	0.000	0.043	-0.004
163.000	85663.000	1.000	0.000	0.049	-0.004
164.000	84591.000	1.000	0.000	0.036	-0.004
165.000	83519.000	1.000	0.000	0.038	-0.004
166.000	82447.000	1.000	0.000	0.049	-0.004
167.000	81376.000	1.000	0.000	0.040	-0.004
168.000	80304.000	1.000	0.000	0.047	-0.004
169.000	79232.000	1.000	0.000	0.054	-0.004
170.000	78160.000	1.000	0.000	0.054	-0.004
171.000	77088.000	1.000	0.000	0.043	-0.004
172.000	76016.000	1.000	0.000	0.039	-0.004
173.000	74944.000	1.000	0.000	0.030	-0.004
174.000	73872.000	1.000	0.000	0.051	-0.004
175.000	72800.000	1.000	0.000	0.042	-0.004
176.000	71728.000	1.000	0.000	0.067	-0.004
177.000	70656.000	1.000	0.000	0.045	-0.004
178.000	69584.000	1.000	0.000	0.048	-0.004
179.000	68513.000	1.000	0.000	0.053	-0.004
180.000	67441.000	1.000	0.000	0.039	-0.004
181.000	66369.000	1.000	0.000	0.041	-0.004
182.000	65297.000	1.000	0.000	0.061	-0.004
183.000	64225.000	1.000	0.000	0.051	-0.004
184.000	63153.000	1.000	0.000	0.053	-0.004
185.000	62081.000	1.000	0.000	0.039	-0.004
186.000	61009.000	1.000	0.000	0.031	-0.004
187.000	59937.000	1.000	0.000	0.038	-0.004
188.000	58865.000	1.000	0.000	0.035	-0.004
189.000	57793.000	1.000	0.000	0.050	-0.004
190.000	56722.000	1.000	0.000	0.053	-0.004
191.000	55650.000	1.000	0.000	0.054	-0.004
192.000	54578.000	1.000	0.000	0.054	-0.004
193.000	53506.000	1.000	0.000	0.055	-0.004
194.000	52434.000	1.000	0.000	0.036	-0.004
195.000	51362.000	1.000	0.000	0.034	-0.004
196.000	50290.000	1.000	0.000	0.046	-0.004
197.000	49218.000	1.000	0.000	0.054	-0.004
198.000	48146.000	1.000	0.000	0.052	-0.004
199.000	47074.000	1.000	0.000	0.049	-0.004
200.000	47342.000	1.000	0.000	0.031	-0.004
201.000	48414.000	1.000	0.000	0.053	-0.004
202.000	49486.000	1.000	0.000	0.048	-0.004
203.000	50558.000	1.000	0.000	0.037	-0.004
204.000	51630.000	1.000	0.000	0.030	-0.004
205.000	52702.000	1.000	0.000	0.040	-0.004
206.000	53774.000	1.000	0.000	0.050	-0.004
207.000	54846.000	1.000	0.000	0.045	-0.004
208.000	55918.000	1.000	0.000	0.052	-0.004
209.000	56990.000	1.000	0.000	0.054	-0.004
210.000	58061.000	1.000	0.000	0.043	-0.004
211.000	59133.000	1.000	0.000	0.036	-0.004
212.000	60205.000	1.000	0.000	0.029	-0.004
213.000	61277.000	1.000	0.000	0.037	-0.004
214.000	62349.000	1.000	0.000	0.054	-0.004
215.000	63421.000	1.000	0.000	0.063	-0.004
216.000	64493.000	1.000	0.000	0.062	-0.004
217.000	65565.000	1.000	0.000	0.052	-0.004
218.000	66637.000	1.000	0.000	0.029	-0.004
219.000	67709.000	1.000	0.000	0.039	-0.004
220.000	68781.000	1.000	0.000	0.039	-0.004
221.000	69852.000	1.000	0.000	0.039	-0.004
222.000	70924.000	1.000	0.000	0.057	-0.004
223.000	71996.000	1.000	0.000	0.056	-0.004
224.000	73068.000	1.000	0.000	0.055	-0.004
225.000	74140.000	1.000	0.000	0.045	-0.004
226.000	75212.000	1.000	0.000	0.042	-0.004
227.000	76284.000	1.000	0.000	0.027	-0.004
228.000	77356.000	1.000	0.000	0.042	-0.004
229.000	78428.000	1.000	0.000	0.040	-0.004
230.000	79500.000	1.000	0.000	0.050	-0.004
231.000	80572.000	1.000	0.000	0.054	-0.004
232.000	81644.000	1.000	0.000	0.046	-0.004
233.000	82715.000	1.000	0.000	0.040	-0.004
234.000	83787.000	1.000	0.000	0.038	-0.004
235.000	84859.000	1.000	0.000	0.024	-0.004
236.000	85931.000	1.000	0.000	0.057	-0.004
