# Filename	C:\Users\labuser\Documents\Data\2018-09-24\1_fscan.txt
# Date	2018-9-25-19:33
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using n=34 + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -20 dB.
# Frequency (Hz)	Voltage (V)
18490000000.000	-0.055
18491000000.000	-0.018
18492000000.000	-0.013
18493000000.000	-0.018
18494000000.000	-0.018
18495000000.000	-0.020
18496000000.000	-0.021
18497000000.000	-0.021
18498000000.000	-0.033
18499000000.000	-0.037
18500000000.000	-0.040
18501000000.000	-0.050
18502000000.000	-0.058
18503000000.000	-0.069
18504000000.000	-0.085
18505000000.000	-0.094
18506000000.000	-0.114
18507000000.000	-0.122
18508000000.000	-0.137
18509000000.000	-0.156
18510000000.000	-0.169
18511000000.000	-0.175
18512000000.000	-0.179
18513000000.000	-0.164
18514000000.000	-0.162
18515000000.000	-0.145
18516000000.000	-0.115
18517000000.000	-0.103
18518000000.000	-0.086
18519000000.000	-0.066
18520000000.000	-0.066
18521000000.000	-0.052
18522000000.000	-0.046
18523000000.000	-0.039
18524000000.000	-0.030
18525000000.000	-0.031
18526000000.000	-0.029
18527000000.000	-0.022
18528000000.000	-0.020
18529000000.000	-0.021
18530000000.000	-0.016
18490100000.000	-0.012
18491100000.000	-0.017
18492100000.000	-0.016
18493100000.000	-0.015
18494100000.000	-0.017
18495100000.000	-0.020
18496100000.000	-0.027
18497100000.000	-0.031
18498100000.000	-0.039
18499100000.000	-0.036
18500100000.000	-0.040
18501100000.000	-0.055
18502100000.000	-0.062
18503100000.000	-0.083
18504100000.000	-0.085
18505100000.000	-0.089
18506100000.000	-0.102
18507100000.000	-0.124
18508100000.000	-0.144
18509100000.000	-0.157
18510100000.000	-0.177
18511100000.000	-0.190
18512100000.000	-0.196
18513100000.000	-0.193
18514100000.000	-0.166
18515100000.000	-0.145
18516100000.000	-0.127
18517100000.000	-0.109
18518100000.000	-0.096
18519100000.000	-0.076
18520100000.000	-0.066
18521100000.000	-0.053
18522100000.000	-0.044
18523100000.000	-0.039
18524100000.000	-0.029
18525100000.000	-0.031
18526100000.000	-0.025
18527100000.000	-0.018
18528100000.000	-0.024
18529100000.000	-0.018
18490200000.000	-0.011
18491200000.000	-0.014
18492200000.000	-0.016
18493200000.000	-0.017
18494200000.000	-0.017
18495200000.000	-0.024
18496200000.000	-0.023
18497200000.000	-0.027
18498200000.000	-0.030
18499200000.000	-0.038
18500200000.000	-0.045
18501200000.000	-0.046
18502200000.000	-0.062
18503200000.000	-0.078
18504200000.000	-0.075
18505200000.000	-0.088
18506200000.000	-0.112
18507200000.000	-0.128
18508200000.000	-0.149
18509200000.000	-0.161
18510200000.000	-0.169
18511200000.000	-0.198
18512200000.000	-0.194
18513200000.000	-0.170
18514200000.000	-0.164
18515200000.000	-0.135
18516200000.000	-0.113
18517200000.000	-0.097
18518200000.000	-0.088
18519200000.000	-0.077
18520200000.000	-0.059
18521200000.000	-0.054
18522200000.000	-0.043
18523200000.000	-0.033
18524200000.000	-0.034
18525200000.000	-0.032
18526200000.000	-0.024
18527200000.000	-0.022
18528200000.000	-0.019
18529200000.000	-0.028
18490300000.000	-0.017
18491300000.000	-0.013
18492300000.000	-0.016
18493300000.000	-0.016
18494300000.000	-0.017
18495300000.000	-0.015
