# Filename	C:\Users\labuser\Documents\Data\2018-09-25\2_fscan.txt
# Date	2018-9-25-19:43
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using n=34 + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -15 dB.
# Frequency (Hz)	Voltage (V)
19657100000.000	-0.015
19658100000.000	-0.014
19659100000.000	-0.013
19660100000.000	-0.010
19661100000.000	-0.009
19662100000.000	-0.009
19663100000.000	-0.011
19664100000.000	-0.012
19665100000.000	-0.010
19666100000.000	-0.007
19667100000.000	-0.007
19668100000.000	-0.005
19669100000.000	-0.008
19670100000.000	-0.006
19671100000.000	-0.005
19672100000.000	-0.009
19673100000.000	-0.007
19674100000.000	-0.002
19675100000.000	-0.002
19676100000.000	-0.006
19677100000.000	-0.003
19678100000.000	-0.004
19679100000.000	-0.001
19680100000.000	-0.001
19681100000.000	-0.000
19682100000.000	0.000
19683100000.000	0.001
19684100000.000	0.001
19685100000.000	-0.001
19686100000.000	0.001
19687100000.000	-0.000
19688100000.000	-0.004
19689100000.000	-0.004
19690100000.000	-0.002
19691100000.000	0.000
19692100000.000	0.001
19693100000.000	0.004
19694100000.000	0.005
19695100000.000	0.003
19696100000.000	0.003
19697100000.000	0.003
19698100000.000	0.005
19699100000.000	0.004
19590200000.000	-0.001
19591200000.000	0.001
19592200000.000	-0.003
19593200000.000	-0.001
19594200000.000	-0.006
19595200000.000	-0.005
19596200000.000	-0.004
19597200000.000	-0.003
19598200000.000	-0.002
19599200000.000	-0.002
19600200000.000	-0.001
19601200000.000	-0.003
19602200000.000	-0.007
19603200000.000	-0.004
19604200000.000	-0.001
19605200000.000	-0.004
19606200000.000	-0.004
19607200000.000	-0.003
19608200000.000	-0.009
19609200000.000	-0.011
19610200000.000	-0.007
19611200000.000	-0.009
19612200000.000	-0.013
19613200000.000	-0.010
19614200000.000	-0.015
19615200000.000	-0.012
19616200000.000	-0.012
19617200000.000	-0.011
19618200000.000	-0.012
19619200000.000	-0.017
19620200000.000	-0.017
19621200000.000	-0.019
19622200000.000	-0.026
19623200000.000	-0.032
19624200000.000	-0.035
19625200000.000	-0.044
19626200000.000	-0.056
19627200000.000	-0.056
19628200000.000	-0.060
19629200000.000	-0.066
19630200000.000	-0.075
19631200000.000	-0.078
19632200000.000	-0.086
19633200000.000	-0.103
19634200000.000	-0.103
19635200000.000	-0.111
19636200000.000	-0.115
19637200000.000	-0.110
19638200000.000	-0.104
19639200000.000	-0.101
19640200000.000	-0.098
19641200000.000	-0.100
19642200000.000	-0.083
19643200000.000	-0.085
19644200000.000	-0.081
19645200000.000	-0.073
19646200000.000	-0.062
19647200000.000	-0.053
19648200000.000	-0.049
19649200000.000	-0.043
19650200000.000	-0.038
19651200000.000	-0.036
19652200000.000	-0.029
19653200000.000	-0.024
19654200000.000	-0.026
19655200000.000	-0.023
19656200000.000	-0.020
19657200000.000	-0.019
19658200000.000	-0.016
19659200000.000	-0.017
19660200000.000	-0.010
19661200000.000	-0.012
19662200000.000	-0.012
19663200000.000	-0.007
19664200000.000	-0.007
19665200000.000	-0.010
19666200000.000	-0.010
19667200000.000	-0.008
19668200000.000	-0.007
19669200000.000	-0.001
19670200000.000	-0.004
19671200000.000	-0.004
19672200000.000	0.001
19673200000.000	-0.003
19674200000.000	-0.004
19675200000.000	-0.002
19676200000.000	-0.004
19677200000.000	-0.001
19678200000.000	0.001
19679200000.000	-0.001
19680200000.000	-0.003
19681200000.000	0.001
19682200000.000	0.004
19683200000.000	0.005
19684200000.000	0.004
19685200000.000	0.002
19686200000.000	-0.003
19687200000.000	-0.002
19688200000.000	-0.002
19689200000.000	0.001
19690200000.000	-0.000
19691200000.000	0.000
19692200000.000	-0.001
19693200000.000	-0.001
19694200000.000	-0.002
19695200000.000	-0.001
19696200000.000	-0.006
19697200000.000	-0.004
19698200000.000	-0.004
19699200000.000	-0.002
19590300000.000	-0.004
19591300000.000	-0.008
19592300000.000	-0.005
19593300000.000	-0.000
19594300000.000	-0.006
19595300000.000	-0.005
19596300000.000	-0.006
19597300000.000	-0.004
19598300000.000	-0.008
19599300000.000	-0.006
19600300000.000	-0.005
19601300000.000	-0.006
19602300000.000	-0.004
19603300000.000	-0.009
19604300000.000	-0.011
19605300000.000	-0.007
19606300000.000	-0.006
19607300000.000	-0.005
19608300000.000	-0.001
19609300000.000	-0.004
19610300000.000	-0.007
19611300000.000	-0.006
19612300000.000	-0.013
19613300000.000	-0.016
19614300000.000	-0.011
19615300000.000	-0.008
19616300000.000	-0.005
19617300000.000	-0.009
19618300000.000	-0.013
19619300000.000	-0.014
19620300000.000	-0.012
19621300000.000	-0.018
19622300000.000	-0.023
19623300000.000	-0.029
19624300000.000	-0.031
19625300000.000	-0.045
19626300000.000	-0.043
19627300000.000	-0.054
19628300000.000	-0.059
19629300000.000	-0.069
19630300000.000	-0.085
19631300000.000	-0.086
19632300000.000	-0.090
19633300000.000	-0.091
19634300000.000	-0.114
19635300000.000	-0.118
19636300000.000	-0.111
19637300000.000	-0.115
19638300000.000	-0.115
19639300000.000	-0.113
19640300000.000	-0.103
19641300000.000	-0.101
19642300000.000	-0.079
19643300000.000	-0.090
19644300000.000	-0.075
19645300000.000	-0.061
19646300000.000	-0.050
19647300000.000	-0.045
19648300000.000	-0.047
19649300000.000	-0.037
19650300000.000	-0.042
19651300000.000	-0.039
19652300000.000	-0.034
19653300000.000	-0.031
19654300000.000	-0.022
19655300000.000	-0.021
19656300000.000	-0.020
19657300000.000	-0.017
19658300000.000	-0.015
19659300000.000	-0.013
19660300000.000	-0.011
19661300000.000	-0.013
19662300000.000	-0.008
19663300000.000	-0.009
19664300000.000	-0.005
19665300000.000	-0.006
19666300000.000	-0.007
19667300000.000	-0.008
19668300000.000	-0.010
19669300000.000	-0.005
19670300000.000	-0.002
19671300000.000	-0.009
19672300000.000	-0.005
19673300000.000	-0.000
19674300000.000	-0.001
19675300000.000	0.001
19676300000.000	-0.001
19677300000.000	-0.003
19678300000.000	-0.001
19679300000.000	0.000
19680300000.000	0.002
19681300000.000	0.002
19682300000.000	0.001
19683300000.000	0.004
19684300000.000	-0.000
19685300000.000	0.000
19686300000.000	0.003
19687300000.000	0.002
19688300000.000	0.005
19689300000.000	0.004
19690300000.000	0.004
19691300000.000	0.003
19692300000.000	0.004
19693300000.000	0.004
19694300000.000	0.003
19695300000.000	0.002
19696300000.000	0.001
19697300000.000	0.004
19698300000.000	0.002
19699300000.000	0.002
19590400000.000	-0.001
19591400000.000	-0.001
19592400000.000	0.004
19593400000.000	0.000
19594400000.000	-0.005
19595400000.000	-0.006
19596400000.000	-0.005
19597400000.000	-0.004
19598400000.000	0.002
19599400000.000	-0.002
19600400000.000	-0.008
19601400000.000	-0.006
19602400000.000	-0.008
19603400000.000	-0.002
19604400000.000	-0.003
19605400000.000	-0.006
19606400000.000	-0.005
19607400000.000	-0.006
19608400000.000	-0.007
19609400000.000	-0.009
19610400000.000	-0.010
19611400000.000	-0.003
19612400000.000	-0.004
19613400000.000	-0.009
19614400000.000	-0.011
19615400000.000	-0.009
19616400000.000	-0.011
19617400000.000	-0.014
19618400000.000	-0.016
19619400000.000	-0.016
19620400000.000	-0.019
19621400000.000	-0.016
19622400000.000	-0.022
19623400000.000	-0.024
19624400000.000	-0.038
19625400000.000	-0.046
19626400000.000	-0.042
19627400000.000	-0.054
19628400000.000	-0.063
19629400000.000	-0.083
19630400000.000	-0.084
19631400000.000	-0.084
19632400000.000	-0.088
19633400000.000	-0.097
19634400000.000	-0.104
19635400000.000	-0.107
19636400000.000	-0.113
19637400000.000	-0.108
19638400000.000	-0.112
19639400000.000	-0.105
19640400000.000	-0.099
19641400000.000	-0.091
19642400000.000	-0.085
19643400000.000	-0.072
19644400000.000	-0.062
19645400000.000	-0.056
19646400000.000	-0.051
19647400000.000	-0.042
19648400000.000	-0.038
19649400000.000	-0.038
19650400000.000	-0.033
19651400000.000	-0.029
19652400000.000	-0.028
19653400000.000	-0.025
19654400000.000	-0.024
19655400000.000	-0.021
19656400000.000	-0.020
19657400000.000	-0.021
19658400000.000	-0.019
19659400000.000	-0.013
19660400000.000	-0.013
19661400000.000	-0.010
19662400000.000	-0.010
19663400000.000	-0.007
19664400000.000	-0.010
19665400000.000	-0.010
19666400000.000	-0.012
19667400000.000	-0.005
19668400000.000	-0.003
19669400000.000	-0.006
19670400000.000	-0.006
19671400000.000	-0.007
19672400000.000	-0.008
19673400000.000	-0.004
19674400000.000	-0.005
19675400000.000	-0.004
19676400000.000	-0.001
19677400000.000	-0.000
19678400000.000	0.002
19679400000.000	0.001
19680400000.000	0.001
19681400000.000	0.003
19682400000.000	0.001
19683400000.000	0.000
19684400000.000	-0.001
19685400000.000	-0.001
19686400000.000	-0.002
19687400000.000	-0.000
19688400000.000	0.002
19689400000.000	0.004
19690400000.000	0.004
19691400000.000	0.005
19692400000.000	0.003
19693400000.000	0.004
19694400000.000	0.002
19695400000.000	0.002
19696400000.000	-0.002
19697400000.000	-0.002
19698400000.000	-0.003
