# Filename	C:\Users\labuser\Documents\Data\2018-09-26\1_fscan.txt
# Date	2018-9-26-17:43
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using 27d. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -12 dB.
# Frequency (Hz)	Voltage (V)
18500000000.000	-0.051
18501000000.000	-0.046
18502000000.000	-0.047
18503000000.000	-0.052
18504000000.000	-0.052
18505000000.000	-0.046
18506000000.000	-0.047
18507000000.000	-0.049
18508000000.000	-0.053
18509000000.000	-0.058
18510000000.000	-0.052
18511000000.000	-0.061
18512000000.000	-0.069
18513000000.000	-0.075
18514000000.000	-0.063
18515000000.000	-0.064
18516000000.000	-0.056
18517000000.000	-0.049
18518000000.000	-0.041
18519000000.000	-0.045
18520000000.000	-0.042
18521000000.000	-0.051
18522000000.000	-0.043
18523000000.000	-0.041
18524000000.000	-0.042
18525000000.000	-0.048
18526000000.000	-0.050
18527000000.000	-0.052
18528000000.000	-0.046
18529000000.000	-0.051
18530000000.000	-0.050
18500100000.000	-0.046
18501100000.000	-0.046
18502100000.000	-0.043
18503100000.000	-0.041
18504100000.000	-0.044
18505100000.000	-0.049
18506100000.000	-0.050
18507100000.000	-0.048
18508100000.000	-0.055
18509100000.000	-0.054
18510100000.000	-0.054
18511100000.000	-0.062
18512100000.000	-0.064
18513100000.000	-0.070
18514100000.000	-0.062
18515100000.000	-0.059
18516100000.000	-0.060
18517100000.000	-0.051
18518100000.000	-0.052
18519100000.000	-0.049
18520100000.000	-0.045
18521100000.000	-0.044
18522100000.000	-0.044
18523100000.000	-0.042
18524100000.000	-0.040
18525100000.000	-0.043
18526100000.000	-0.049
18527100000.000	-0.051
18528100000.000	-0.049
18529100000.000	-0.043
18500200000.000	-0.043
18501200000.000	-0.043
18502200000.000	-0.046
18503200000.000	-0.045
18504200000.000	-0.046
18505200000.000	-0.041
18506200000.000	-0.045
18507200000.000	-0.043
18508200000.000	-0.048
18509200000.000	-0.043
18510200000.000	-0.051
18511200000.000	-0.067
18512200000.000	-0.067
18513200000.000	-0.059
18514200000.000	-0.062
18515200000.000	-0.058
18516200000.000	-0.059
18517200000.000	-0.047
18518200000.000	-0.046
18519200000.000	-0.046
18520200000.000	-0.048
18521200000.000	-0.044
18522200000.000	-0.039
18523200000.000	-0.047
18524200000.000	-0.042
18525200000.000	-0.049
18526200000.000	-0.044
18527200000.000	-0.048
18528200000.000	-0.050
18529200000.000	-0.047
18500300000.000	-0.047
18501300000.000	-0.051
18502300000.000	-0.048
18503300000.000	-0.046
18504300000.000	-0.044
18505300000.000	-0.046
18506300000.000	-0.048
18507300000.000	-0.050
18508300000.000	-0.048
18509300000.000	-0.052
18510300000.000	-0.056
18511300000.000	-0.063
18512300000.000	-0.069
18513300000.000	-0.071
18514300000.000	-0.065
18515300000.000	-0.057
18516300000.000	-0.050
18517300000.000	-0.051
18518300000.000	-0.047
18519300000.000	-0.048
18520300000.000	-0.042
18521300000.000	-0.052
18522300000.000	-0.052
18523300000.000	-0.056
18524300000.000	-0.046
18525300000.000	-0.043
18526300000.000	-0.043
18527300000.000	-0.044
18528300000.000	-0.046
18529300000.000	-0.056
18500400000.000	-0.043
18501400000.000	-0.047
18502400000.000	-0.044
18503400000.000	-0.044
18504400000.000	-0.043
18505400000.000	-0.044
18506400000.000	-0.048
18507400000.000	-0.042
18508400000.000	-0.046
18509400000.000	-0.052
18510400000.000	-0.055
18511400000.000	-0.063
18512400000.000	-0.074
18513400000.000	-0.070
18514400000.000	-0.066
18515400000.000	-0.057
18516400000.000	-0.052
18517400000.000	-0.051
18518400000.000	-0.049
18519400000.000	-0.047
18520400000.000	-0.044
18521400000.000	-0.048
18522400000.000	-0.046
18523400000.000	-0.052
18524400000.000	-0.050
18525400000.000	-0.046
18526400000.000	-0.046
18527400000.000	-0.050
18528400000.000	-0.049
18529400000.000	-0.044
18500500000.000	-0.051
18501500000.000	-0.044
18502500000.000	-0.044
18503500000.000	-0.040
18504500000.000	-0.044
18505500000.000	-0.042
18506500000.000	-0.045
18507500000.000	-0.048
18508500000.000	-0.046
18509500000.000	-0.050
18510500000.000	-0.062
18511500000.000	-0.066
18512500000.000	-0.064
18513500000.000	-0.063
18514500000.000	-0.062
