# Filename	C:\Users\labuser\Documents\Data\2018-09-26\2_fscan.txt
# Date	2018-9-26-18:7
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using 27d. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -5 dB.
# Frequency (Hz)	Voltage (V)
19610000000.000	-0.121
19613000000.000	-0.120
19616000000.000	-0.123
19619000000.000	-0.117
19622000000.000	-0.115
19625000000.000	-0.106
19628000000.000	-0.107
19631000000.000	-0.099
19634000000.000	-0.095
19637000000.000	-0.094
19640000000.000	-0.089
19643000000.000	-0.084
19646000000.000	-0.088
19649000000.000	-0.090
19652000000.000	-0.093
19655000000.000	-0.097
19658000000.000	-0.101
19661000000.000	-0.102
19664000000.000	-0.106
19667000000.000	-0.101
19670000000.000	-0.108
19673000000.000	-0.108
19676000000.000	-0.117
19679000000.000	-0.115
19610300000.000	-0.117
19613300000.000	-0.128
19616300000.000	-0.129
19619300000.000	-0.123
19622300000.000	-0.129
19625300000.000	-0.113
19628300000.000	-0.102
19631300000.000	-0.099
19634300000.000	-0.098
19637300000.000	-0.091
19640300000.000	-0.087
19643300000.000	-0.083
19646300000.000	-0.093
19649300000.000	-0.097
19652300000.000	-0.101
19655300000.000	-0.099
19658300000.000	-0.096
19661300000.000	-0.103
19664300000.000	-0.102
19667300000.000	-0.107
19670300000.000	-0.112
19673300000.000	-0.119
19676300000.000	-0.112
19679300000.000	-0.110
19610600000.000	-0.127
19613600000.000	-0.119
19616600000.000	-0.124
19619600000.000	-0.122
19622600000.000	-0.109
19625600000.000	-0.101
19628600000.000	-0.096
19631600000.000	-0.097
19634600000.000	-0.096
19637600000.000	-0.085
19640600000.000	-0.088
19643600000.000	-0.087
19646600000.000	-0.090
19649600000.000	-0.096
19652600000.000	-0.105
19655600000.000	-0.104
19658600000.000	-0.104
19661600000.000	-0.104
19664600000.000	-0.107
19667600000.000	-0.104
19670600000.000	-0.118
19673600000.000	-0.121
19676600000.000	-0.114
19679600000.000	-0.109
19610900000.000	-0.117
19613900000.000	-0.118
19616900000.000	-0.120
19619900000.000	-0.123
19622900000.000	-0.116
19625900000.000	-0.117
19628900000.000	-0.108
19631900000.000	-0.096
19634900000.000	-0.096
19637900000.000	-0.089
19640900000.000	-0.094
19643900000.000	-0.096
19646900000.000	-0.086
19649900000.000	-0.094
19652900000.000	-0.095
19655900000.000	-0.091
19658900000.000	-0.103
19661900000.000	-0.102
19664900000.000	-0.105
19667900000.000	-0.109
19670900000.000	-0.104
19673900000.000	-0.106
19676900000.000	-0.113
19679900000.000	-0.115
19611200000.000	-0.119
19614200000.000	-0.119
19617200000.000	-0.117
19620200000.000	-0.114
19623200000.000	-0.110
19626200000.000	-0.097
19629200000.000	-0.097
19632200000.000	-0.091
19635200000.000	-0.087
19638200000.000	-0.084
19641200000.000	-0.089
19644200000.000	-0.090
19647200000.000	-0.088
19650200000.000	-0.094
19653200000.000	-0.099
19656200000.000	-0.101
19659200000.000	-0.107
19662200000.000	-0.106
19665200000.000	-0.104
19668200000.000	-0.106
19671200000.000	-0.110
19674200000.000	-0.109
19677200000.000	-0.110
19611500000.000	-0.122
19614500000.000	-0.123
19617500000.000	-0.113
19620500000.000	-0.107
19623500000.000	-0.106
19626500000.000	-0.109
19629500000.000	-0.097
19632500000.000	-0.088
19635500000.000	-0.081
19638500000.000	-0.078
19641500000.000	-0.078
19644500000.000	-0.087
19647500000.000	-0.090
19650500000.000	-0.092
19653500000.000	-0.100
19656500000.000	-0.113
19659500000.000	-0.111
19662500000.000	-0.106
19665500000.000	-0.105
19668500000.000	-0.108
19671500000.000	-0.106
19674500000.000	-0.109
19677500000.000	-0.113
19611800000.000	-0.111
19614800000.000	-0.119
19617800000.000	-0.107
19620800000.000	-0.112
19623800000.000	-0.108
19626800000.000	-0.104
19629800000.000	-0.100
19632800000.000	-0.099
19635800000.000	-0.086
19638800000.000	-0.082
19641800000.000	-0.086
19644800000.000	-0.084
19647800000.000	-0.091
19650800000.000	-0.096
19653800000.000	-0.097
19656800000.000	-0.101
19659800000.000	-0.101
19662800000.000	-0.095
19665800000.000	-0.100
19668800000.000	-0.106
19671800000.000	-0.111
19674800000.000	-0.107
19677800000.000	-0.112
19612100000.000	-0.114
19615100000.000	-0.103
19618100000.000	-0.116
19621100000.000	-0.117
19624100000.000	-0.109
19627100000.000	-0.101
19630100000.000	-0.102
19633100000.000	-0.099
19636100000.000	-0.089
19639100000.000	-0.088
19642100000.000	-0.088
19645100000.000	-0.092
19648100000.000	-0.087
19651100000.000	-0.094
19654100000.000	-0.103
19657100000.000	-0.105
19660100000.000	-0.110
19663100000.000	-0.109
19666100000.000	-0.106
19669100000.000	-0.108
19672100000.000	-0.113
19675100000.000	-0.105
19678100000.000	-0.108
19612400000.000	-0.118
19615400000.000	-0.115
19618400000.000	-0.118
19621400000.000	-0.109
19624400000.000	-0.108
19627400000.000	-0.099
19630400000.000	-0.098
19633400000.000	-0.093
19636400000.000	-0.089
19639400000.000	-0.087
