# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 36.15 mm
# Type:	Frequency
# Hittite Freq:	19644.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	36.15
i	f	b	s	n
0	-4511.92	0.00779123	0.0383173	0.0403233	
1	-4511.92	0.00779123	0.031905	0.0384489	
2	-4511.92	0.00779123	0.0356209	0.0383502	
3	-4511.92	0.00779123	0.0347988	0.0376925	
4	-4511.92	0.00779123	0.0266107	0.0319708	
5	-4511.92	0.00779123	0.0347659	0.0361141	
6	-4511.92	0.00779123	0.031609	0.0362457	
7	-4511.92	0.00779123	0.021415	0.0320365	
8	-4511.82	0.00779123	0.0271039	0.02934	
9	-4511.82	0.00779123	0.0237498	0.0275643	
10	-4511.82	0.00779123	0.0273341	0.0250651	
11	-4511.82	0.00779123	0.0196722	0.0227633	
12	-4511.82	0.00779123	0.0205272	0.0163509	
13	-4511.82	0.00779123	0.0213493	0.0190803	
14	-4511.82	0.00779123	0.0204943	0.0192447	
15	-4511.72	0.00779123	0.0189816	0.0198366	
16	-4511.72	0.00779123	0.0226975	0.0194091	
17	-4511.72	0.00779123	0.0164824	0.0193105	
18	-4511.72	0.00779123	0.0215466	0.0181924	
19	-4511.72	0.00779123	0.0178965	0.0196393	
20	-4511.72	0.00779123	0.0182253	0.0175018	
21	-4511.72	0.00779123	0.0230921	0.0149698	
22	-4511.72	0.00779123	0.0237169	0.0185541	
23	-4511.62	0.00779123	0.0177649	0.0158576	
24	-4511.62	0.00779123	0.0220727	0.0170415	
25	-4511.62	0.00779123	0.0157919	0.0166797	
26	-4511.62	0.00779123	0.0145094	0.0142463	
27	-4511.62	0.00779123	0.0152657	0.0163509	
28	-4511.62	0.00779123	0.0176005	0.0154302	
29	-4511.62	0.00779123	0.0172717	0.0138188	
30	-4511.52	0.00779123	0.0158905	0.0183239	
31	-4511.52	0.00779123	0.0130954	0.0155617	
32	-4511.52	0.00779123	0.0130625	0.0138846	
33	-4511.52	0.00779123	0.0131941	0.0188172	
34	-4511.52	0.00779123	0.0173703	0.0243746	
35	-4511.52	0.00779123	0.0167455	0.0268737	
36	-4511.52	0.00779123	0.017173	0.0285179	
37	-4511.52	0.00779123	0.0203627	0.0257557	
38	-4511.42	0.00779123	0.0156275	0.026249	
39	-4511.42	0.00779123	0.018587	0.018028	
40	-4511.42	0.00779123	0.0179293	0.0203956	
41	-4511.42	0.00779123	0.0206587	0.0250323	
42	-4511.42	0.00779123	0.0164496	0.0209218	
43	-4511.42	0.00779123	0.0194749	0.0169757	
44	-4511.32	0.00779123	0.0148054	0.0175676	
45	-4511.32	0.00779123	0.0190803	0.0217767	
46	-4511.32	0.00779123	0.0190803	0.0217767	
47	-4511.32	0.00779123	0.0215794	0.0176663	
48	-4511.22	0.00779123	0.0176991	0.0193105	
49	-4511.22	0.00779123	0.0225002	0.0205929	
50	-4511.22	0.00779123	0.0184555	0.018883	
51	-4511.22	0.00779123	0.0227304	0.0176334	
52	-4511.22	0.00779123	0.019442	0.0196393	
53	-4511.22	0.00779123	0.0209547	0.0159234	
54	-4511.12	0.00779123	0.0215794	0.0244403	
55	-4511.12	0.00779123	0.0282549	0.0221385	
56	-4511.12	0.00779123	0.0304581	0.0218096	
57	-4511.12	0.00779123	0.0311487	0.0294716	
58	-4511.12	0.00779123	0.0328586	0.0254926	
59	-4511.12	0.00779123	0.0351605	0.0264134	
60	-4511.02	0.00779123	0.041803	0.0288139	
61	-4511.02	0.00779123	0.0490046	0.0320365	
62	-4511.02	0.00779123	0.0541674	0.0362785	
63	-4511.02	0.00779123	0.0627501	0.0448283	
64	-4510.92	0.00779123	0.04861	0.046637	
65	-4510.92	0.00779123	0.0668277	0.0592973	
66	-4510.92	0.00779123	0.0628158	0.072977	
67	-4510.92	0.00779123	0.0587382	0.07666	
68	-4510.92	0.00779123	0.0628816	0.0816912	
69	-4510.82	0.00779123	0.053411	0.0774163	
70	-4510.82	0.00779123	0.0533782	0.0653479	
71	-4510.82	0.00779123	0.050024	0.0567981	
72	-4510.72	0.00779123	0.0434143	0.0591	
73	-4510.72	0.00779123	0.0395998	0.0444666	
74	-4510.72	0.00779123	0.0352591	0.0417701	
75	-4510.62	0.00779123	0.0286824	0.036147	
76	-4510.62	0.00779123	0.0237169	0.0277945	
77	-4510.62	0.00779123	0.0252953	0.0262818	
78	-4510.52	0.00779123	0.021711	0.0249336	
79	-4510.52	0.00779123	0.020297	0.0204285	
80	-4510.42	0.00779123	0.0187843	0.0216123	
81	-4510.42	0.00779123	0.0182911	0.0230921	
82	-4510.32	0.00779123	0.0179951	0.0196393	
83	-4510.32	0.00779123	0.0172059	0.0176663	
84	-4510.22	0.00779123	0.016614	0.0147396	
85	-4510.22	0.00779123	0.0153315	0.017469	
86	-4510.22	0.00779123	0.0155288	0.0132598	
87	-4510.22	0.00779123	0.0168771	0.0155946	
88	-4510.12	0.00779123	0.0148382	0.0174032	
89	-4510.12	0.00779123	0.0129639	0.0170415	
90	-4510.12	0.00779123	0.0175018	0.0163509	
91	-4510.02	0.00779123	0.0156275	0.0172388	
92	-4510.02	0.00779123	0.0167784	0.0147396	
93	-4510.02	0.00779123	0.0182911	0.016318	
94	-4509.92	0.00779123	0.0196064	0.0194749	
95	-4509.92	0.00779123	0.0175018	0.0159234	
96	-4509.82	0.00779123	0.0148711	0.016055	
97	-4509.82	0.00779123	0.016055	0.0170744	
98	-4509.82	0.00779123	0.0189159	0.0180938	
99	-4509.82	0.00779123	0.0180609	0.0168442	
100	-4509.82	0.00779123	0.0119774	0.0121418	
101	-4509.82	0.00779123	0.0111224	0.0136873	
102	-4509.72	0.00779123	0.0130296	0.0152329	
103	-4509.72	0.00779123	0.0145094	0.0138517	
104	-4509.72	0.00779123	0.0150356	0.0187185	
105	-4509.72	0.00779123	0.0184884	0.0162523	
106	-4509.62	0.00779123	0.0175018	0.0159892	
107	-4509.62	0.00779123	0.0175347	0.0172717	
108	-4509.62	0.00779123	0.0148711	0.0156932	
109	-4509.62	0.00779123	0.0145752	0.0138846	
110	-4509.62	0.00779123	0.0170415	0.0167126	
111	-4509.62	0.00779123	0.0150684	0.0161207	
112	-4509.52	0.00779123	0.0142463	0.0122733	
113	-4509.52	0.00779123	0.0121747	0.014904	
114	-4509.52	0.00779123	0.0108593	0.0144108	
115	-4509.52	0.00779123	0.0155617	0.0138188	
116	-4509.52	0.00779123	0.0125364	0.0170744	
117	-4509.52	0.00779123	0.0133585	0.0150027	
118	-4509.42	0.00779123	0.0151013	0.0100372	
119	-4509.42	0.00779123	0.01178	0.0144765	
120	-4509.42	0.00779123	0.0135229	0.0103989	
121	-4509.42	0.00779123	0.0144108	0.0125693	
122	-4509.42	0.00779123	0.0128981	0.0135558	
123	-4509.42	0.00779123	0.0130954	0.0120431	
124	-4509.42	0.00779123	0.0120102	0.0123391	
