# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 37.15 mm
# Type:	Frequency
# Hittite Freq:	19644.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	37.15
i	f	b	s	n
0	-4511.72	0.00674553	0.0288468	0.026512	
1	-4511.72	0.00674553	0.0288797	0.0383173	
2	-4511.72	0.00674553	0.0258543	0.0404219	
3	-4511.72	0.00674553	0.0231579	0.0523259	
4	-4511.72	0.00674553	0.0272684	0.0399287	
5	-4511.62	0.00674553	0.0249665	0.0405534	
6	-4511.62	0.00674553	0.0243417	0.0417373	
7	-4511.62	0.00674553	0.0265778	0.0336807	
8	-4511.62	0.00674553	0.0224015	0.0296689	
9	-4511.52	0.00674553	0.0209218	0.0261832	
10	-4511.52	0.00674553	0.0207902	0.0295702	
11	-4511.52	0.00674553	0.0144765	0.0226646	
12	-4511.52	0.00674553	0.014904	0.0224344	
13	-4511.52	0.00674553	0.0127666	0.0192447	
14	-4511.52	0.00674553	0.0151013	0.0195735	
15	-4511.52	0.00674553	0.0157919	0.0197379	
16	-4511.52	0.00674553	0.0137202	0.013786	
17	-4511.52	0.00674553	0.0107278	0.0225331	
18	-4511.52	0.00674553	0.0167455	0.0143779	
19	-4511.52	0.00674553	0.0152	0.0181266	
20	-4511.42	0.00674553	0.0132927	0.0131283	
21	-4511.42	0.00674553	0.0141477	0.015463	
22	-4511.42	0.00674553	0.0161207	0.0132927	
23	-4511.42	0.00674553	0.0162851	0.0189159	
24	-4511.42	0.00674553	0.0152657	0.017732	
25	-4511.42	0.00674553	0.0171072	0.0181595	
26	-4511.32	0.00674553	0.0143121	0.0194091	
27	-4511.32	0.00674553	0.0176005	0.0152657	
28	-4511.32	0.00674553	0.0166797	0.0183239	
29	-4511.32	0.00674553	0.0178965	0.0193762	
30	-4511.32	0.00674553	0.019146	0.0192118	
31	-4511.32	0.00674553	0.0197379	0.0119445	
32	-4511.32	0.00674553	0.0127008	0.0187843	
33	-4511.32	0.00674553	0.0153973	0.0152329	
34	-4511.22	0.00674553	0.0164496	0.0150356	
35	-4511.22	0.00674553	0.0136873	0.0166469	
36	-4511.22	0.00674553	0.0168113	0.0222371	
37	-4511.22	0.00674553	0.0162851	0.0206587	
38	-4511.22	0.00674553	0.0135229	0.0238484	
39	-4511.12	0.00674553	0.0131612	0.0196722	
40	-4511.22	0.00674553	0.0169428	0.0191789	
41	-4511.22	0.00674553	0.0179293	0.0231579	
42	-4511.12	0.00674553	0.0203956	0.0210204	
43	-4511.12	0.00674553	0.018883	0.0239471	
44	-4511.02	0.00674553	0.0208231	0.0192447	
45	-4511.02	0.00674553	0.0186528	0.017173	
46	-4511.02	0.00674553	0.0258215	0.0229606	
47	-4511.02	0.00674553	0.0180609	0.0175676	
48	-4511.02	0.00674553	0.0212177	0.0186199	
49	-4511.02	0.00674553	0.0248349	0.0151342	
50	-4510.92	0.00674553	0.0194091	0.0159234	
51	-4510.92	0.00674553	0.0275972	0.0199024	
52	-4510.92	0.00674553	0.0271039	0.0263476	
53	-4510.92	0.00674553	0.0288139	0.023125	
54	-4510.82	0.00674553	0.0337465	0.0252624	
55	-4510.82	0.00674553	0.0442364	0.0211848	
56	-4510.82	0.00674553	0.0390079	0.0292743	
57	-4510.82	0.00674553	0.0476892	0.0245061	
58	-4510.82	0.00674553	0.0552854	0.0286166	
59	-4510.82	0.00674553	0.0677484	0.0274657	
60	-4510.82	0.00674553	0.0688665	0.0308198	
61	-4510.72	0.00674553	0.0664002	0.0318721	
62	-4510.72	0.00674553	0.0642956	0.0278931	
63	-4510.72	0.00674553	0.0646573	0.0310829	
64	-4510.72	0.00674553	0.062191	0.0476564	
65	-4510.62	0.00674553	0.0611059	0.0430855	
66	-4510.62	0.00674553	0.0570283	0.059363	
67	-4510.62	0.00674553	0.0514051	0.0809349	
68	-4510.62	0.00674553	0.0417701	0.0908329	
69	-4510.62	0.00674553	0.0413427	0.0809349	
70	-4510.62	0.00674553	0.0443351	0.0774492	
71	-4510.52	0.00674553	0.0419346	0.0634406	
72	-4510.52	0.00674553	0.0280247	0.0639339	
