# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 40.15 mm
# Type:	Frequency
# Hittite Freq:	19644.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	40.15
i	f	b	s	n
0	-4511.62	0.00908357	0.0400931	0.0356866	
1	-4511.62	0.00908357	0.0330559	0.0386462	
2	-4511.62	0.00908357	0.035588	0.0607113	
3	-4511.62	0.00908357	0.0329244	0.0638352	
4	-4511.62	0.00908357	0.0323982	0.055121	
5	-4511.62	0.00908357	0.0279589	0.0465712	
6	-4511.52	0.00908357	0.027367	0.0504186	
7	-4511.52	0.00908357	0.0255584	0.0370678	
8	-4511.52	0.00908357	0.0215794	0.0338451	
9	-4511.52	0.00908357	0.0209547	0.0294716	
10	-4511.42	0.00908357	0.0204285	0.0287481	
11	-4511.42	0.00908357	0.0179622	0.0207573	
12	-4511.32	0.00908357	0.0163509	0.0233223	
13	-4511.32	0.00908357	0.0170415	0.025098	
14	-4511.32	0.00908357	0.0153644	0.0226317	
15	-4511.32	0.00908357	0.0148054	0.0180609	
16	-4511.22	0.00908357	0.0125035	0.0199024	
17	-4511.32	0.00908357	0.0136215	0.0208889	
18	-4511.32	0.00908357	0.016318	0.0204285	
19	-4511.22	0.00908357	0.0167455	0.0148382	
20	-4511.22	0.00908357	0.012076	0.0138188	
21	-4511.22	0.00908357	0.0122404	0.0176005	
22	-4511.22	0.00908357	0.0178636	0.0195735	
23	-4511.12	0.00908357	0.010958	0.0130625	
24	-4511.12	0.00908357	0.0128323	0.0131941	
25	-4511.12	0.00908357	0.0098399	0.0149698	
26	-4511.12	0.00908357	0.0144108	0.0187843	
27	-4511.02	0.00908357	0.0162851	0.0192776	
28	-4511.12	0.00908357	0.0127337	0.0123062	
29	-4511.02	0.00908357	0.0119445	0.0135558	
30	-4511.02	0.00908357	0.0183239	0.0151342	
31	-4511.02	0.00908357	0.0154302	0.0201983	
32	-4511.02	0.00908357	0.0119445	0.0211848	
33	-4510.92	0.00908357	0.0136215	0.0165153	
34	-4511.02	0.00908357	0.017732	0.0170086	
35	-4510.92	0.00908357	0.0148054	0.0199024	
36	-4510.92	0.00908357	0.0135229	0.0210862	
37	-4510.92	0.00908357	0.0140819	0.0222371	
38	-4510.92	0.00908357	0.019442	0.0218425	
39	-4510.92	0.00908357	0.0182253	0.0247363	
40	-4510.92	0.00908357	0.0212506	0.0210862	
41	-4510.82	0.00908357	0.0184555	0.0227304	
42	-4510.82	0.00908357	0.0168771	0.0203956	
43	-4510.82	0.00908357	0.0196722	0.0196064	
44	-4510.82	0.00908357	0.0214479	0.0149369	
45	-4510.82	0.00908357	0.015463	0.0144436	
46	-4510.82	0.00908357	0.0237827	0.0208889	
47	-4510.72	0.00908357	0.0227961	0.0184226	
48	-4510.72	0.00908357	0.0232894	0.0174361	
49	-4510.72	0.00908357	0.0281233	0.017732	
50	-4510.62	0.00908357	0.0249007	0.0188172	
51	-4510.72	0.00908357	0.030754	0.0229935	
52	-4510.62	0.00908357	0.0304581	0.0229277	
53	-4510.62	0.00908357	0.0346672	0.0213164	
54	-4510.62	0.00908357	0.0378241	0.0270053	
55	-4510.62	0.00908357	0.0458477	0.0248021	
56	-4510.62	0.00908357	0.0483469	0.0261832	
57	-4510.52	0.00908357	0.0583107	0.0308527	
58	-4510.52	0.00908357	0.0797182	0.0292085	
59	-4510.52	0.00908357	0.0913919	0.0271697	
60	-4510.42	0.00908357	0.100567	0.0324311	
61	-4510.52	0.00908357	0.0920167	0.0382516	
62	-4510.42	0.00908357	0.0876761	0.0439076	
63	-4510.52	0.00908357	0.0739635	0.0465712	
64	-4510.52	0.00908357	0.0867553	0.0535426	
65	-4510.42	0.00908357	0.0671565	0.0603824	
66	-4510.42	0.00908357	0.0693597	0.0751802	
67	-4510.52	0.00908357	0.0552525	0.109379	
68	-4510.42	0.00908357	0.0504515	0.12102	
69	-4510.42	0.00908357	0.0626843	0.0975741	
70	-4510.42	0.00908357	0.0503857	0.0877089	
71	-4510.42	0.00908357	0.0425265	0.0901095	
72	-4510.42	0.00908357	0.0431184	0.0698859	
73	-4510.32	0.00908357	0.0304252	0.0544962	
74	-4510.22	0.00908357	0.0238484	0.0430197	
75	-4510.22	0.00908357	0.0195078	0.0379556	
76	-4510.22	0.00908357	0.0228948	0.0329573	
77	-4510.22	0.00908357	0.0163838	0.0347988	
78	-4510.22	0.00908357	0.0186528	0.0334834	
79	-4510.22	0.00908357	0.0195735	0.0259859	
80	-4510.22	0.00908357	0.014904	0.0258215	
81	-4510.12	0.00908357	0.0185541	0.0225988	
82	-4510.22	0.00908357	0.0161865	0.0249665	
83	-4510.12	0.00908357	0.0123391	0.0213821	
84	-4510.12	0.00908357	0.0158248	0.0180609	
