# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 36.15 mm
# Type:	Frequency
# Hittite Freq:	18512.8 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	36.15
i	f	b	s	n
109	-4510.02	0.00839959	0.0132598	0.0153644	
110	-4509.92	0.00839959	0.0156275	0.0137531	
111	-4509.92	0.00839959	0.0130954	0.0133256	
112	-4509.92	0.00839959	0.0125035	0.0138188	
113	-4509.92	0.00839959	0.0127994	0.0157919	
114	-4509.82	0.00839959	0.0189816	0.0150356	
115	-4509.82	0.00839959	0.0133256	0.0144108	
116	-4509.82	0.00839959	0.0159234	0.0153973	
117	-4509.82	0.00839959	0.0122404	0.0163838	
118	-4509.72	0.00839959	0.0172717	0.014904	
119	-4509.72	0.00839959	0.0131612	0.0170744	
120	-4509.72	0.00839959	0.013786	0.0161207	
121	-4509.72	0.00839959	0.017173	0.0146081	
122	-4509.72	0.00839959	0.0158905	0.0144765	
123	-4509.62	0.00839959	0.0148711	0.0172717	
124	-4509.62	0.00839959	0.0150027	0.0163838	
125	-4509.62	0.00839959	0.0155288	0.0144436	
126	-4509.62	0.00839959	0.0163509	0.0140162	
127	-4509.62	0.00839959	0.0203627	0.0180609	
128	-4509.62	0.00839959	0.0138846	0.0124048	
129	-4509.62	0.00839959	0.0134242	0.0158248	
130	-4509.52	0.00839959	0.0141477	0.00980702	
131	-4509.52	0.00839959	0.0153644	0.0151013	
132	-4509.52	0.00839959	0.0182582	0.0184884	
133	-4509.52	0.00839959	0.0179622	0.012635	
134	-4509.52	0.00839959	0.0135558	0.0127337	
