# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 42.15 mm
# Type:	Frequency
# Hittite Freq:	19644.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	42.15
i	f	b	s	n
0	-4511.52	0.00686391	0.0351605	0.0364101	
1	-4511.42	0.00686391	0.0493006	0.0346672	
2	-4511.42	0.00686391	0.0487086	0.0387448	
3	-4511.42	0.00686391	0.0436774	0.0459464	
4	-4511.42	0.00686391	0.0438089	0.0476564	
5	-4511.42	0.00686391	0.0444995	0.0461108	
6	-4511.42	0.00686391	0.0443022	0.046637	
7	-4511.42	0.00686391	0.0440063	0.0506159	
8	-4511.42	0.00686391	0.0410796	0.0471302	
9	-4511.42	0.00686391	0.0346343	0.0423949	
10	-4511.32	0.00686391	0.0335821	0.0329573	
11	-4511.32	0.00686391	0.029636	0.0285837	
12	-4511.32	0.00686391	0.0239142	0.0210204	
13	-4511.32	0.00686391	0.0228948	0.0237169	
14	-4511.32	0.00686391	0.0162523	0.0234209	
15	-4511.32	0.00686391	0.0211191	0.0166469	
16	-4511.22	0.00686391	0.0197051	0.0180609	
17	-4511.22	0.00686391	0.0212835	0.0185541	
18	-4511.22	0.00686391	0.0191132	0.0143121	
19	-4511.22	0.00686391	0.0133585	0.0145752	
20	-4511.22	0.00686391	0.0147067	0.0183568	
21	-4511.12	0.00686391	0.0218754	0.0198695	
22	-4511.22	0.00686391	0.0199024	0.0168113	
23	-4511.12	0.00686391	0.0164824	0.0217767	
24	-4511.12	0.00686391	0.0170744	0.0158248	
25	-4511.12	0.00686391	0.0202641	0.0164496	
26	-4511.12	0.00686391	0.0182253	0.0157919	
27	-4511.12	0.00686391	0.0168113	0.0183239	
28	-4511.12	0.00686391	0.0221056	0.0203956	
29	-4511.12	0.00686391	0.0192447	0.0173703	
30	-4511.02	0.00686391	0.0199681	0.0153315	
31	-4511.02	0.00686391	0.016614	0.0149698	
32	-4511.02	0.00686391	0.0193433	0.0162523	
33	-4511.02	0.00686391	0.0183239	0.014049	
34	-4511.02	0.00686391	0.0183897	0.0141477	
35	-4511.02	0.00686391	0.0164167	0.0210862	
36	-4511.02	0.00686391	0.0210862	0.023125	
37	-4510.92	0.00686391	0.0249336	0.027367	
38	-4510.92	0.00686391	0.0186199	0.0292414	
39	-4510.92	0.00686391	0.0204285	0.0236182	
40	-4510.92	0.00686391	0.0260188	0.0219741	
41	-4510.92	0.00686391	0.02056	0.0223687	
42	-4510.92	0.00686391	0.0213493	0.0259859	
43	-4510.92	0.00686391	0.0141148	0.0218096	
44	-4510.92	0.00686391	0.0196393	0.022566	
45	-4510.92	0.00686391	0.0175018	0.0205272	
46	-4510.92	0.00686391	0.0183568	0.023125	
47	-4510.92	0.00686391	0.0188172	0.0193762	
48	-4510.82	0.00686391	0.0186199	0.0188172	
49	-4510.82	0.00686391	0.0175676	0.017732	
50	-4510.82	0.00686391	0.0237827	0.022566	
51	-4510.82	0.00686391	0.0206916	0.0214479	
52	-4510.72	0.00686391	0.0218096	0.0243088	
53	-4510.72	0.00686391	0.0187514	0.0205929	
54	-4510.72	0.00686391	0.0201326	0.019146	
55	-4510.72	0.00686391	0.0199024	0.0255913	
56	-4510.72	0.00686391	0.018028	0.0254926	
57	-4510.62	0.00686391	0.0235854	0.023684	
58	-4510.72	0.00686391	0.0253282	0.0243746	
59	-4510.62	0.00686391	0.0314117	0.0249665	
60	-4510.62	0.00686391	0.0282549	0.0311815	
61	-4510.62	0.00686391	0.034733	0.033023	
62	-4510.62	0.00686391	0.0381529	0.0251309	
63	-4510.62	0.00686391	0.0388764	0.0385804	
64	-4510.62	0.00686391	0.0460122	0.0366074	
65	-4510.52	0.00686391	0.0488731	0.0465054	
66	-4510.52	0.00686391	0.0686363	0.0544633	
67	-4510.52	0.00686391	0.0767915	0.0841575	
68	-4510.52	0.00686391	0.0903396	0.0861963	
69	-4510.52	0.00686391	0.0820858	0.0893531	
70	-4510.52	0.00686391	0.0743252	0.0838286	
71	-4510.42	0.00686391	0.0720891	0.089386	
72	-4510.42	0.00686391	0.0766928	0.0832038	
73	-4510.42	0.00686391	0.0573571	0.0629474	
74	-4510.42	0.00686391	0.0553183	0.0612374	
75	-4510.32	0.00686391	0.0464397	0.0520299	
76	-4510.32	0.00686391	0.0380543	0.0401588	
77	-4510.32	0.00686391	0.0329902	0.0360155	
78	-4510.32	0.00686391	0.0293072	0.0285179	
79	-4510.32	0.00686391	0.0255255	0.029077	
80	-4510.32	0.00686391	0.0208231	0.0249665	
81	-4510.22	0.00686391	0.0210533	0.0272355	
82	-4510.22	0.00686391	0.0223358	0.0203956	
83	-4510.22	0.00686391	0.0220069	0.0222371	
84	-4510.22	0.00686391	0.0196393	0.0215466	
85	-4510.22	0.00686391	0.0218096	0.019442	
86	-4510.22	0.00686391	0.0200668	0.0223029	
87	-4510.22	0.00686391	0.0158248	0.0174032	
88	-4510.22	0.00686391	0.0168442	0.0169757	
89	-4510.12	0.00686391	0.0191132	0.0183239	
90	-4510.12	0.00686391	0.0187514	0.0177649	
91	-4510.12	0.00686391	0.0171072	0.0147067	
92	-4510.02	0.00686391	0.0184884	0.0201983	
93	-4510.02	0.00686391	0.0138517	0.0154959	
94	-4510.02	0.00686391	0.0184555	0.0151671	
95	-4510.02	0.00686391	0.0141148	0.0159234	
96	-4509.92	0.00686391	0.0120102	0.0190145	
97	-4509.92	0.00686391	0.0186857	0.0165153	
98	-4509.92	0.00686391	0.0132927	0.0158248	
99	-4509.92	0.00686391	0.0150684	0.015759	
100	-4509.92	0.00686391	0.0113526	0.016318	
101	-4509.92	0.00686391	0.0173374	0.0132927	
102	-4509.92	0.00686391	0.0100372	0.0101359	
103	-4509.92	0.00686391	0.0105633	0.0134571	
104	-4509.92	0.00686391	0.017469	0.0108593	
105	-4509.82	0.00686391	0.0141148	0.0135887	
106	-4509.82	0.00686391	0.00997144	0.0131612	
107	-4509.82	0.00686391	0.0156275	0.014049	
108	-4509.82	0.00686391	0.0104976	0.0141148	
109	-4509.82	0.00686391	0.01178	0.0105305	
110	-4509.82	0.00686391	0.0140819	0.0154302	
111	-4509.72	0.00686391	0.0128652	0.010662	
112	-4509.72	0.00686391	0.0119774	0.0144436	
113	-4509.72	0.00686391	0.0114841	0.0142792	
114	-4509.72	0.00686391	0.0105962	0.0112539	
115	-4509.72	0.00686391	0.0124048	0.0109251	
116	-4509.72	0.00686391	0.0112539	0.0114183	
117	-4509.72	0.00686391	0.0121418	0.0131941	
118	-4509.72	0.00686391	0.00836013	0.0128981	
119	-4509.72	0.00686391	0.0141806	0.0141477	
120	-4509.72	0.00686391	0.0135229	0.0151342	
121	-4509.72	0.00686391	0.012372	0.0113526	
122	-4509.62	0.00686391	0.00924799	0.00954395	
