# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at 39.15 mm
# Type:	Frequency
# Hittite Freq:	18512.8 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	39.15
i	f	b	s	n
0	-4511.82	0.00357223	0.0600207	0.0296031	
1	-4511.82	0.00357223	0.0555485	0.0260188	
2	-4511.82	0.00357223	0.0502542	0.0254597	
3	-4511.72	0.00357223	0.0516682	0.0283864	
4	-4511.72	0.00357223	0.0493006	0.0348974	
5	-4511.72	0.00357223	0.0578833	0.0351934	
6	-4511.62	0.00357223	0.0517668	0.0357195	
7	-4511.62	0.00357223	0.0505501	0.03812	
8	-4511.62	0.00357223	0.052852	0.0506817	
9	-4511.52	0.00357223	0.0399944	0.0420332	
10	-4511.52	0.00357223	0.0383831	0.0572256	
11	-4511.52	0.00357223	0.0336478	0.0641312	
12	-4511.52	0.00357223	0.0378898	0.0662358	
13	-4511.42	0.00357223	0.0345357	0.0606455	
14	-4511.42	0.00357223	0.0333519	0.0591	
15	-4511.42	0.00357223	0.0256242	0.0496623	
16	-4511.42	0.00357223	0.0201654	0.0414742	
17	-4511.42	0.00357223	0.0241444	0.0409809	
18	-4511.42	0.00357223	0.0234867	0.0317406	
19	-4511.32	0.00357223	0.0254597	0.0311158	
20	-4511.42	0.00357223	0.0180609	0.0258872	
21	-4511.32	0.00357223	0.0147067	0.0294716	
22	-4511.32	0.00357223	0.0181266	0.0261832	
23	-4511.32	0.00357223	0.0220069	0.0254926	
24	-4511.32	0.00357223	0.0194091	0.0203299	
25	-4511.22	0.00357223	0.0175018	0.0232565	
26	-4511.22	0.00357223	0.0187185	0.0227304	
27	-4511.22	0.00357223	0.0143779	0.0182911	
28	-4511.22	0.00357223	0.0142463	0.0206258	
29	-4511.22	0.00357223	0.0159563	0.0245061	
30	-4511.22	0.00357223	0.0180609	0.0180938	
31	-4511.12	0.00357223	0.0206916	0.0162523	
32	-4511.12	0.00357223	0.0158248	0.0219083	
33	-4511.12	0.00357223	0.0176005	0.0172717	
34	-4511.12	0.00357223	0.0227633	0.0172717	
35	-4511.02	0.00357223	0.0139833	0.0213164	
36	-4511.02	0.00357223	0.0169428	0.0168113	
37	-4511.02	0.00357223	0.020297	0.0194749	
38	-4511.02	0.00357223	0.0155288	0.0184555	
39	-4511.02	0.00357223	0.0157261	0.0196064	
40	-4511.02	0.00357223	0.0164167	0.0141806	
41	-4511.02	0.00357223	0.0192776	0.0173045	
42	-4510.92	0.00357223	0.0218754	0.0207573	
43	-4510.92	0.00357223	0.0176991	0.0235196	
44	-4510.92	0.00357223	0.0173374	0.023125	
45	-4510.92	0.00357223	0.0203299	0.0288139	
46	-4510.92	0.00357223	0.0244403	0.0259859	
47	-4510.82	0.00357223	0.0182253	0.0284851	
48	-4510.92	0.00357223	0.0233552	0.0270382	
49	-4510.82	0.00357223	0.0275972	0.0248349	
50	-4510.82	0.00357223	0.0241444	0.0233223	
51	-4510.82	0.00357223	0.0241444	0.0207573	
52	-4510.82	0.00357223	0.0216452	0.021711	
