# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at 39.15 mm
# Type:	Frequency
# Hittite Freq:	19644.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	39.15
i	f	b	s	n
0	-4512.02	0.00192804	0.046637	0.0472618	
1	-4512.02	0.00192804	0.053148	0.038975	
2	-4512.02	0.00192804	0.0577517	0.0530164	
3	-4512.02	0.00192804	0.0498925	0.0573571	
4	-4512.02	0.00192804	0.0542331	0.0632104	
5	-4512.02	0.00192804	0.0555814	0.0525561	
6	-4511.92	0.00192804	0.0467027	0.0519642	
7	-4511.92	0.00192804	0.0390737	0.0415071	
8	-4511.82	0.00192804	0.0378898	0.0430197	
9	-4511.82	0.00192804	0.0302608	0.0341411	
10	-4511.82	0.00192804	0.0315104	0.0257886	
11	-4511.72	0.00192804	0.0240129	0.0240457	
12	-4511.72	0.00192804	0.0224344	0.0180938	
13	-4511.72	0.00192804	0.0193762	0.0257557	
14	-4511.72	0.00192804	0.0211191	0.0169428	
15	-4511.62	0.00192804	0.0179622	0.0218096	
16	-4511.62	0.00192804	0.0220727	0.0189159	
17	-4511.62	0.00192804	0.0136873	0.0211848	
18	-4511.62	0.00192804	0.0158576	0.0218096	
19	-4511.62	0.00192804	0.0154959	0.0179293	
20	-4511.52	0.00192804	0.021415	0.0171072	
21	-4511.52	0.00192804	0.0176005	0.0150356	
22	-4511.52	0.00192804	0.0212506	0.0206258	
23	-4511.42	0.00192804	0.0181266	0.0162523	
24	-4511.42	0.00192804	0.0152986	0.0175347	
25	-4511.42	0.00192804	0.0128323	0.0158905	
26	-4511.42	0.00192804	0.0196393	0.0188501	
27	-4511.42	0.00192804	0.0192118	0.0213493	
28	-4511.42	0.00192804	0.0204943	0.0159563	
29	-4511.42	0.00192804	0.0190803	0.018028	
30	-4511.42	0.00192804	0.0154302	0.0165482	
31	-4511.42	0.00192804	0.0155617	0.0165153	
32	-4511.42	0.00192804	0.014049	0.0165153	
33	-4511.42	0.00192804	0.0181595	0.0113854	
34	-4511.42	0.00192804	0.0174361	0.0155288	
35	-4511.42	0.00192804	0.0192447	0.0183568	
36	-4511.42	0.00192804	0.0187185	0.0228948	
37	-4511.42	0.00192804	0.0173703	0.0197051	
38	-4511.32	0.00192804	0.0179622	0.0264134	
39	-4511.32	0.00192804	0.0198695	0.0234538	
40	-4511.32	0.00192804	0.0218754	0.0219083	
41	-4511.32	0.00192804	0.0240786	0.0215137	
42	-4511.32	0.00192804	0.0191132	0.0209218	
43	-4511.22	0.00192804	0.0215466	0.0180609	
44	-4511.22	0.00192804	0.0214479	0.0200339	
45	-4511.12	0.00192804	0.0185212	0.0174361	
46	-4511.12	0.00192804	0.0182253	0.0176334	
47	-4511.12	0.00192804	0.0221056	0.0209218	
48	-4511.12	0.00192804	0.0232894	0.0212835	
49	-4511.12	0.00192804	0.0199024	0.0254269	
50	-4511.12	0.00192804	0.0219412	0.0281562	
51	-4511.12	0.00192804	0.0293729	0.0248021	
52	-4511.12	0.00192804	0.0263805	0.027367	
53	-4511.02	0.00192804	0.025098	0.0208231	
54	-4511.02	0.00192804	0.0310829	0.0249665	
55	-4511.02	0.00192804	0.0332861	0.0267751	
56	-4511.02	0.00192804	0.0324311	0.028222	
57	-4511.02	0.00192804	0.0325298	0.0331217	
58	-4511.02	0.00192804	0.0359168	0.0354564	
59	-4511.12	0.00192804	0.0408165	0.0395012	
60	-4511.02	0.00192804	0.0542003	0.0431513	
61	-4511.02	0.00192804	0.0532795	0.0445324	
62	-4511.02	0.00192804	0.0555814	0.0510434	
63	-4511.02	0.00192804	0.0652164	0.0525232	
64	-4511.02	0.00192804	0.0685376	0.0588369	
65	-4510.92	0.00192804	0.0790605	0.0594288	
66	-4510.92	0.00192804	0.0950749	0.0827435	
67	-4510.92	0.00192804	0.0997773	0.0992183	
68	-4510.92	0.00192804	0.11007	0.135358	
69	-4510.92	0.00192804	0.0860319	0.133352	
70	-4510.92	0.00192804	0.084585	0.11326	
71	-4510.92	0.00192804	0.0756405	0.0824804	
72	-4510.82	0.00192804	0.0702476	0.0704449	
73	-4510.82	0.00192804	0.0582121	0.0646902	
74	-4510.82	0.00192804	0.0440063	0.0416057	
75	-4510.82	0.00192804	0.0385146	0.0470316	
76	-4510.82	0.00192804	0.0392052	0.0373308	
77	-4510.82	0.00192804	0.0295702	0.034733	
78	-4510.72	0.00192804	0.0277945	0.0314775	
79	-4510.72	0.00192804	0.0283864	0.0368047	
80	-4510.72	0.00192804	0.0264791	0.0324311	
