# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 41.15 mm
# Type:	Frequency
# Hittite Freq:	18521.8 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	41.15
i	f	b	s	n
0	-4511.52	0.0128159	0.0498267	0.0305239	
1	-4511.52	0.0128159	0.0539701	0.0398629	
2	-4511.52	0.0128159	0.0457491	0.0561733	
3	-4511.52	0.0128159	0.0470645	0.0650519	
4	-4511.42	0.0128159	0.0491033	0.0599878	
5	-4511.42	0.0128159	0.0426251	0.0563048	
6	-4511.42	0.0128159	0.0441378	0.0513394	
7	-4511.42	0.0128159	0.0393696	0.0536741	
8	-4511.42	0.0128159	0.0421319	0.0470973	
9	-4511.42	0.0128159	0.0342397	0.0466041	
10	-4511.42	0.0128159	0.0315761	0.0365745	
11	-4511.42	0.0128159	0.028222	0.0315104	
12	-4511.42	0.0128159	0.0274657	0.0238813	
13	-4511.42	0.0128159	0.0236511	0.0305239	
14	-4511.42	0.0128159	0.0269066	0.0282878	
15	-4511.42	0.0128159	0.0223358	0.0231579	
16	-4511.42	0.0128159	0.0256242	0.0263476	
17	-4511.32	0.0128159	0.0167126	0.026512	
18	-4511.32	0.0128159	0.0239142	0.0253282	
19	-4511.32	0.0128159	0.0224344	0.0188172	
20	-4511.32	0.0128159	0.022829	0.0218754	
21	-4511.32	0.0128159	0.017173	0.0220727	
22	-4511.32	0.0128159	0.021152	0.0195078	
23	-4511.32	0.0128159	0.0166469	0.0189159	
24	-4511.32	0.0128159	0.020297	0.0194091	
25	-4511.22	0.0128159	0.0170415	0.0203956	
26	-4511.22	0.0128159	0.019442	0.0221714	
27	-4511.22	0.0128159	0.0195735	0.0229277	
28	-4511.22	0.0128159	0.0196722	0.0221056	
29	-4511.12	0.0128159	0.0207245	0.0172059	
30	-4511.12	0.0128159	0.0219412	0.0198366	
31	-4511.12	0.0128159	0.0209547	0.0196393	
32	-4511.12	0.0128159	0.0165482	0.0210862	
33	-4511.12	0.0128159	0.02227	0.023125	
34	-4511.02	0.0128159	0.0211848	0.0240457	
35	-4511.02	0.0128159	0.0233881	0.0216781	
36	-4511.02	0.0128159	0.0204614	0.0273341	
37	-4511.02	0.0128159	0.0212506	0.0316748	
38	-4511.02	0.0128159	0.0232236	0.0285508	
39	-4511.02	0.0128159	0.0201654	0.0272355	
40	-4510.92	0.0128159	0.0197051	0.0289126	
41	-4510.92	0.0128159	0.0224015	0.0245061	
42	-4510.92	0.0128159	0.0264463	0.0237498	
43	-4510.92	0.0128159	0.0220398	0.0251309	
44	-4510.92	0.0128159	0.0233552	0.0281891	
45	-4510.92	0.0128159	0.0236182	0.0214479	
46	-4510.92	0.0128159	0.0251309	0.0226646	
47	-4510.92	0.0128159	0.0212506	0.0218754	
48	-4510.92	0.0128159	0.0263147	0.0224344	
49	-4510.92	0.0128159	0.0229606	0.0293072	
50	-4510.92	0.0128159	0.0221714	0.0201326	
51	-4510.92	0.0128159	0.0270382	0.0227961	
52	-4510.82	0.0128159	0.0248678	0.0224673	
53	-4510.82	0.0128159	0.0306554	0.0293072	
54	-4510.82	0.0128159	0.0341082	0.027367	
55	-4510.82	0.0128159	0.0337465	0.0342069	
56	-4510.82	0.0128159	0.0397971	0.0284193	
57	-4510.82	0.0128159	0.0406192	0.0314775	
58	-4510.82	0.0128159	0.0461108	0.0306883	
59	-4510.82	0.0128159	0.0500898	0.034174	
60	-4510.82	0.0128159	0.0616978	0.0394683	
61	-4510.82	0.0128159	0.0566008	0.037561	
62	-4510.72	0.0128159	0.0659069	0.0395669	
63	-4510.72	0.0128159	0.0710697	0.0438089	
64	-4510.72	0.0128159	0.0811322	0.0457162	
65	-4510.72	0.0128159	0.0812966	0.0535426	
66	-4510.72	0.0128159	0.0774163	0.067288	
67	-4510.62	0.0128159	0.0782055	0.080606	
68	-4510.62	0.0128159	0.0710697	0.116022	
69	-4510.62	0.0128159	0.0841246	0.112306	
70	-4510.62	0.0128159	0.0657096	0.0968835	
71	-4510.52	0.0128159	0.06617	0.0969164	
72	-4510.52	0.0128159	0.0673538	0.0890901	
73	-4510.52	0.0128159	0.0579161	0.0736675	
74	-4510.52	0.0128159	0.0478208	0.0633749	
75	-4510.42	0.0128159	0.03983	0.0536412	
76	-4510.42	0.0128159	0.0333519	0.0427895	
77	-4510.42	0.0128159	0.0309185	0.0408823	
78	-4510.42	0.0128159	0.0290112	0.0324311	
79	-4510.32	0.0128159	0.0285837	0.0339109	
80	-4510.32	0.0128159	0.0295373	0.0292414	
81	-4510.32	0.0128159	0.0234538	0.0297346	
82	-4510.32	0.0128159	0.0201654	0.0237498	
83	-4510.32	0.0128159	0.0195406	0.0262161	
84	-4510.32	0.0128159	0.0241773	0.0268409	
85	-4510.32	0.0128159	0.023684	0.0239471	
86	-4510.32	0.0128159	0.0209875	0.0194091	
87	-4510.32	0.0128159	0.0215466	0.0225331	
88	-4510.32	0.0128159	0.0189816	0.0225002	
89	-4510.32	0.0128159	0.0192447	0.0186199	
90	-4510.32	0.0128159	0.016318	0.021152	
91	-4510.32	0.0128159	0.0176991	0.0229277	
92	-4510.32	0.0128159	0.0180609	0.0240457	
93	-4510.32	0.0128159	0.0209218	0.0201983	
94	-4510.32	0.0128159	0.0169757	0.0193762	
95	-4510.32	0.0128159	0.0215466	0.0217439	
96	-4510.32	0.0128159	0.0198695	0.0175347	
97	-4510.32	0.0128159	0.0195078	0.0207902	
98	-4510.32	0.0128159	0.0217767	0.0215137	
99	-4510.22	0.0128159	0.0220398	0.0230592	
100	-4510.22	0.0128159	0.0165153	0.0213821	
101	-4510.22	0.0128159	0.0200339	0.02056	
102	-4510.22	0.0128159	0.0193105	0.0185541	
103	-4510.22	0.0128159	0.015463	0.0199353	
104	-4510.22	0.0128159	0.0186857	0.016055	
105	-4510.12	0.0128159	0.0226317	0.0184555	
106	-4510.12	0.0128159	0.0192776	0.0180938	
107	-4510.12	0.0128159	0.0162851	0.0201326	
108	-4510.12	0.0128159	0.0212177	0.0175347	
109	-4510.12	0.0128159	0.0178636	0.0166469	
110	-4510.12	0.0128159	0.0174361	0.0212506	
111	-4510.02	0.0128159	0.0169428	0.0201326	
112	-4510.02	0.0128159	0.0210204	0.0198037	
113	-4510.02	0.0128159	0.0204614	0.0139833	
114	-4510.02	0.0128159	0.020297	0.0204943	
115	-4509.92	0.0128159	0.0137202	0.0165153	
116	-4509.92	0.0128159	0.0192776	0.0198695	
117	-4509.92	0.0128159	0.0195078	0.0175018	
118	-4509.82	0.0128159	0.022566	0.0199353	
119	-4509.82	0.0128159	0.0179951	0.0132269	
120	-4509.82	0.0128159	0.0154959	0.0167126	
121	-4509.72	0.0128159	0.0178965	0.0210204	
122	-4509.72	0.0128159	0.0154959	0.0184226	
123	-4509.72	0.0128159	0.0167784	0.0186528	
124	-4509.72	0.0128159	0.0176334	0.0142463	
125	-4509.62	0.0128159	0.014904	0.0176991	
126	-4509.62	0.0128159	0.0133914	0.0142135	
127	-4509.62	0.0128159	0.0145423	0.0152	
128	-4509.62	0.0128159	0.0142792	0.0159563	
129	-4509.52	0.0128159	0.0173045	0.0157919	
130	-4509.52	0.0128159	0.0141477	0.0167784	
131	-4509.52	0.0128159	0.0156603	0.0134242	
132	-4509.52	0.0128159	0.0167455	0.0195078	
133	-4509.42	0.0128159	0.0177649	0.0170415	
134	-4509.42	0.0128159	0.0191132	0.019442	
