# Title: Diode Laser Frequency Scan, no Static, looking for MW power shift.
# Note:	Frequency Scan at n=27. No Static, no PM, MW blinked. -10 dB attenuation. Looking for MW power shift. 610 Lens micrometer at at 42.15 mm
# Type:	Frequency
# Hittite Freq:	18521.8 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	10 dB
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
# 610 Micrometer:	42.15
i	f	b	s	n
0	-4511.62	0.00523287	0.0360155	0.0256899	
1	-4511.62	0.00523287	0.0297346	0.0335492	
2	-4511.62	0.00523287	0.0341082	0.0372979	
3	-4511.62	0.00523287	0.0294387	0.0533453	
4	-4511.62	0.00523287	0.032464	0.0494979	
5	-4511.52	0.00523287	0.0249336	0.0448612	
6	-4511.52	0.00523287	0.0255584	0.0474919	
7	-4511.52	0.00523287	0.0227304	0.0523259	
8	-4511.52	0.00523287	0.0255584	0.0420332	
9	-4511.42	0.00523287	0.0161865	0.0399615	
10	-4511.42	0.00523287	0.0248021	0.0379885	
11	-4511.42	0.00523287	0.0183239	0.0313788	
12	-4511.42	0.00523287	0.0214808	0.0245719	
13	-4511.32	0.00523287	0.0190803	0.0234867	
14	-4511.32	0.00523287	0.0159563	0.0169099	
15	-4511.32	0.00523287	0.0166797	0.0207573	
16	-4511.32	0.00523287	0.016055	0.0162194	
17	-4511.32	0.00523287	0.0131283	0.0189159	
18	-4511.22	0.00523287	0.0164167	0.0166469	
19	-4511.22	0.00523287	0.012635	0.016614	
20	-4511.22	0.00523287	0.0139504	0.0157261	
21	-4511.12	0.00523287	0.0124377	0.0186857	
22	-4511.12	0.00523287	0.0174032	0.0172059	
23	-4511.12	0.00523287	0.012931	0.0192447	
24	-4511.12	0.00523287	0.0148054	0.0170415	
25	-4511.12	0.00523287	0.0182253	0.0205272	
26	-4511.02	0.00523287	0.0154959	0.0177649	
27	-4511.02	0.00523287	0.0145423	0.0161536	
28	-4511.02	0.00523287	0.0162194	0.0139175	
29	-4511.02	0.00523287	0.0143121	0.0152329	
30	-4511.02	0.00523287	0.0195078	0.0181266	
31	-4511.02	0.00523287	0.0176663	0.0209547	
32	-4511.02	0.00523287	0.0175347	0.0186857	
33	-4510.92	0.00523287	0.0195078	0.0176663	
34	-4510.92	0.00523287	0.0112539	0.0168113	
35	-4510.92	0.00523287	0.0168771	0.0209547	
36	-4510.92	0.00523287	0.0147725	0.0232565	
37	-4510.92	0.00523287	0.016318	0.023684	
38	-4510.82	0.00523287	0.0146081	0.0269395	
39	-4510.82	0.00523287	0.0184555	0.0274657	
40	-4510.82	0.00523287	0.0173703	0.0263147	
41	-4510.82	0.00523287	0.021415	0.0232894	
42	-4510.82	0.00523287	0.0186199	0.020856	
43	-4510.82	0.00523287	0.0186857	0.0219412	
44	-4510.82	0.00523287	0.0197379	0.0196393	
45	-4510.82	0.00523287	0.0212835	0.021415	
46	-4510.82	0.00523287	0.0239471	0.0250323	
47	-4510.82	0.00523287	0.023125	0.0230921	
48	-4510.82	0.00523287	0.0217767	0.0168113	
49	-4510.72	0.00523287	0.0220727	0.021152	
50	-4510.72	0.00523287	0.0258543	0.024243	
51	-4510.72	0.00523287	0.027367	0.0228619	
52	-4510.62	0.00523287	0.0295702	0.0187514	
53	-4510.62	0.00523287	0.0396985	0.0230263	
54	-4510.72	0.00523287	0.0325627	0.0212506	
55	-4510.62	0.00523287	0.0513722	0.0230921	
56	-4510.62	0.00523287	0.0613032	0.02227	
57	-4510.62	0.00523287	0.0702147	0.022566	
58	-4510.62	0.00523287	0.0740621	0.0233881	
59	-4510.62	0.00523287	0.0645587	0.0291099	
