# Title: Diode Laser Delay Scan, 9 dB MW, Long Scan.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 43 dB PM, 55.76 V Top to Bot, n=27 l=3 +1 sideband. Full Scan.
# Type:	Delay
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361385.7 GHz
# Target:	n=27 l=3 +1 mW sideband in 56.76 V
# Laser Mod:	0th: 0.58, 1st: 0.54
# Laser Mod Attn:	43 dB
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
i	d	n	nb	s	sb
109.000	143544.000	1.000	0.000	0.111	-0.013
110.000	142472.000	1.000	0.000	0.103	-0.013
111.000	141401.000	1.000	0.000	0.090	-0.013
112.000	140329.000	1.000	0.000	0.073	-0.013
113.000	139257.000	1.000	0.000	0.075	-0.013
114.000	138185.000	1.000	0.000	0.070	-0.013
115.000	137113.000	1.000	0.000	0.074	-0.013
116.000	136041.000	1.000	0.000	0.088	-0.013
117.000	134969.000	1.000	0.000	0.109	-0.013
118.000	133898.000	1.000	0.000	0.129	-0.013
119.000	132826.000	1.000	0.000	0.115	-0.013
120.000	131754.000	1.000	0.000	0.129	-0.013
121.000	130682.000	1.000	0.000	0.124	-0.013
122.000	129610.000	1.000	0.000	0.123	-0.013
123.000	128538.000	1.000	0.000	0.129	-0.013
124.000	127466.000	1.000	0.000	0.130	-0.013
125.000	126395.000	1.000	0.000	0.105	-0.013
126.000	125323.000	1.000	0.000	0.089	-0.013
127.000	124251.000	1.000	0.000	0.087	-0.013
128.000	123179.000	1.000	0.000	0.070	-0.013
129.000	122107.000	1.000	0.000	0.068	-0.013
130.000	121035.000	1.000	0.000	0.074	-0.013
131.000	119963.000	1.000	0.000	0.097	-0.013
132.000	118892.000	1.000	0.000	0.111	-0.013
133.000	117820.000	1.000	0.000	0.080	-0.013
134.000	116748.000	1.000	0.000	0.087	-0.013
135.000	115676.000	1.000	0.000	0.083	-0.013
136.000	114604.000	1.000	0.000	0.098	-0.013
137.000	113532.000	1.000	0.000	0.080	-0.013
138.000	112460.000	1.000	0.000	0.079	-0.013
139.000	111389.000	1.000	0.000	0.075	-0.013
140.000	110317.000	1.000	0.000	0.070	-0.013
141.000	109245.000	1.000	0.000	0.065	-0.013
142.000	108173.000	1.000	0.000	0.056	-0.013
143.000	107101.000	1.000	0.000	0.057	-0.013
144.000	106029.000	1.000	0.000	0.060	-0.013
145.000	104957.000	1.000	0.000	0.065	-0.013
146.000	103885.000	1.000	0.000	0.069	-0.013
147.000	102814.000	1.000	0.000	0.083	-0.013
148.000	101742.000	1.000	0.000	0.091	-0.013
149.000	100670.000	1.000	0.000	0.095	-0.013
150.000	99598.000	1.000	0.000	0.097	-0.013
151.000	98526.000	1.000	0.000	0.087	-0.013
152.000	97454.000	1.000	0.000	0.090	-0.013
153.000	96382.000	1.000	0.000	0.082	-0.013
154.000	95311.000	1.000	0.000	0.081	-0.013
155.000	94239.000	1.000	0.000	0.073	-0.013
156.000	93167.000	1.000	0.000	0.077	-0.013
157.000	92095.000	1.000	0.000	0.061	-0.013
158.000	91023.000	1.000	0.000	0.057	-0.013
159.000	89951.000	1.000	0.000	0.087	-0.013
160.000	88879.000	1.000	0.000	0.089	-0.013
161.000	87808.000	1.000	0.000	0.113	-0.013
162.000	86736.000	1.000	0.000	0.130	-0.013
163.000	85664.000	1.000	0.000	0.127	-0.013
164.000	84592.000	1.000	0.000	0.137	-0.013
165.000	83520.000	1.000	0.000	0.123	-0.013
166.000	82448.000	1.000	0.000	0.124	-0.013
167.000	81376.000	1.000	0.000	0.135	-0.013
168.000	80305.000	1.000	0.000	0.135	-0.013
169.000	79233.000	1.000	0.000	0.104	-0.013
170.000	78161.000	1.000	0.000	0.102	-0.013
171.000	77089.000	1.000	0.000	0.087	-0.013
172.000	76017.000	1.000	0.000	0.074	-0.013
173.000	74945.000	1.000	0.000	0.071	-0.013
174.000	73873.000	1.000	0.000	0.078	-0.013
175.000	72802.000	1.000	0.000	0.093	-0.013
176.000	71730.000	1.000	0.000	0.100	-0.013
177.000	70658.000	1.000	0.000	0.129	-0.013
178.000	69586.000	1.000	0.000	0.132	-0.013
179.000	68514.000	1.000	0.000	0.134	-0.013
180.000	67442.000	1.000	0.000	0.127	-0.013
181.000	66370.000	1.000	0.000	0.112	-0.013
182.000	65299.000	1.000	0.000	0.127	-0.013
183.000	64227.000	1.000	0.000	0.130	-0.013
184.000	63155.000	1.000	0.000	0.118	-0.013
185.000	62083.000	1.000	0.000	0.100	-0.013
186.000	61011.000	1.000	0.000	0.077	-0.013
187.000	59939.000	1.000	0.000	0.080	-0.013
188.000	58867.000	1.000	0.000	0.069	-0.013
189.000	57796.000	1.000	0.000	0.091	-0.013
190.000	56724.000	1.000	0.000	0.095	-0.013
191.000	55652.000	1.000	0.000	0.099	-0.013
192.000	54580.000	1.000	0.000	0.106	-0.013
193.000	53508.000	1.000	0.000	0.105	-0.013
194.000	52436.000	1.000	0.000	0.121	-0.013
195.000	51364.000	1.000	0.000	0.118	-0.013
196.000	50292.000	1.000	0.000	0.109	-0.013
197.000	49221.000	1.000	0.000	0.119	-0.013
198.000	48149.000	1.000	0.000	0.116	-0.013
199.000	47077.000	1.000	0.000	0.099	-0.013
200.000	47345.000	1.000	0.000	0.110	-0.013
201.000	48417.000	1.000	0.000	0.111	-0.013
202.000	49489.000	1.000	0.000	0.120	-0.013
203.000	50560.000	1.000	0.000	0.117	-0.013
204.000	51632.000	1.000	0.000	0.137	-0.013
205.000	52704.000	1.000	0.000	0.108	-0.013
206.000	53776.000	1.000	0.000	0.117	-0.013
207.000	54848.000	1.000	0.000	0.096	-0.013
208.000	55920.000	1.000	0.000	0.100	-0.013
209.000	56992.000	1.000	0.000	0.077	-0.013
210.000	58063.000	1.000	0.000	0.070	-0.013
211.000	59135.000	1.000	0.000	0.062	-0.013
212.000	60207.000	1.000	0.000	0.073	-0.013
213.000	61279.000	1.000	0.000	0.080	-0.013
214.000	62351.000	1.000	0.000	0.095	-0.013
215.000	63423.000	1.000	0.000	0.106	-0.013
216.000	64495.000	1.000	0.000	0.113	-0.013
217.000	65566.000	1.000	0.000	0.114	-0.013
218.000	66638.000	1.000	0.000	0.112	-0.013
219.000	67710.000	1.000	0.000	0.111	-0.013
220.000	68782.000	1.000	0.000	0.117	-0.013
221.000	69854.000	1.000	0.000	0.106	-0.013
222.000	70926.000	1.000	0.000	0.106	-0.013
223.000	71998.000	1.000	0.000	0.088	-0.013
224.000	73070.000	1.000	0.000	0.081	-0.013
225.000	74141.000	1.000	0.000	0.064	-0.013
226.000	75213.000	1.000	0.000	0.064	-0.013
227.000	76285.000	1.000	0.000	0.075	-0.013
228.000	77357.000	1.000	0.000	0.078	-0.013
229.000	78429.000	1.000	0.000	0.098	-0.013
230.000	79501.000	1.000	0.000	0.107	-0.013
231.000	80573.000	1.000	0.000	0.116	-0.013
232.000	81644.000	1.000	0.000	0.099	-0.013
233.000	82716.000	1.000	0.000	0.115	-0.013
234.000	83788.000	1.000	0.000	0.114	-0.013
235.000	84860.000	1.000	0.000	0.107	-0.013
236.000	85932.000	1.000	0.000	0.109	-0.013
237.000	87004.000	1.000	0.000	0.101	-0.013
238.000	88076.000	1.000	0.000	0.084	-0.013
239.000	89147.000	1.000	0.000	0.075	-0.013
240.000	90219.000	1.000	0.000	0.072	-0.013
241.000	91291.000	1.000	0.000	0.057	-0.013
242.000	92363.000	1.000	0.000	0.066	-0.013
243.000	93435.000	1.000	0.000	0.088	-0.013
244.000	94507.000	1.000	0.000	0.091	-0.013
245.000	95579.000	1.000	0.000	0.096	-0.013
246.000	96650.000	1.000	0.000	0.114	-0.013
247.000	97722.000	1.000	0.000	0.083	-0.013
248.000	98794.000	1.000	0.000	0.092	-0.013
249.000	99866.000	1.000	0.000	0.092	-0.013
250.000	100938.000	1.000	0.000	0.083	-0.013
251.000	102010.000	1.000	0.000	0.082	-0.013
252.000	103082.000	1.000	0.000	0.061	-0.013
253.000	104153.000	1.000	0.000	0.069	-0.013
254.000	105225.000	1.000	0.000	0.046	-0.013
255.000	106297.000	1.000	0.000	0.035	-0.013
256.000	107369.000	1.000	0.000	0.047	-0.013
257.000	108441.000	1.000	0.000	0.054	-0.013
258.000	109513.000	1.000	0.000	0.064	-0.013
259.000	110585.000	1.000	0.000	0.055	-0.013
260.000	111656.000	1.000	0.000	0.067	-0.013
261.000	112728.000	1.000	0.000	0.077	-0.013
262.000	113800.000	1.000	0.000	0.081	-0.013
263.000	114872.000	1.000	0.000	0.080	-0.013
264.000	115944.000	1.000	0.000	0.078	-0.013
265.000	117016.000	1.000	0.000	0.077	-0.013
266.000	118088.000	1.000	0.000	0.084	-0.013
267.000	119160.000	1.000	0.000	0.067	-0.013
268.000	120231.000	1.000	0.000	0.066	-0.013
269.000	121303.000	1.000	0.000	0.062	-0.013
270.000	122375.000	1.000	0.000	0.055	-0.013
271.000	123447.000	1.000	0.000	0.057	-0.013
272.000	124519.000	1.000	0.000	0.075	-0.013
273.000	125591.000	1.000	0.000	0.091	-0.013
274.000	126663.000	1.000	0.000	0.106	-0.013
275.000	127734.000	1.000	0.000	0.104	-0.013
