# Title: Diode Laser Toptica Frequency Scan, 9 dB MW, PM Blink.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 35 dB PM, 55.75 V Top to Bot, n=27. Use Toptica to scan from 361373 to 361345 ish GHz over 10 Seconds.
# Type:	Toptica Frequency
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361373 to 361345 GHz
# Target:	Full Stark States in 55.75 V = 9.2 V/cm
# Laser Mod:	0th: 1.35	1st: 1.41
# Laser Mod Attn:	35 dB
# Delay:	106892 (pi, Max for Red States)
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
b	r	s
0.014	0.022	0.025
0.004	0.018	0.028
0.011	0.016	0.029
0.021	0.013	0.018
0.016	0.010	0.025
0.011	0.012	0.017
0.012	0.005	0.023
0.010	0.014	0.010
0.007	0.020	0.022
0.013	0.021	0.026
0.022	0.022	0.019
0.016	0.020	0.026
0.012	0.002	0.010
0.015	0.012	0.001
0.004	0.017	0.007
0.013	0.020	0.013
0.018	0.013	0.008
0.010	0.022	0.016
0.014	0.017	0.020
0.022	0.024	0.011
0.026	0.015	0.017
0.007	0.015	0.014
0.011	0.014	0.018
0.008	0.021	0.024
0.006	0.022	0.008
0.016	0.017	0.021
0.022	0.021	0.019
0.026	0.016	0.023
0.024	0.021	0.028
0.018	0.005	0.017
0.019	0.011	0.013
0.011	0.019	0.018
0.017	0.025	0.012
0.016	0.023	0.013
0.008	0.030	0.022
0.014	0.008	0.025
0.021	0.019	0.020
0.022	0.016	0.019
0.019	0.011	0.013
0.016	0.020	0.019
0.007	0.024	0.006
0.009	0.026	0.004
0.013	0.021	0.018
0.019	0.022	0.006
0.018	0.012	0.015
0.013	0.013	0.025
0.012	0.009	0.005
0.013	0.019	0.011
0.011	0.024	0.024
0.016	0.018	0.017
0.015	0.027	0.017
0.006	0.019	0.029
0.013	0.018	0.027
0.020	0.021	0.023
0.017	0.017	0.024
0.013	0.026	0.023
0.014	0.018	0.019
0.006	0.017	0.006
0.011	0.018	0.012
0.020	0.009	0.023
0.020	0.018	0.016
0.013	0.018	0.017
0.008	0.003	0.013
0.013	0.006	0.006
0.011	0.013	0.015
0.018	0.018	0.022
0.024	0.011	0.013
0.015	0.014	0.016
0.012	0.016	0.021
0.019	0.009	0.015
0.023	0.015	0.023
0.011	0.009	0.013
0.012	-0.001	0.022
0.012	0.009	0.025
0.014	0.016	0.020
0.018	0.022	0.018
0.019	0.028	0.016
0.022	0.017	0.022
0.024	0.019	0.024
0.023	0.005	0.015
0.023	0.011	0.020
0.013	0.021	0.022
0.021	0.030	0.017
0.015	0.020	0.023
0.007	0.025	0.022
0.015	0.005	0.026
0.022	0.013	0.017
0.016	0.011	0.024
0.011	0.009	0.015
0.015	0.013	0.028
0.011	0.018	0.020
0.015	0.021	0.020
0.020	0.019	0.026
0.027	0.019	0.030
0.028	0.015	0.028
0.015	0.007	0.030
0.016	0.008	0.016
0.011	0.007	0.022
0.014	0.016	0.027
0.018	0.007	0.022
