# Title: Diode Laser Delay Scan, 9 dB MW, Short Scan.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 40.0 dB PM, 55.76 V Top to Bot, n=27 l=26. Short scan with small modulation to find min and max phases.
# Type:	Delay
# Hittite Freq:	18511.0 MHz
# Hittite: Power	18.6 dBm
# Laser Freq:	361371.4 GHz
# Target:	n=27 l=26 in 56.76 V
# Laser Mod:	0th: 0.73, 1st: 0.78
# Laser Mod Attn:	40.0 dB
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	+0.0060 V
# Static:	+55.76 V (9.2 V/cm)
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	82842.000	1.000	0.000	0.127	-0.004
1.000	83914.000	1.000	0.000	0.129	-0.004
2.000	84986.000	1.000	0.000	0.104	-0.004
3.000	86059.000	1.000	0.000	0.087	-0.004
4.000	87131.000	1.000	0.000	0.084	-0.004
5.000	88204.000	1.000	0.000	0.049	-0.004
6.000	89276.000	1.000	0.000	0.047	-0.004
7.000	90348.000	1.000	0.000	0.030	-0.004
8.000	91421.000	1.000	0.000	0.034	-0.004
9.000	92493.000	1.000	0.000	0.045	-0.004
10.000	93566.000	1.000	0.000	0.061	-0.004
11.000	94638.000	1.000	0.000	0.063	-0.004
12.000	95710.000	1.000	0.000	0.087	-0.004
13.000	96783.000	1.000	0.000	0.101	-0.004
14.000	97855.000	1.000	0.000	0.125	-0.004
15.000	98928.000	1.000	0.000	0.143	-0.004
16.000	100000.000	1.000	0.000	0.115	-0.004
17.000	101072.000	1.000	0.000	0.110	-0.004
18.000	102145.000	1.000	0.000	0.091	-0.004
19.000	103217.000	1.000	0.000	0.071	-0.004
20.000	104290.000	1.000	0.000	0.038	-0.004
21.000	105362.000	1.000	0.000	0.041	-0.004
22.000	106434.000	1.000	0.000	0.030	-0.004
23.000	107507.000	1.000	0.000	0.037	-0.004
24.000	108579.000	1.000	0.000	0.041	-0.004
25.000	109652.000	1.000	0.000	0.062	-0.004
26.000	110724.000	1.000	0.000	0.070	-0.004
27.000	111796.000	1.000	0.000	0.077	-0.004
28.000	112869.000	1.000	0.000	0.103	-0.004
29.000	113941.000	1.000	0.000	0.115	-0.004
30.000	115014.000	1.000	0.000	0.123	-0.004
31.000	116086.000	1.000	0.000	0.119	-0.004
32.000	117158.000	1.000	0.000	0.111	-0.004
33.000	116354.000	1.000	0.000	0.114	-0.004
34.000	115282.000	1.000	0.000	0.118	-0.004
35.000	114209.000	1.000	0.000	0.115	-0.004
36.000	113137.000	1.000	0.000	0.108	-0.004
37.000	112065.000	1.000	0.000	0.089	-0.004
38.000	110992.000	1.000	0.000	0.072	-0.004
39.000	109920.000	1.000	0.000	0.058	-0.004
40.000	108847.000	1.000	0.000	0.045	-0.004
41.000	107775.000	1.000	0.000	0.038	-0.004
42.000	106703.000	1.000	0.000	0.028	-0.004
43.000	105630.000	1.000	0.000	0.031	-0.004
44.000	104558.000	1.000	0.000	0.052	-0.004
45.000	103485.000	1.000	0.000	0.060	-0.004
46.000	102413.000	1.000	0.000	0.074	-0.004
47.000	101341.000	1.000	0.000	0.095	-0.004
48.000	100268.000	1.000	0.000	0.111	-0.004
49.000	99196.000	1.000	0.000	0.133	-0.004
50.000	98123.000	1.000	0.000	0.118	-0.004
51.000	97051.000	1.000	0.000	0.114	-0.004
52.000	95978.000	1.000	0.000	0.096	-0.004
53.000	94906.000	1.000	0.000	0.067	-0.004
54.000	93834.000	1.000	0.000	0.052	-0.004
55.000	92761.000	1.000	0.000	0.039	-0.004
56.000	91689.000	1.000	0.000	0.033	-0.004
57.000	90616.000	1.000	0.000	0.037	-0.004
58.000	89544.000	1.000	0.000	0.038	-0.004
59.000	88472.000	1.000	0.000	0.054	-0.004
60.000	87399.000	1.000	0.000	0.064	-0.004
61.000	86327.000	1.000	0.000	0.084	-0.004
62.000	85254.000	1.000	0.000	0.106	-0.004
63.000	84182.000	1.000	0.000	0.124	-0.004
64.000	83110.000	1.000	0.000	0.130	-0.004
65.000	83378.000	1.000	0.000	0.126	-0.004
66.000	84450.000	1.000	0.000	0.117	-0.004
67.000	85523.000	1.000	0.000	0.101	-0.004
68.000	86595.000	1.000	0.000	0.077	-0.004
69.000	87667.000	1.000	0.000	0.059	-0.004
70.000	88740.000	1.000	0.000	0.048	-0.004
71.000	89812.000	1.000	0.000	0.033	-0.004
72.000	90885.000	1.000	0.000	0.029	-0.004
73.000	91957.000	1.000	0.000	0.036	-0.004
74.000	93029.000	1.000	0.000	0.041	-0.004
75.000	94102.000	1.000	0.000	0.056	-0.004
76.000	95174.000	1.000	0.000	0.081	-0.004
77.000	96247.000	1.000	0.000	0.098	-0.004
78.000	97319.000	1.000	0.000	0.106	-0.004
79.000	98391.000	1.000	0.000	0.117	-0.004
80.000	99464.000	1.000	0.000	0.124	-0.004
81.000	100536.000	1.000	0.000	0.118	-0.004
82.000	101609.000	1.000	0.000	0.099	-0.004
83.000	102681.000	1.000	0.000	0.087	-0.004
84.000	103753.000	1.000	0.000	0.070	-0.004
85.000	104826.000	1.000	0.000	0.040	-0.004
86.000	105898.000	1.000	0.000	0.035	-0.004
87.000	106971.000	1.000	0.000	0.026	-0.004
88.000	108043.000	1.000	0.000	0.040	-0.004
89.000	109115.000	1.000	0.000	0.044	-0.004
90.000	110188.000	1.000	0.000	0.080	-0.004
91.000	111260.000	1.000	0.000	0.083	-0.004
92.000	112333.000	1.000	0.000	0.096	-0.004
93.000	113405.000	1.000	0.000	0.129	-0.004
94.000	114477.000	1.000	0.000	0.126	-0.004
95.000	115550.000	1.000	0.000	0.107	-0.004
96.000	116622.000	1.000	0.000	0.123	-0.004
97.000	116890.000	1.000	0.000	0.103	-0.004
98.000	115818.000	1.000	0.000	0.122	-0.004
99.000	114746.000	1.000	0.000	0.135	-0.004
100.000	113673.000	1.000	0.000	0.118	-0.004
101.000	112601.000	1.000	0.000	0.098	-0.004
102.000	111528.000	1.000	0.000	0.093	-0.004
103.000	110456.000	1.000	0.000	0.059	-0.004
104.000	109384.000	1.000	0.000	0.055	-0.004
105.000	108311.000	1.000	0.000	0.041	-0.004
106.000	107239.000	1.000	0.000	0.040	-0.004
107.000	106166.000	1.000	0.000	0.028	-0.004
108.000	105094.000	1.000	0.000	0.041	-0.004
109.000	104022.000	1.000	0.000	0.054	-0.004
110.000	102949.000	1.000	0.000	0.081	-0.004
111.000	101877.000	1.000	0.000	0.102	-0.004
112.000	100804.000	1.000	0.000	0.093	-0.004
113.000	99732.000	1.000	0.000	0.116	-0.004
114.000	98659.000	1.000	0.000	0.121	-0.004
115.000	97587.000	1.000	0.000	0.117	-0.004
116.000	96515.000	1.000	0.000	0.099	-0.004
117.000	95442.000	1.000	0.000	0.087	-0.004
118.000	94370.000	1.000	0.000	0.075	-0.004
119.000	93297.000	1.000	0.000	0.052	-0.004
120.000	92225.000	1.000	0.000	0.034	-0.004
121.000	91153.000	1.000	0.000	0.031	-0.004
122.000	90080.000	1.000	0.000	0.030	-0.004
123.000	89008.000	1.000	0.000	0.033	-0.004
124.000	87935.000	1.000	0.000	0.049	-0.004
125.000	86863.000	1.000	0.000	0.080	-0.004
126.000	85791.000	1.000	0.000	0.097	-0.004
127.000	84718.000	1.000	0.000	0.118	-0.004
128.000	83646.000	1.000	0.000	0.127	-0.004
