# Filename	C:\Users\labuser\Documents\Data\2018-11-01\1_fscan.txt
# Date	2018-11-1-17:16
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 12 dB. Laser just red of n=27, l=26, red FS, in +55.76 V Top to Bot. MW Pulse from Laser -200 ns to -100 ns. Looking for MW Power Shift.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.000	0.034	0.034
18502000000.000	0.000	0.040	0.026
18504000000.000	0.000	0.044	0.034
18506000000.000	0.000	0.046	0.035
18508000000.000	0.000	0.046	0.035
18510000000.000	0.000	0.064	0.030
18512000000.000	0.000	0.069	0.032
18514000000.000	0.000	0.052	0.031
18516000000.000	0.000	0.041	0.034
18518000000.000	0.000	0.042	0.034
18520000000.000	0.000	0.036	0.031
18500200000.000	0.000	0.032	0.030
18502200000.000	0.000	0.033	0.028
18504200000.000	0.000	0.046	0.031
18506200000.000	0.000	0.041	0.030
18508200000.000	0.000	0.053	0.033
18510200000.000	0.000	0.074	0.024
18512200000.000	0.000	0.069	0.028
18514200000.000	0.000	0.048	0.034
18516200000.000	0.000	0.042	0.026
18518200000.000	0.000	0.033	0.030
18500400000.000	0.000	0.029	0.037
18502400000.000	0.000	0.041	0.031
18504400000.000	0.000	0.045	0.032
18506400000.000	0.000	0.045	0.032
18508400000.000	0.000	0.053	0.034
18510400000.000	0.000	0.059	0.029
18512400000.000	0.000	0.062	0.033
18514400000.000	0.000	0.044	0.034
18516400000.000	0.000	0.044	0.035
18518400000.000	0.000	0.041	0.033
18500600000.000	0.000	0.036	0.030
18502600000.000	0.000	0.041	0.030
18504600000.000	0.000	0.041	0.035
18506600000.000	0.000	0.046	0.040
18508600000.000	0.000	0.066	0.036
18510600000.000	0.000	0.068	0.032
18512600000.000	0.000	0.057	0.027
18514600000.000	0.000	0.048	0.029
18516600000.000	0.000	0.040	0.033
18518600000.000	0.000	0.036	0.025
18500800000.000	0.000	0.034	0.025
18502800000.000	0.000	0.037	0.034
18504800000.000	0.000	0.039	0.036
18506800000.000	0.000	0.050	0.036
18508800000.000	0.000	0.057	0.029
18510800000.000	0.000	0.074	0.020
18512800000.000	0.000	0.053	0.029
18514800000.000	0.000	0.044	0.025
18516800000.000	0.000	0.041	0.040
18518800000.000	0.000	0.033	0.040
18501000000.000	0.000	0.028	0.030
18503000000.000	0.000	0.034	0.030
18505000000.000	0.000	0.036	0.030
18507000000.000	0.000	0.044	0.044
18509000000.000	0.000	0.068	0.035
18511000000.000	0.000	0.072	0.027
18513000000.000	0.000	0.054	0.030
18515000000.000	0.000	0.039	0.029
18517000000.000	0.000	0.037	0.027
18519000000.000	0.000	0.043	0.032
18501200000.000	0.000	0.025	0.029
18503200000.000	0.000	0.033	0.035
18505200000.000	0.000	0.039	0.027
18507200000.000	0.000	0.039	0.030
18509200000.000	0.000	0.051	0.030
18511200000.000	0.000	0.068	0.030
18513200000.000	0.000	0.060	0.034
18515200000.000	0.000	0.048	0.028
18517200000.000	0.000	0.039	0.029
18519200000.000	0.000	0.036	0.040
18501400000.000	0.000	0.037	0.033
18503400000.000	0.000	0.030	0.031
18505400000.000	0.000	0.040	0.024
18507400000.000	0.000	0.043	0.032
18509400000.000	0.000	0.063	0.025
18511400000.000	0.000	0.074	0.027
18513400000.000	0.000	0.066	0.032
18515400000.000	0.000	0.039	0.032
18517400000.000	0.000	0.034	0.031
18519400000.000	0.000	0.039	0.031
18501600000.000	0.000	0.035	0.036
18503600000.000	0.000	0.037	0.030
18505600000.000	0.000	0.046	0.033
18507600000.000	0.000	0.055	0.023
18509600000.000	0.000	0.058	0.028
18511600000.000	0.000	0.069	0.026
18513600000.000	0.000	0.048	0.033
18515600000.000	0.000	0.040	0.026
18517600000.000	0.000	0.040	0.032
18519600000.000	0.000	0.033	0.033
18501800000.000	0.000	0.036	0.038
18503800000.000	0.000	0.038	0.035
18505800000.000	0.000	0.044	0.036
18507800000.000	0.000	0.041	0.029
18509800000.000	0.000	0.057	0.037
18511800000.000	0.000	0.072	0.028
18513800000.000	0.000	0.047	0.036
18515800000.000	0.000	0.037	0.027
18517800000.000	0.000	0.040	0.023
18519800000.000	0.000	0.032	0.030
