# Filename	C:\Users\labuser\Documents\Data\2018-10-01\12_fscan.txt
# Date	2018-10-2-0:40
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Cavity Resonance Scan using MW ionization at -180 GHz. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field 100 ns after lasers, for 300 ns. Variable attenuation at -20 dB.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.003	0.120	0.152
18502000000.000	0.003	0.117	0.142
18504000000.000	0.003	0.107	0.139
18506000000.000	0.003	0.111	0.132
18508000000.000	0.003	0.089	0.133
18510000000.000	0.003	0.088	0.141
18512000000.000	0.003	0.082	0.166
18514000000.000	0.003	0.099	0.149
18516000000.000	0.003	0.108	0.133
18518000000.000	0.003	0.123	0.127
18520000000.000	0.003	0.129	0.129
18500200000.000	0.003	0.113	0.138
18502200000.000	0.003	0.132	0.149
18504200000.000	0.003	0.114	0.149
18506200000.000	0.003	0.103	0.139
18508200000.000	0.003	0.085	0.150
18510200000.000	0.003	0.084	0.127
18512200000.000	0.003	0.085	0.136
18514200000.000	0.003	0.105	0.146
18516200000.000	0.003	0.115	0.137
18518200000.000	0.003	0.128	0.136
18500400000.000	0.003	0.136	0.135
18502400000.000	0.003	0.125	0.133
18504400000.000	0.003	0.107	0.134
18506400000.000	0.003	0.098	0.144
18508400000.000	0.003	0.088	0.147
18510400000.000	0.003	0.075	0.133
18512400000.000	0.003	0.083	0.124
18514400000.000	0.003	0.101	0.132
18516400000.000	0.003	0.101	0.140
18518400000.000	0.003	0.121	0.125
18500600000.000	0.003	0.129	0.119
18502600000.000	0.003	0.118	0.152
18504600000.000	0.003	0.108	0.147
18506600000.000	0.003	0.091	0.131
18508600000.000	0.003	0.083	0.155
18510600000.000	0.003	0.094	0.144
18512600000.000	0.003	0.097	0.140
18514600000.000	0.003	0.099	0.137
18516600000.000	0.003	0.108	0.128
18518600000.000	0.003	0.113	0.126
18500800000.000	0.003	0.120	0.136
18502800000.000	0.003	0.103	0.142
18504800000.000	0.003	0.109	0.133
18506800000.000	0.003	0.085	0.146
18508800000.000	0.003	0.084	0.122
18510800000.000	0.003	0.078	0.126
18512800000.000	0.003	0.095	0.143
18514800000.000	0.003	0.099	0.138
18516800000.000	0.003	0.111	0.131
18518800000.000	0.003	0.126	0.155
18501000000.000	0.003	0.119	0.136
18503000000.000	0.003	0.110	0.148
18505000000.000	0.003	0.099	0.134
18507000000.000	0.003	0.086	0.131
18509000000.000	0.003	0.078	0.149
18511000000.000	0.003	0.083	0.139
18513000000.000	0.003	0.088	0.148
18515000000.000	0.003	0.101	0.131
18517000000.000	0.003	0.113	0.133
18519000000.000	0.003	0.112	0.130
18501200000.000	0.003	0.125	0.140
18503200000.000	0.003	0.112	0.139
18505200000.000	0.003	0.105	0.136
18507200000.000	0.003	0.093	0.136
18509200000.000	0.003	0.070	0.139
18511200000.000	0.003	0.086	0.128
18513200000.000	0.003	0.092	0.138
18515200000.000	0.003	0.099	0.141
18517200000.000	0.003	0.104	0.123
18519200000.000	0.003	0.112	0.132
18501400000.000	0.003	0.114	0.114
18503400000.000	0.003	0.117	0.140
18505400000.000	0.003	0.104	0.130
18507400000.000	0.003	0.093	0.126
18509400000.000	0.003	0.070	0.138
18511400000.000	0.003	0.082	0.138
18513400000.000	0.003	0.090	0.134
18515400000.000	0.003	0.096	0.140
18517400000.000	0.003	0.116	0.131
18519400000.000	0.003	0.125	0.129
18501600000.000	0.003	0.124	0.141
18503600000.000	0.003	0.116	0.136
18505600000.000	0.003	0.097	0.130
18507600000.000	0.003	0.086	0.135
18509600000.000	0.003	0.096	0.134
18511600000.000	0.003	0.075	0.128
18513600000.000	0.003	0.087	0.128
18515600000.000	0.003	0.094	0.137
18517600000.000	0.003	0.122	0.126
18519600000.000	0.003	0.120	0.157
18501800000.000	0.003	0.115	0.116
18503800000.000	0.003	0.102	0.120
18505800000.000	0.003	0.092	0.135
18507800000.000	0.003	0.082	0.144
18509800000.000	0.003	0.079	0.138
18511800000.000	0.003	0.085	0.132
18513800000.000	0.003	0.086	0.133
18515800000.000	0.003	0.109	0.131
18517800000.000	0.003	0.116	0.131
18519800000.000	0.003	0.124	0.136
