# Filename	C:\Users\labuser\Documents\Data\2018-10-01\1_fscan.txt
# Date	2018-10-1-13:17
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Cavity Resonance Scan using MW ionization at -180 GHz. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field 100 ns after lasers, for 300 ns. Variable attenuation at -17 dB.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	0.009	0.105	0.102
18482000000.000	0.009	0.090	0.095
18484000000.000	0.009	0.101	0.095
18486000000.000	0.009	0.091	0.088
18488000000.000	0.009	0.090	0.098
18490000000.000	0.009	0.102	0.098
18492000000.000	0.009	0.103	0.091
18494000000.000	0.009	0.096	0.091
18496000000.000	0.009	0.084	0.093
18498000000.000	0.009	0.081	0.094
18500000000.000	0.009	0.085	0.104
18502000000.000	0.009	0.066	0.094
18504000000.000	0.009	0.074	0.092
18506000000.000	0.009	0.062	0.111
18508000000.000	0.009	0.059	0.104
18510000000.000	0.009	0.058	0.106
18512000000.000	0.009	0.057	0.105
18514000000.000	0.009	0.059	0.104
18516000000.000	0.009	0.064	0.100
18518000000.000	0.009	0.076	0.097
18520000000.000	0.009	0.078	0.109
18522000000.000	0.009	0.088	0.108
18524000000.000	0.009	0.084	0.103
18526000000.000	0.009	0.092	0.105
18528000000.000	0.009	0.097	0.105
18530000000.000	0.009	0.091	0.101
18532000000.000	0.009	0.094	0.097
18534000000.000	0.009	0.099	0.100
18536000000.000	0.009	0.103	0.105
18538000000.000	0.009	0.097	0.094
18540000000.000	0.009	0.098	0.100
18480200000.000	0.009	0.110	0.105
18482200000.000	0.009	0.095	0.101
18484200000.000	0.009	0.089	0.106
18486200000.000	0.009	0.100	0.102
18488200000.000	0.009	0.098	0.105
18490200000.000	0.009	0.102	0.102
18492200000.000	0.009	0.107	0.101
18494200000.000	0.009	0.094	0.090
18496200000.000	0.009	0.096	0.106
18498200000.000	0.009	0.081	0.106
18500200000.000	0.009	0.082	0.087
18502200000.000	0.009	0.069	0.104
18504200000.000	0.009	0.072	0.106
18506200000.000	0.009	0.061	0.109
18508200000.000	0.009	0.054	0.104
18510200000.000	0.009	0.052	0.097
18512200000.000	0.009	0.054	0.099
18514200000.000	0.009	0.063	0.111
18516200000.000	0.009	0.076	0.102
18518200000.000	0.009	0.066	0.101
18520200000.000	0.009	0.077	0.099
18522200000.000	0.009	0.087	0.093
18524200000.000	0.009	0.087	0.100
18526200000.000	0.009	0.092	0.106
18528200000.000	0.009	0.083	0.090
