# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 27 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	25 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
0	57.48	-0.00292398	-0.00456324	-0.00416863	
1	56.98	-0.00292398	-0.0040371	-0.00732548	
2	56.88	-0.00292398	-0.00712818	-0.00670069	
3	56.58	-0.00292398	-0.00568129	-0.00837777	
4	56.48	-0.00292398	-0.00393844	-0.00426728	
5	56.48	-0.00292398	-0.00357672	-0.00837777	
6	56.38	-0.00292398	-0.00630608	-0.00706241	
7	56.18	-0.00292398	-0.00522092	-0.00189964	
8	56.28	-0.00292398	-0.00406998	-0.00824623	
9	56.08	-0.00292398	-0.00479343	-0.00390556	
10	55.88	-0.00292398	-0.00693088	-0.00877237	
11	55.78	-0.00292398	-0.00630608	-0.00397133	
12	55.48	-0.00292398	-0.00436594	-0.00656916	
13	55.28	-0.00292398	-0.00827912	-0.00620743	
14	54.98	-0.00292398	-0.00272174	-0.00344519	
15	54.58	-0.00292398	-0.00775297	-0.00291904	
16	54.28	-0.00292398	-0.00548399	-0.00775297	
17	54.08	-0.00292398	-0.00633897	-0.00735837	
18	53.68	-0.00292398	-0.00436594	-0.00725972	
19	53.28	-0.00292398	-0.00377403	-0.00166946	
20	52.98	-0.00292398	-0.00499073	-0.00597725	
21	52.48	-0.00292398	-0.00841065	-0.00489208	
22	52.08	-0.00292398	-0.00482631	-0.00887103	
23	51.58	-0.00292398	-0.00581283	-0.00518803	
24	51.18	-0.00292398	-0.00453035	-0.00275463	
25	50.68	-0.00292398	-0.000288334	-0.00393844	
26	50.28	-0.00292398	-0.00157081	-0.00209695	
27	49.58	-0.00292398	-0.00130773	-0.00745702	
28	48.98	-0.00292398	-0.000354102	-0.00380691	
29	48.68	-0.00292398	-0.00393844	-0.00143927	
30	48.18	-0.00292398	-0.0042344	0.00148739	
31	47.88	-0.00292398	-0.0044317	-0.00676646	
32	47.58	-0.00292398	-0.00420152	-0.00551687	
33	46.98	-0.00292398	-0.00449747	-0.000386986	
34	46.58	-0.00292398	-0.00413575	-0.00400421	
