# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 29 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	29 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
0	50.98	0.000755729	0.000500879	0.00415099	
1	48.08	0.000755729	0.00526904	0.00520327	
2	47.58	0.000755729	0.00316447	0.00237526	
3	47.28	0.000755729	0.00464425	0.00441406	
4	46.88	0.000755729	0.00747226	0.00319736	
5	46.58	0.000755729	0.00346043	0.00319736	
6	46.38	0.000755729	0.00599249	0.00665016	
7	45.68	0.000755729	0.00267121	0.00747226	
8	45.28	0.000755729	0.00152028	0.00418387	
9	44.88	0.000755729	0.00878762	0.00132298	
10	44.58	0.000755729	0.00253968	0.00260545	
11	44.08	0.000755729	0.00293429	-0.00173523	
12	43.68	0.000755729	-0.00120908	0.00592672	
13	43.18	0.000755729	0.00326312	0.00375638	
14	42.48	0.000755729	-0.00107755	0.00145451	
15	42.18	0.000755729	0.00191489	0.00273698	
16	41.98	0.000755729	0.00306582	0.000928369	
17	41.58	0.000755729	0.0035262	0.00300005	
18	41.08	0.000755729	0.000895485	0.00152028	
19	40.78	0.000755729	0.00490732	0.00260545	
20	40.18	0.000755729	0.00148739	0.00507174	
21	39.78	0.000755729	0.000632414	-0.00288616	
22	39.28	0.000755729	0.000533762	0.00122432	
23	38.78	0.000755729	-0.00259021	0.00375638	
24	38.08	0.000755729	0.00240814	0.00158605	
25	37.78	0.000755729	0.00385503	0.000402227	
26	37.08	0.000755729	0.00326312	0.00316447	
27	36.48	0.000755729	-0.000189683	0.0029014	
28	35.58	0.000755729	0.00359196	-0.00124197	
29	35.18	0.000755729	0.00477578	0.000731066	
30	34.58	0.000755729	0.00076395	0.00076395	
31	33.78	0.000755729	0.00464425	7.33882E-5	
32	33.08	0.000755729	0.000139156	0.00306582	
33	32.28	0.000755729	0.000467995	0.00401945	
34	31.68	0.000755729	-0.000551405	0.00129009	
35	30.98	0.000755729	-0.000584289	0.000106272	
36	29.98	0.000755729	-0.00311635	0.00165181	
37	29.38	0.000755729	-0.00446459	0.00152028	
38	28.78	0.000755729	-0.0052538	-0.00127485	
39	28.18	0.000755729	0.00145451	-0.00683223	
40	27.48	0.000755729	-0.00499073	-0.00170234	
41	26.78	0.000755729	-0.0040371	-0.00203118	
42	26.28	0.000755729	-0.00893679	-0.000584289	
43	25.48	0.000755729	-0.00640474	-0.00808181	
44	24.98	0.000755729	0.000731066	-0.00712818	
45	23.98	0.000755729	-0.00176811	-0.00295193	
46	23.68	0.000755729	-0.00150504	-0.00456324	
47	23.18	0.000755729	-0.00722683	-0.00212983	
48	22.58	0.000755729	-0.0052538	-0.00150504	
49	22.08	0.000755729	-0.00568129	-0.00857507	
50	21.48	0.000755729	-0.00571417	-0.00538534	
51	20.68	0.000755729	-0.0023929	-0.00153792	
52	20.28	0.000755729	-0.00456324	-0.00446459	
53	19.58	0.000755729	-0.00406998	-0.0050565	
54	18.88	0.000755729	0.00132298	-0.00410286	
55	18.08	0.000755729	0.000895485	-0.00462901	
56	17.48	0.000755729	7.62044E-6	0.000204924	
57	17.48	0.000755729	0.00221084	-0.00160369	
58	16.28	0.000755729	0.0010599	-0.000123915	
59	15.28	0.000755729	0.000139156	-0.00127485	
60	14.78	0.000755729	-0.00288616	-0.00522092	
61	14.08	0.000755729	-0.00166946	-0.0044317	
62	13.48	0.000755729	-0.00400421	-0.00275463	
63	12.78	0.000755729	-0.00262309	-0.00107755	
64	11.98	0.000755729	-0.000123915	-0.000617173	
65	11.38	0.000755729	0.000533762	-0.00229425	
66	10.98	0.000755729	0.00415099	0.00135586	
67	10.38	0.000755729	0.00253968	0.00303294	
68	9.48	0.000755729	0.000106272	0.00467713	
69	8.68	0.000755729	0.00418387	0.00155316	
70	8.28	0.000755729	0.00638709	0.00444694	
71	7.88	0.000755729	0.00503885	0.00589383	
72	7.28	0.000755729	0.00829436	0.00158605	
73	6.88	0.000755729	0.00171758	0.00878762	
74	5.98	0.000755729	0.00415099	0.00234238	
75	5.38	0.000755729	7.62044E-6	0.000336459	
76	4.88	0.000755729	0.0020793	0.00155316	
77	4.28	0.000755729	0.00204642	0.00503885	
78	3.88	0.000755729	0.00369061	0.0020793	
79	2.98	0.000755729	0.0103989	0.00224372	
80	2.18	0.000755729	0.00711054	0.00546634	
81	1.68	0.000755729	0.00671593	0.0088205	
82	1.08	0.000755729	0.0121747	0.0138517	
83	0.18	0.000755729	0.0112539	0.0206258	
84	-0.22	0.000755729	0.0144765	0.0218754	
85	-1.02	0.000755729	0.0212506	0.0263147	
86	-1.62	0.000755729	0.0252624	0.025394	
87	-2.22	0.000755729	0.0347988	0.0251638	
88	-3.02	0.000755729	0.0306225	0.0282549	
89	-3.62	0.000755729	0.0349961	0.0428882	
90	-4.12	0.000755729	0.0377583	0.034733	
91	-4.62	0.000755729	0.0433486	0.0431513	
92	-5.22	0.000755729	0.0431513	0.0457491	
93	-5.92	0.000755729	0.0518984	0.0462752	
94	-6.62	0.000755729	0.0520628	0.0566665	
95	-7.32	0.000755729	0.0527205	0.0645916	
96	-7.52	0.000755729	0.0513065	0.0600207	
97	-8.12	0.000755729	0.0578833	0.0656767	
98	-8.52	0.000755729	0.0608428	0.0561404	
99	-9.62	0.000755729	0.05568	0.0577188	
100	-9.72	0.000755729	0.0623883	0.0674196	
101	-10.52	0.000755729	0.0587053	0.0722535	
102	-11.02	0.000755729	0.0737662	0.0755419	
103	-11.42	0.000755729	0.0650191	0.0770546	
104	-12.22	0.000755729	0.0658083	0.069853	
105	-12.72	0.000755729	0.0639668	0.0886955	
106	-13.52	0.000755729	0.0780082	0.0865909	
107	-14.12	0.000755729	0.0874788	0.0771203	
108	-14.62	0.000755729	0.0715629	0.0948119	
109	-15.22	0.000755729	0.0757063	0.0839273	
110	-16.12	0.000755729	0.0798826	0.0816583	
111	-16.72	0.000755729	0.0868211	0.0828092	
112	-17.42	0.000755729	0.080047	0.0867882	
113	-18.02	0.000755729	0.0847823	0.0810006	
114	-19.02	0.000755729	0.0757392	0.0797839	
115	-19.62	0.000755729	0.0884653	0.0915564	
116	-20.02	0.000755729	0.081165	0.0898464	
117	-20.92	0.000755729	0.0892545	0.084848	
118	-21.72	0.000755729	0.0807047	0.0919838	
119	-22.52	0.000755729	0.0795866	0.0957655	
120	-22.92	0.000755729	0.0832367	0.0920167	
121	-23.32	0.000755729	0.0909973	0.103131	
122	-24.32	0.000755729	0.0950749	0.111352	
123	-24.82	0.000755729	0.0821187	0.110465	
124	-25.42	0.000755729	0.0898135	0.103691	
125	-26.12	0.000755729	0.0892874	0.0987908	
126	-26.72	0.000755729	0.101783	0.110399	
127	-27.32	0.000755729	0.109642	0.119442	
128	-28.12	0.000755729	0.105236	0.104776	
129	-28.42	0.000755729	0.101783	0.110432	
130	-29.12	0.000755729	0.0981989	0.121086	
131	-29.82	0.000755729	0.103427	0.124309	
132	-30.72	0.000755729	0.0909973	0.122073	
133	-31.52	0.000755729	0.0999746	0.133253	
