# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 25 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	27 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
0	45.48	-0.00418836	-0.00351095	0.000632414	
1	45.18	-0.00418836	0.00211219	0.00517039	
2	44.68	-0.00418836	0.00184912	0.00618979	
3	44.38	-0.00418836	0.00132298	0.0010599	
4	44.08	-0.00418836	0.000500879	0.00405234	
5	43.58	-0.00418836	0.00819571	0.00865608	
6	43.08	-0.00418836	0.00457848	0.00411811	
7	42.58	-0.00418836	0.00579518	0.00382215	
8	41.98	-0.00418836	0.0029014	0.00507174	
9	41.68	-0.00418836	-0.000452754	0.00579518	
10	41.18	-0.00418836	0.000467995	0.00165181	
11	40.88	-0.00418836	0.00336178	0.0030987	
12	40.58	-0.00418836	-0.000452754	0.0027041	
13	39.58	-0.00418836	0.00359196	0.00632133	
14	39.18	-0.00418836	0.000435111	0.000369343	
15	38.48	-0.00418836	0.0030987	0.00405234	
16	37.98	-0.00418836	0.0025068	-0.000978896	
17	37.28	-0.00418836	-5.81473E-5	0.0035262	
18	36.58	-0.00418836	-0.000913128	0.00507174	
19	36.28	-0.00418836	0.000106272	0.00184912	
20	35.48	-0.00418836	0.00536769	-0.00084736	
21	35.08	-0.00418836	0.000928369	0.000336459	
22	34.58	-0.00418836	0.00477578	0.00313159	
23	34.18	-0.00418836	0.00217796	0.00457848	
24	33.48	-0.00418836	0.00155316	-0.000584289	
25	33.38	-0.00418836	-0.00134062	-0.000452754	
26	32.88	-0.00418836	0.00635421	0.000139156	
27	32.48	-0.00418836	0.001882	0.000500879	
28	32.08	-0.00418836	0.00421676	0.00221084	
29	31.78	-0.00418836	0.00145451	0.00336178	
30	30.88	-0.00418836	0.0016847	0.00707765	
31	30.08	-0.00418836	0.00405234	0.0027041	
32	29.78	-0.00418836	0.000796834	0.00405234	
33	29.48	-0.00418836	0.00323024	0.00017204	
34	28.78	-0.00418836	0.00355908	0.00313159	
35	28.38	-0.00418836	0.00221084	0.00296717	
36	27.48	-0.00418836	0.00592672	0.00747226	
37	26.78	-0.00418836	0.00954395	0.00836013	
38	26.08	-0.00418836	0.00655151	0.00530192	
39	25.48	-0.00418836	0.0047429	0.00191489	
40	24.18	-0.00418836	0.00572942	0.00280275	
41	24.08	-0.00418836	-0.000946012	0.00273698	
42	23.38	-0.00418836	0.00977413	0.00628844	
43	22.88	-0.00418836	0.00730784	0.00401945	
44	22.28	-0.00418836	0.00280275	0.00602537	
45	21.28	-0.00418836	0.00355908	0.00503885	
46	20.68	-0.00418836	0.00388792	0.00129009	
47	20.08	-0.00418836	0.00145451	-0.00130773	
48	19.38	-0.00418836	-0.00041987	0.00388792	
49	19.28	-0.00418836	0.00431541	0.00145451	
50	17.88	-0.00418836	0.00296717	0.000796834	
51	17.88	-0.00418836	-0.00212983	-0.000189683	
52	17.28	-0.00418836	0.00102702	0.00112567	
53	16.98	-0.00418836	-0.00236002	-0.00354384	
54	16.38	-0.00418836	0.00132298	-0.00189964	
55	15.78	-0.00418836	-0.000880244	0.000204924	
56	15.48	-0.00418836	-0.000913128	-0.000715825	
57	14.38	-0.00418836	-0.00107755	-0.00157081	
58	13.98	-0.00418836	4.05043E-5	-0.000518522	
59	13.38	-0.00418836	-0.00328077	-0.00397133	
60	12.58	-0.00418836	-0.00334654	0.000500879	
61	12.08	-0.00418836	0.00283563	-0.00328077	
62	11.28	-0.00418836	-0.000650057	-0.000518522	
63	10.68	-0.00418836	-0.00157081	-0.00308346	
64	10.08	-0.00418836	-0.00268886	0.00214507	
65	9.48	-0.00418836	-0.00216272	-0.00140639	
66	8.68	-0.00418836	0.00244103	0.00263833	
67	8.08	-0.00418836	0.00283563	0.000106272	
68	7.38	-0.00418836	0.00405234	0.0029014	
69	6.78	-0.00418836	0.00319736	0.00158605	
70	6.38	-0.00418836	0.00615691	0.00783398	
71	5.48	-0.00418836	0.0025068	0.00457848	
72	4.78	-0.00418836	0.00740649	0.00395369	
73	4.28	-0.00418836	-0.000650057	0.000665298	
74	3.48	-0.00418836	0.0096426	0.00734073	
75	3.08	-0.00418836	0.00836013	0.00517039	
76	2.48	-0.00418836	0.0122404	0.00757091	
77	1.88	-0.00418836	0.0104318	0.0165482	
78	1.28	-0.00418836	0.0129639	0.00668305	
79	0.78	-0.00418836	0.0157919	0.0137202	
80	0.08	-0.00418836	0.00947818	0.0144765	
81	-0.72	-0.00418836	0.0154959	0.0193105	
82	-1.12	-0.00418836	0.019442	0.0181266	
83	-1.62	-0.00418836	0.0204285	0.0248349	
84	-2.42	-0.00418836	0.0293072	0.0291756	
85	-3.12	-0.00418836	0.0298662	0.0277616	
86	-3.72	-0.00418836	0.0381858	0.0378898	
87	-4.52	-0.00418836	0.0350618	0.0317077	
88	-5.12	-0.00418836	0.0428224	0.0383173	
89	-6.02	-0.00418836	0.0421319	0.0448283	
90	-6.42	-0.00418836	0.0446639	0.0536083	
91	-7.12	-0.00418836	0.0510763	0.051734	
92	-7.72	-0.00418836	0.0499582	0.0585409	
93	-8.42	-0.00418836	0.0534439	0.0567323	
94	-8.82	-0.00418836	0.0482154	0.0524245	
95	-9.82	-0.00418836	0.0638352	0.0671236	
96	-10.42	-0.00418836	0.0618293	0.0710368	
97	-11.12	-0.00418836	0.0599549	0.0573571	
98	-11.42	-0.00418836	0.055417	0.0649204	
99	-12.02	-0.00418836	0.0618622	0.0671894	
100	-12.52	-0.00418836	0.0662029	0.0754761	
101	-13.12	-0.00418836	0.0676826	0.0634735	
102	-13.42	-0.00418836	0.0658083	0.073536	
103	-13.92	-0.00418836	0.0697543	0.072681	
104	-14.22	-0.00418836	0.0664331	0.0625856	
105	-15.02	-0.00418836	0.0776465	0.0769888	
106	-15.52	-0.00418836	0.0730098	0.0789289	
107	-16.12	-0.00418836	0.0710039	0.0797839	
108	-16.62	-0.00418836	0.0663344	0.0798497	
109	-17.22	-0.00418836	0.0638024	0.0863936	
110	-18.02	-0.00418836	0.0801128	0.0803758	
111	-18.72	-0.00418836	0.0682746	0.0777451	
112	-19.52	-0.00418836	0.0670579	0.0817241	
113	-20.22	-0.00418836	0.0703791	0.0994156	
114	-21.02	-0.00418836	0.0691953	0.0828092	
115	-21.72	-0.00418836	0.0643943	0.0860647	
116	-22.62	-0.00418836	0.0661371	0.0956011	
117	-23.22	-0.00418836	0.0747527	0.0997116	
118	-24.02	-0.00418836	0.0805402	0.087413	
119	-24.72	-0.00418836	0.0776136	0.0823817	
120	-25.62	-0.00418836	0.0918852	0.0991196	
121	-26.32	-0.00418836	0.0927402	0.0986922	
122	-27.32	-0.00418836	0.0805731	0.0981331	
123	-28.12	-0.00418836	0.087413	0.0915235	
124	-28.82	-0.00418836	0.0908329	0.0996458	
125	-29.32	-0.00418836	0.0740292	0.113325	
126	-29.92	-0.00418836	0.0752788	0.101685	
127	-30.72	-0.00418836	0.0890572	0.112734	
128	-31.32	-0.00418836	0.0834669	0.104578	
129	-32.12	-0.00418836	0.0808033	0.121744	
130	-32.82	-0.00418836	0.0981002	0.110366	
131	-33.22	-0.00418836	0.0897149	0.129373	
132	-34.22	-0.00418836	0.0884324	0.119869	
133	-34.62	-0.00418836	0.0863607	0.112109	
134	-35.12	-0.00418836	0.0895833	0.134667	
135	-35.92	-0.00418836	0.0850782	0.122697	
136	-36.32	-0.00418836	0.0857688	0.124506	
137	-37.22	-0.00418836	0.0902081	0.123256	
138	-37.72	-0.00418836	0.081461	0.129603	
139	-38.22	-0.00418836	0.0826119	0.124473	
140	-38.82	-0.00418836	0.0949763	0.127893	
141	-39.62	-0.00418836	0.0772847	0.133253	
142	-40.42	-0.00418836	0.100238	0.13253	
143	-40.92	-0.00418836	0.106255	0.138876	
144	-41.52	-0.00418836	0.0986922	0.133516	
145	-41.92	-0.00418836	0.0988895	0.134503	
146	-42.82	-0.00418836	0.0943186	0.141244	
147	-43.42	-0.00418836	0.103427	0.125788	
148	-44.02	-0.00418836	0.110399	0.122829	
149	-44.52	-0.00418836	0.0929375	0.139994	
150	-45.12	-0.00418836	0.0985935	0.135522	
151	-45.72	-0.00418836	0.105335	0.146604	
152	-46.02	-0.00418836	0.116186	0.138449	
153	-46.82	-0.00418836	0.108228	0.134108	
154	-47.22	-0.00418836	0.108064	0.126183	
155	-47.82	-0.00418836	0.108393	0.128255	
156	-48.42	-0.00418836	0.108886	0.128353	
157	-49.12	-0.00418836	0.100797	0.129373	
158	-49.72	-0.00418836	0.118291	0.139797	
159	-50.22	-0.00418836	0.104841	0.123815	
160	-50.92	-0.00418836	0.107341	0.136048	
161	-51.62	-0.00418836	0.10642	0.134503	
162	-52.52	-0.00418836	0.104085	0.121678	
163	-52.92	-0.00418836	0.121744	0.137495	
164	-53.62	-0.00418836	0.114641	0.126907	
165	-54.32	-0.00418836	0.099317	0.120659	
166	-55.12	-0.00418836	0.102737	0.117436	
167	-55.82	-0.00418836	0.109182	0.137956	
168	-56.22	-0.00418836	0.0903725	0.131214	
169	-56.92	-0.00418836	0.100336	0.134832	
170	-57.72	-0.00418836	0.112142	0.130557	
171	-58.52	-0.00418836	0.10425	0.118291	
172	-59.12	-0.00418836	0.099876	0.147591	
173	-59.72	-0.00418836	0.116515	0.140882	
174	-60.32	-0.00418836	0.0962916	0.146933	
175	-61.12	-0.00418836	0.106749	0.132924	
176	-61.52	-0.00418836	0.117403	0.141934	
177	-62.12	-0.00418836	0.112076	0.130425	
178	-62.92	-0.00418836	0.105006	0.148413	
179	-63.32	-0.00418836	0.107505	0.131543	
180	-64.02	-0.00418836	0.0963245	0.137725	
181	-64.52	-0.00418836	0.109412	0.144401	
182	-65.22	-0.00418836	0.103329	0.141408	
183	-65.82	-0.00418836	0.100303	0.136081	
184	-66.72	-0.00418836	0.105006	0.13493	
185	-67.22	-0.00418836	0.104776	0.140323	
186	-67.82	-0.00418836	0.109051	0.146571	
187	-68.52	-0.00418836	0.102441	0.144467	
188	-69.22	-0.00418836	0.117896	0.138482	
189	-69.92	-0.00418836	0.101652	0.156634	
190	-70.72	-0.00418836	0.104973	0.136903	
191	-71.42	-0.00418836	0.109906	0.147262	
192	-71.82	-0.00418836	0.119179	0.141441	
193	-72.62	-0.00418836	0.106025	0.135226	
194	-73.62	-0.00418836	0.109215	0.142822	
195	-73.82	-0.00418836	0.110366	0.146801	
196	-74.32	-0.00418836	0.113819	0.153806	
197	-75.02	-0.00418836	0.113095	0.133779	
198	-75.92	-0.00418836	0.100073	0.145026	
199	-76.52	-0.00418836	0.105927	0.142724	
200	-76.92	-0.00418836	0.107045	0.128452	
201	-77.62	-0.00418836	0.113161	0.141671	
202	-78.02	-0.00418836	0.0992841	0.147459	
203	-78.52	-0.00418836	0.108426	0.133977	
204	-79.12	-0.00418836	0.113621	0.153575	
205	-79.72	-0.00418836	0.108689	0.149103	
206	-80.22	-0.00418836	0.117403	0.142263	
207	-80.72	-0.00418836	0.113391	0.147656	
208	-81.12	-0.00418836	0.125295	0.14473	
209	-81.82	-0.00418836	0.107702	0.141902	
210	-82.42	-0.00418836	0.115989	0.126907	
211	-83.02	-0.00418836	0.113589	0.153937	
212	-83.72	-0.00418836	0.109149	0.142954	
213	-84.32	-0.00418836	0.116482	0.138515	
214	-85.22	-0.00418836	0.128485	0.144795	
215	-85.72	-0.00418836	0.119146	0.147327	
216	-86.22	-0.00418836	0.124901	0.13493	
217	-86.82	-0.00418836	0.118817	0.149794	
218	-87.82	-0.00418836	0.115529	0.131543	
219	-88.32	-0.00418836	0.122697	0.139994	
220	-88.92	-0.00418836	0.104578	0.14565	
221	-89.72	-0.00418836	0.114772	0.15009	
222	-90.22	-0.00418836	0.119245	0.141836	
223	-90.62	-0.00418836	0.108886	0.138646	
224	-91.42	-0.00418836	0.110037	0.148511	
225	-92.12	-0.00418836	0.110761	0.140784	
226	-92.62	-0.00418836	0.122171	0.130853	
227	-93.22	-0.00418836	0.110728	0.142329	
228	-93.72	-0.00418836	0.128419	0.143184	
229	-94.32	-0.00418836	0.128912	0.144401	
230	-95.02	-0.00418836	0.114937	0.145289	
231	-95.52	-0.00418836	0.117107	0.15249	
232	-96.02	-0.00418836	0.119738	0.148018	
233	-96.72	-0.00418836	0.123585	0.147327	
234	-97.42	-0.00418836	0.116745	0.146407	
235	-98.12	-0.00418836	0.113819	0.15078	
236	-98.92	-0.00418836	0.113523	0.144368	
237	-99.82	-0.00418836	0.120659	0.152523	
238	-100.52	-0.00418836	0.108952	0.138153	
239	-101.22	-0.00418836	0.124111	0.145387	
240	-101.82	-0.00418836	0.120396	0.147163	
241	-102.62	-0.00418836	0.117436	0.160251	
242	-103.62	-0.00418836	0.113095	0.146736	
243	-104.52	-0.00418836	0.111747	0.135391	
244	-105.02	-0.00418836	0.109544	0.136739	
245	-105.62	-0.00418836	0.11053	0.153575	
246	-106.72	-0.00418836	0.120034	0.136344	
247	-107.32	-0.00418836	0.117568	0.157817	
248	-108.02	-0.00418836	0.114542	0.131346	
249	-108.62	-0.00418836	0.119804	0.141934	
250	-109.42	-0.00418836	0.102572	0.144598	
251	-110.02	-0.00418836	0.121415	0.14884	
252	-110.52	-0.00418836	0.109708	0.137791	
253	-111.12	-0.00418836	0.124638	0.169689	
254	-111.62	-0.00418836	0.128255	0.147295	
255	-112.42	-0.00418836	0.120659	0.146604	
256	-113.02	-0.00418836	0.119179	0.14371	
257	-113.62	-0.00418836	0.121218	0.145913	
258	-114.32	-0.00418836	0.123224	0.157094	
259	-115.12	-0.00418836	0.121645	0.139337	
260	-115.82	-0.00418836	0.119442	0.136048	
261	-116.52	-0.00418836	0.113589	0.139205	
262	-117.32	-0.00418836	0.101849	0.134108	
263	-117.92	-0.00418836	0.108097	0.147623	
264	-118.82	-0.00418836	0.112175	0.153016	
265	-119.32	-0.00418836	0.111813	0.138876	
266	-120.12	-0.00418836	0.126841	0.143743	
267	-120.92	-0.00418836	0.119935	0.144927	
268	-121.82	-0.00418836	0.12763	0.151734	
269	-122.32	-0.00418836	0.131905	0.142954	
270	-122.92	-0.00418836	0.122632	0.161204	
271	-123.32	-0.00418836	0.110136	0.138482	
272	-124.72	-0.00418836	0.112536	0.146538	
273	-125.32	-0.00418836	0.128682	0.141639	
274	-125.82	-0.00418836	0.123914	0.1469	
275	-126.42	-0.00418836	0.118061	0.15101	
276	-127.12	-0.00418836	0.125164	0.140849	
277	-127.92	-0.00418836	0.120527	0.142691	
278	-128.32	-0.00418836	0.12421	0.153082	
279	-128.92	-0.00418836	0.124111	0.160711	
