# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 33 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	33 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
106	-20.32	5.97627E-6	0.0904383	0.0784028	
107	-21.22	5.97627E-6	0.0792907	0.0836313	
108	-21.92	5.97627E-6	0.079751	0.085999	
109	-22.82	5.97627E-6	0.0880378	0.0927402	
110	-23.32	5.97627E-6	0.0925429	0.0930032	
111	-24.12	5.97627E-6	0.0759694	0.0913262	
112	-24.82	5.97627E-6	0.0850782	0.0963574	
113	-25.42	5.97627E-6	0.0822502	0.0940226	
114	-26.02	5.97627E-6	0.0929704	0.101948	
115	-27.12	5.97627E-6	0.0967191	0.100928	
116	-27.62	5.97627E-6	0.0866238	0.0990539	
117	-28.12	5.97627E-6	0.0965547	0.114444	
118	-28.72	5.97627E-6	0.0985277	0.100665	
119	-29.32	5.97627E-6	0.0986922	0.103099	
120	-30.02	5.97627E-6	0.0984949	0.101816	
121	-30.62	5.97627E-6	0.089682	0.103	
122	-31.32	5.97627E-6	0.0958641	0.118028	
123	-32.02	5.97627E-6	0.111879	0.125887	
124	-32.42	5.97627E-6	0.110761	0.119771	
125	-33.42	5.97627E-6	0.103625	0.123322	
126	-34.02	5.97627E-6	0.104217	0.131806	
127	-34.72	5.97627E-6	0.0982318	0.106847	
128	-35.42	5.97627E-6	0.108459	0.12421	
129	-37.42	5.97627E-6	0.109906	0.127762	
130	-37.22	5.97627E-6	0.107834	0.104611	
131	-37.72	5.97627E-6	0.108097	0.105499	
132	-38.12	5.97627E-6	0.107209	0.129208	
133	-38.92	5.97627E-6	0.104907	0.117765	
134	-39.52	5.97627E-6	0.104841	0.121908	
135	-40.22	5.97627E-6	0.0906685	0.128057	
136	-40.72	5.97627E-6	0.0980674	0.117041	
137	-41.02	5.97627E-6	0.0988566	0.128025	
138	-41.72	5.97627E-6	0.103362	0.127104	
139	-42.32	5.97627E-6	0.116811	0.132332	
140	-42.92	5.97627E-6	0.113885	0.12786	
141	-43.42	5.97627E-6	0.119343	0.124901	
142	-43.62	5.97627E-6	0.118061	0.134042	
143	-44.52	5.97627E-6	0.114542	0.126742	
144	-45.12	5.97627E-6	0.124046	0.134338	
145	-45.82	5.97627E-6	0.1225	0.147525	
146	-46.42	5.97627E-6	0.1152	0.129669	
147	-46.82	5.97627E-6	0.111747	0.131971	
148	-47.52	5.97627E-6	0.11132	0.135391	
149	-48.42	5.97627E-6	0.113819	0.127597	
150	-49.12	5.97627E-6	0.107176	0.138284	
151	-49.62	5.97627E-6	0.12296	0.128353	
152	-50.22	5.97627E-6	0.128222	0.132135	
153	-50.72	5.97627E-6	0.123487	0.12079	
154	-51.42	5.97627E-6	0.12033	0.128353	
155	-52.32	5.97627E-6	0.119113	0.121514	
156	-52.92	5.97627E-6	0.116186	0.138679	
157	-53.32	5.97627E-6	0.111846	0.119409	
158	-54.02	5.97627E-6	0.141178	0.139402	
159	-54.92	5.97627E-6	0.132365	0.129965	
160	-55.52	5.97627E-6	0.130425	0.1298	
161	-56.12	5.97627E-6	0.114838	0.135029	
162	-56.82	5.97627E-6	0.122204	0.138219	
163	-57.32	5.97627E-6	0.115693	0.133549	
164	-58.22	5.97627E-6	0.117995	0.12957	
165	-58.82	5.97627E-6	0.122336	0.126775	
166	-59.12	5.97627E-6	0.118916	0.127071	
167	-59.72	5.97627E-6	0.124407	0.131149	
168	-61.02	5.97627E-6	0.115397	0.124736	
169	-61.22	5.97627E-6	0.122336	0.130853	
170	-62.02	5.97627E-6	0.12467	0.133615	
171	-62.42	5.97627E-6	0.1347	0.141474	
172	-63.22	5.97627E-6	0.129373	0.13983	
173	-64.12	5.97627E-6	0.128485	0.144434	
174	-64.62	5.97627E-6	0.141178	0.127663	
175	-65.32	5.97627E-6	0.121119	0.128584	
176	-65.92	5.97627E-6	0.126446	0.144434	
177	-66.72	5.97627E-6	0.123092	0.131543	
178	-67.52	5.97627E-6	0.128551	0.151569	
179	-68.32	5.97627E-6	0.123289	0.129307	
180	-68.72	5.97627E-6	0.135358	0.119869	
181	-68.92	5.97627E-6	0.117666	0.122862	
182	-69.82	5.97627E-6	0.124111	0.125361	
183	-70.52	5.97627E-6	0.117304	0.136147	
184	-71.12	5.97627E-6	0.11691	0.127794	
185	-71.72	5.97627E-6	0.119113	0.128057	
186	-72.32	5.97627E-6	0.120856	0.143053	
187	-73.02	5.97627E-6	0.122895	0.141408	
188	-73.42	5.97627E-6	0.128814	0.129603	
189	-74.22	5.97627E-6	0.122796	0.123421	
190	-74.52	5.97627E-6	0.123289	0.134568	
191	-75.02	5.97627E-6	0.129537	0.138515	
192	-75.72	5.97627E-6	0.120889	0.134634	
193	-76.32	5.97627E-6	0.116154	0.130195	
194	-76.92	5.97627E-6	0.118291	0.128452	
195	-77.52	5.97627E-6	0.121612	0.127531	
196	-78.02	5.97627E-6	0.12056	0.139501	
197	-78.62	5.97627E-6	0.122599	0.127334	
198	-79.22	5.97627E-6	0.123618	0.135292	
199	-79.92	5.97627E-6	0.124013	0.127729	
200	-80.82	5.97627E-6	0.124802	0.129767	
201	-81.02	5.97627E-6	0.116877	0.125394	
202	-81.72	5.97627E-6	0.118653	0.127038	
203	-82.62	5.97627E-6	0.133286	0.148709	
204	-83.02	5.97627E-6	0.128189	0.130096	
205	-83.72	5.97627E-6	0.112964	0.122763	
206	-84.42	5.97627E-6	0.135391	0.127038	
207	-85.02	5.97627E-6	0.120724	0.134273	
208	-86.12	5.97627E-6	0.130096	0.127926	
209	-86.62	5.97627E-6	0.125657	0.124473	
210	-87.12	5.97627E-6	0.12056	0.136311	
211	-87.62	5.97627E-6	0.114608	0.136443	
212	-88.42	5.97627E-6	0.120363	0.125854	
213	-88.72	5.97627E-6	0.124243	0.124374	
214	-89.52	5.97627E-6	0.11839	0.136607	
215	-89.72	5.97627E-6	0.137232	0.127301	
216	-90.32	5.97627E-6	0.129044	0.118784	
217	-91.02	5.97627E-6	0.138449	0.135029	
218	-91.82	5.97627E-6	0.129603	0.126479	
219	-92.32	5.97627E-6	0.129603	0.147097	
220	-92.92	5.97627E-6	0.130655	0.138186	
221	-93.52	5.97627E-6	0.13174	0.140981	
222	-94.22	5.97627E-6	0.126643	0.135588	
223	-95.02	5.97627E-6	0.118982	0.135752	
224	-95.82	5.97627E-6	0.124572	0.134174	
225	-96.62	5.97627E-6	0.129899	0.133187	
226	-97.42	5.97627E-6	0.135423	0.122895	
227	-98.32	5.97627E-6	0.129471	0.135259	
228	-98.92	5.97627E-6	0.125098	0.136114	
229	-99.82	5.97627E-6	0.145617	0.138547	
230	-100.62	5.97627E-6	0.124473	0.136837	
231	-101.22	5.97627E-6	0.13983	0.136246	
232	-101.82	5.97627E-6	0.13618	0.153312	
233	-102.42	5.97627E-6	0.139633	0.140948	
234	-103.32	5.97627E-6	0.127926	0.134963	
235	-104.12	5.97627E-6	0.13447	0.137265	
236	-104.42	5.97627E-6	0.13641	0.135226	
237	-105.02	5.97627E-6	0.127959	0.128847	
238	-105.32	5.97627E-6	0.133056	0.127005	
239	-106.32	5.97627E-6	0.135621	0.137166	
240	-106.92	5.97627E-6	0.126216	0.132563	
241	-107.52	5.97627E-6	0.133746	0.138547	
242	-108.12	5.97627E-6	0.140553	0.140553	
243	-108.62	5.97627E-6	0.123651	0.13641	
244	-109.52	5.97627E-6	0.129998	0.134503	
245	-110.32	5.97627E-6	0.142066	0.143316	
246	-110.82	5.97627E-6	0.135522	0.133615	
247	-111.62	5.97627E-6	0.134897	0.125558	
248	-112.02	5.97627E-6	0.136706	0.146374	
249	-113.02	5.97627E-6	0.12056	0.131346	
250	-113.72	5.97627E-6	0.139041	0.142987	
251	-114.12	5.97627E-6	0.131149	0.142329	
252	-114.92	5.97627E-6	0.13253	0.147229	
253	-115.72	5.97627E-6	0.129307	0.145585	
254	-116.52	5.97627E-6	0.118751	0.141112	
255	-117.02	5.97627E-6	0.132431	0.136377	
256	-117.72	5.97627E-6	0.140882	0.145881	
257	-118.52	5.97627E-6	0.13447	0.136344	
258	-119.32	5.97627E-6	0.129735	0.149465	
259	-119.82	5.97627E-6	0.144006	0.137429	
260	-120.42	5.97627E-6	0.134174	0.148413	
261	-121.42	5.97627E-6	0.128617	0.150978	
262	-122.22	5.97627E-6	0.135325	0.13835	
263	-122.72	5.97627E-6	0.134963	0.13937	
264	-123.32	5.97627E-6	0.132004	0.131116	
265	-123.92	5.97627E-6	0.125723	0.135588	
266	-124.92	5.97627E-6	0.129208	0.127202	
267	-125.32	5.97627E-6	0.127893	0.129504	
268	-126.02	5.97627E-6	0.130031	0.125131	
269	-126.52	5.97627E-6	0.131445	0.120428	
270	-127.82	5.97627E-6	0.141573	0.136772	
