# Filename	C:\Users\labuser\Documents\Data\2018-10-01\6_fscan.txt
# Date	2018-10-1-20:6
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Cavity Resonance Scan using MW ionization at -180 GHz. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field 100 ns after lasers, for 300 ns. Variable attenuation at -20 dB.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18505000000.000	-0.006	0.104	0.143
18507000000.000	-0.006	0.113	0.130
18509000000.000	-0.006	0.099	0.138
18511000000.000	-0.006	0.096	0.128
18513000000.000	-0.006	0.113	0.141
18515000000.000	-0.006	0.125	0.139
18505200000.000	-0.006	0.119	0.143
18507200000.000	-0.006	0.111	0.146
18509200000.000	-0.006	0.105	0.142
18511200000.000	-0.006	0.101	0.130
18513200000.000	-0.006	0.115	0.146
18515200000.000	-0.006	0.126	0.149
18505400000.000	-0.006	0.111	0.123
18507400000.000	-0.006	0.112	0.142
18509400000.000	-0.006	0.104	0.131
18511400000.000	-0.006	0.111	0.139
18513400000.000	-0.006	0.105	0.149
18515400000.000	-0.006	0.109	0.139
18505600000.000	-0.006	0.123	0.127
18507600000.000	-0.006	0.110	0.144
18509600000.000	-0.006	0.097	0.125
18511600000.000	-0.006	0.090	0.137
18513600000.000	-0.006	0.108	0.136
18515600000.000	-0.006	0.120	0.124
18505800000.000	-0.006	0.117	0.134
18507800000.000	-0.006	0.105	0.129
18509800000.000	-0.006	0.102	0.158
18511800000.000	-0.006	0.119	0.144
18513800000.000	-0.006	0.103	0.139
18515800000.000	-0.006	0.122	0.124
18506000000.000	-0.006	0.111	0.136
18508000000.000	-0.006	0.101	0.138
18510000000.000	-0.006	0.094	0.134
18512000000.000	-0.006	0.093	0.127
18514000000.000	-0.006	0.118	0.117
18516000000.000	-0.006	0.121	0.138
18506200000.000	-0.006	0.106	0.134
18508200000.000	-0.006	0.089	0.133
18510200000.000	-0.006	0.090	0.127
18512200000.000	-0.006	0.097	0.135
18514200000.000	-0.006	0.134	0.121
18506400000.000	-0.006	0.112	0.140
18508400000.000	-0.006	0.091	0.129
18510400000.000	-0.006	0.099	0.131
18512400000.000	-0.006	0.106	0.131
18514400000.000	-0.006	0.117	0.123
18506600000.000	-0.006	0.113	0.130
18508600000.000	-0.006	0.099	0.135
18510600000.000	-0.006	0.094	0.134
18512600000.000	-0.006	0.104	0.143
18514600000.000	-0.006	0.112	0.132
18506800000.000	-0.006	0.113	0.139
18508800000.000	-0.006	0.085	0.132
18510800000.000	-0.006	0.090	0.135
18512800000.000	-0.006	0.106	0.127
18514800000.000	-0.006	0.118	0.138
