# Title: Dye Laser Frequency Scan w/ MW Blink
# Note:	Dye laser frequency scan to find the ionization rate at Attn = 23 dB.
# Type:	Frequency
# Hittite Freq:	18510.1 MHz
# Ref Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	23 dB
# Delay:	1000 ns
# MW Off:	 100 to 400 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	b	s	r
0	39.08	0.000673519	-0.00344519	7.33882E-5	
1	38.58	0.000673519	-0.00377403	-0.00466189	
2	38.28	0.000673519	-0.00633897	-0.0064705	
3	37.88	0.000673519	-0.00485919	-0.00387268	
4	37.08	0.000673519	-0.00456324	-0.00587859	
5	37.28	0.000673519	-0.00469477	-0.00298481	
6	36.98	0.000673519	-0.00663492	-0.00265597	
7	36.88	0.000673519	-0.00377403	-0.00324788	
8	36.48	0.000673519	-0.0054511	-0.00252444	
9	36.08	0.000673519	-0.00693088	-0.00242579	
10	35.68	0.000673519	-0.00278751	-0.00173523	
11	35.48	0.000673519	-0.00180099	-0.00400421	
12	34.98	0.000673519	-0.00587859	-0.00814758	
13	34.68	0.000673519	-0.00360961	-0.000354102	
14	34.28	0.000673519	0.00326312	7.33882E-5	
15	33.78	0.000673519	-0.000485638	0.00142163	
16	33.18	0.000673519	-0.00130773	7.33882E-5	
17	32.48	0.000673519	-0.000222567	-0.00163657	
18	32.18	0.000673519	-0.000650057	-0.00328077	
19	31.78	0.000673519	-0.00426728	-0.00604301	
20	31.18	0.000673519	-0.00176811	-0.00531957	
21	30.48	0.000673519	-0.00420152	-0.00203118	
22	29.88	0.000673519	-0.00482631	-0.00163657	
23	29.38	0.000673519	-0.00663492	-0.00393844	
24	28.98	0.000673519	-0.00242579	-0.00291904	
25	28.28	0.000673519	0.00135586	-0.00436594	
26	27.78	0.000673519	-0.00170234	-0.0044317	
27	26.98	0.000673519	-0.00926563	-0.00439882	
