# Filename	C:\Users\labuser\Documents\Data\2018-10-24\22_fscan.txt
# Date	2018-10-25-4:11
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 13 dB. Laser at 27f. MW Pulse from Laser -200 ns to +100 ns. Looking for MW Power Shift.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.002	0.087	0.096
18502000000.000	0.002	0.088	0.083
18504000000.000	0.002	0.081	0.095
18506000000.000	0.002	0.095	0.092
18508000000.000	0.002	0.136	0.085
18510000000.000	0.002	0.176	0.092
18512000000.000	0.002	0.120	0.076
18514000000.000	0.002	0.088	0.089
18516000000.000	0.002	0.079	0.097
18518000000.000	0.002	0.082	0.082
18520000000.000	0.002	0.079	0.088
18500200000.000	0.002	0.086	0.082
18502200000.000	0.002	0.085	0.095
18504200000.000	0.002	0.081	0.094
18506200000.000	0.002	0.102	0.081
18508200000.000	0.002	0.136	0.093
18510200000.000	0.002	0.145	0.085
18512200000.000	0.002	0.118	0.086
18514200000.000	0.002	0.095	0.081
18516200000.000	0.002	0.086	0.087
18518200000.000	0.002	0.082	0.083
18500400000.000	0.002	0.092	0.083
18502400000.000	0.002	0.078	0.091
18504400000.000	0.002	0.085	0.087
18506400000.000	0.002	0.095	0.096
18508400000.000	0.002	0.138	0.084
18510400000.000	0.002	0.154	0.092
18512400000.000	0.002	0.104	0.088
18514400000.000	0.002	0.083	0.086
18516400000.000	0.002	0.081	0.088
18518400000.000	0.002	0.087	0.092
18500600000.000	0.002	0.088	0.086
18502600000.000	0.002	0.087	0.089
18504600000.000	0.002	0.087	0.077
18506600000.000	0.002	0.098	0.087
18508600000.000	0.002	0.134	0.083
18510600000.000	0.002	0.150	0.085
18512600000.000	0.002	0.096	0.085
18514600000.000	0.002	0.089	0.087
18516600000.000	0.002	0.082	0.081
18518600000.000	0.002	0.077	0.086
18500800000.000	0.002	0.081	0.082
18502800000.000	0.002	0.078	0.088
18504800000.000	0.002	0.084	0.087
18506800000.000	0.002	0.099	0.090
18508800000.000	0.002	0.155	0.085
18510800000.000	0.002	0.135	0.090
18512800000.000	0.002	0.092	0.081
18514800000.000	0.002	0.080	0.079
18516800000.000	0.002	0.073	0.080
18518800000.000	0.002	0.097	0.083
18501000000.000	0.002	0.083	0.076
18503000000.000	0.002	0.078	0.086
18505000000.000	0.002	0.086	0.089
18507000000.000	0.002	0.109	0.089
18509000000.000	0.002	0.148	0.094
18511000000.000	0.002	0.148	0.070
18513000000.000	0.002	0.102	0.085
18515000000.000	0.002	0.078	0.092
18517000000.000	0.002	0.091	0.086
18519000000.000	0.002	0.085	0.094
18501200000.000	0.002	0.074	0.087
18503200000.000	0.002	0.072	0.094
18505200000.000	0.002	0.082	0.096
18507200000.000	0.002	0.124	0.086
18509200000.000	0.002	0.154	0.091
18511200000.000	0.002	0.126	0.090
18513200000.000	0.002	0.085	0.076
18515200000.000	0.002	0.085	0.076
18517200000.000	0.002	0.085	0.094
18519200000.000	0.002	0.081	0.083
18501400000.000	0.002	0.082	0.093
18503400000.000	0.002	0.077	0.080
18505400000.000	0.002	0.081	0.079
18507400000.000	0.002	0.114	0.080
18509400000.000	0.002	0.156	0.090
18511400000.000	0.002	0.125	0.078
18513400000.000	0.002	0.098	0.082
18515400000.000	0.002	0.081	0.086
18517400000.000	0.002	0.075	0.087
18519400000.000	0.002	0.083	0.083
18501600000.000	0.002	0.077	0.088
18503600000.000	0.002	0.088	0.089
18505600000.000	0.002	0.103	0.093
18507600000.000	0.002	0.125	0.087
18509600000.000	0.002	0.152	0.083
18511600000.000	0.002	0.135	0.092
18513600000.000	0.002	0.096	0.084
18515600000.000	0.002	0.078	0.084
18517600000.000	0.002	0.084	0.082
18519600000.000	0.002	0.090	0.089
18501800000.000	0.002	0.078	0.090
18503800000.000	0.002	0.088	0.079
18505800000.000	0.002	0.093	0.085
18507800000.000	0.002	0.115	0.085
18509800000.000	0.002	0.159	0.097
18511800000.000	0.002	0.113	0.087
18513800000.000	0.002	0.090	0.084
18515800000.000	0.002	0.088	0.086
18517800000.000	0.002	0.077	0.090
18519800000.000	0.002	0.084	0.080
