# Title: Diode Laser Delay Scan, 9 dB MW, Long Scan.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 33.5 dB PM, 40 V Top to Bot, 27f. Long scan to look striking.
# Type:	Delay
# Hittite Freq:	18509.7 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361351.5 GHz
# Target:	n=27, l=f, blue f-s of 2nd lowest stark state after 27d
# Laser Mod:	1.27 (0.40 = J_0(1.27)^2) or 1.34 (0.28 = J_1(1.33))
# Laser Mod Attn:	33.5 dB
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	46805.000	0.258	0.001	0.037	0.001
1.000	48413.000	0.258	0.001	0.030	0.001
2.000	50021.000	0.258	0.001	0.087	0.001
3.000	51629.000	0.258	0.001	0.170	0.001
4.000	53237.000	0.258	0.001	0.245	0.001
5.000	54845.000	0.258	0.001	0.308	0.001
6.000	56453.000	0.258	0.001	0.300	0.001
7.000	58061.000	0.258	0.001	0.249	0.001
8.000	59668.000	0.258	0.001	0.174	0.001
9.000	61276.000	0.258	0.001	0.083	0.001
10.000	62884.000	0.258	0.001	0.032	0.001
11.000	64492.000	0.258	0.001	0.030	0.001
12.000	66100.000	0.258	0.001	0.105	0.001
13.000	67708.000	0.258	0.001	0.170	0.001
14.000	69316.000	0.258	0.001	0.264	0.001
15.000	70924.000	0.258	0.001	0.296	0.001
16.000	72532.000	0.258	0.001	0.308	0.001
17.000	74140.000	0.258	0.001	0.251	0.001
18.000	75747.000	0.258	0.001	0.157	0.001
19.000	77355.000	0.258	0.001	0.068	0.001
20.000	78963.000	0.258	0.001	0.025	0.001
21.000	80571.000	0.258	0.001	0.038	0.001
22.000	82179.000	0.258	0.001	0.108	0.001
23.000	83787.000	0.258	0.001	0.197	0.001
24.000	85395.000	0.258	0.001	0.270	0.001
25.000	87003.000	0.258	0.001	0.309	0.001
26.000	88611.000	0.258	0.001	0.314	0.001
27.000	90219.000	0.258	0.001	0.249	0.001
28.000	91826.000	0.258	0.001	0.156	0.001
29.000	93434.000	0.258	0.001	0.063	0.001
30.000	95042.000	0.258	0.001	0.033	0.001
31.000	96650.000	0.258	0.001	0.037	0.001
32.000	98258.000	0.258	0.001	0.121	0.001
33.000	99866.000	0.258	0.001	0.204	0.001
34.000	101474.000	0.258	0.001	0.287	0.001
35.000	103082.000	0.258	0.001	0.316	0.001
36.000	104690.000	0.258	0.001	0.286	0.001
37.000	106298.000	0.258	0.001	0.232	0.001
38.000	107906.000	0.258	0.001	0.145	0.001
