# Title: Diode Laser Delay Scan, 9 dB MW, short check.
# Note: Diode Laser Delay Scan, 9 dB on Var Attn, 36.5 dB PM, 40 V Top to Bot, 27f. Making a short scan to check how the phsse dependence behaves.
# Type:	Delay
# Hittite Freq:	18509.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361351.5 GHz
# Target:	n=27, l=f, blue f-s of 2nd lowest stark state after 27d
# Laser Mod:	0.89 (0.66 = J_0(0.89)^2) or 0.91 (0.17 = J_1(0.91)^2)
# Laser Mod Attn:	36.5 dB
# MW Attn:	9 dB
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	89704.000	0.252	-0.003	0.291	-0.003
1.000	90774.000	0.252	-0.003	0.261	-0.003
2.000	91844.000	0.252	-0.003	0.184	-0.003
3.000	92913.000	0.252	-0.003	0.168	-0.003
4.000	93983.000	0.252	-0.003	0.119	-0.003
5.000	95053.000	0.252	-0.003	0.107	-0.003
6.000	96122.000	0.252	-0.003	0.106	-0.003
7.000	97192.000	0.252	-0.003	0.136	-0.003
8.000	98262.000	0.252	-0.003	0.167	-0.003
9.000	99331.000	0.252	-0.003	0.209	-0.003
10.000	100401.000	0.252	-0.003	0.244	-0.003
11.000	101471.000	0.252	-0.003	0.286	-0.003
12.000	102540.000	0.252	-0.003	0.302	-0.003
13.000	103610.000	0.252	-0.003	0.317	-0.003
14.000	104680.000	0.252	-0.003	0.270	-0.003
15.000	105750.000	0.252	-0.003	0.277	-0.003
16.000	106819.000	0.252	-0.003	0.233	-0.003
17.000	107889.000	0.252	-0.003	0.202	-0.003
18.000	108959.000	0.252	-0.003	0.166	-0.003
19.000	110028.000	0.252	-0.003	0.133	-0.003
20.000	110296.000	0.252	-0.003	0.110	-0.003
21.000	109226.000	0.252	-0.003	0.131	-0.003
22.000	108156.000	0.252	-0.003	0.191	-0.003
23.000	107087.000	0.252	-0.003	0.214	-0.003
24.000	106017.000	0.252	-0.003	0.266	-0.003
25.000	104947.000	0.252	-0.003	0.322	-0.003
26.000	103878.000	0.252	-0.003	0.305	-0.003
27.000	102808.000	0.252	-0.003	0.291	-0.003
28.000	101738.000	0.252	-0.003	0.266	-0.003
29.000	100669.000	0.252	-0.003	0.248	-0.003
30.000	99599.000	0.252	-0.003	0.205	-0.003
31.000	98529.000	0.252	-0.003	0.162	-0.003
32.000	97460.000	0.252	-0.003	0.141	-0.003
33.000	96390.000	0.252	-0.003	0.115	-0.003
34.000	95320.000	0.252	-0.003	0.113	-0.003
35.000	94250.000	0.252	-0.003	0.130	-0.003
36.000	93181.000	0.252	-0.003	0.155	-0.003
37.000	92111.000	0.252	-0.003	0.196	-0.003
38.000	91041.000	0.252	-0.003	0.243	-0.003
39.000	89972.000	0.252	-0.003	0.260	-0.003
40.000	90239.000	0.252	-0.003	0.248	-0.003
41.000	91309.000	0.252	-0.003	0.231	-0.003
42.000	92379.000	0.252	-0.003	0.177	-0.003
43.000	93448.000	0.252	-0.003	0.145	-0.003
44.000	94518.000	0.252	-0.003	0.112	-0.003
45.000	95588.000	0.252	-0.003	0.111	-0.003
46.000	96657.000	0.252	-0.003	0.121	-0.003
47.000	97727.000	0.252	-0.003	0.145	-0.003
48.000	98797.000	0.252	-0.003	0.172	-0.003
49.000	99866.000	0.252	-0.003	0.241	-0.003
50.000	100936.000	0.252	-0.003	0.275	-0.003
51.000	102006.000	0.252	-0.003	0.283	-0.003
52.000	103075.000	0.252	-0.003	0.291	-0.003
53.000	104145.000	0.252	-0.003	0.306	-0.003
54.000	105215.000	0.252	-0.003	0.272	-0.003
55.000	106284.000	0.252	-0.003	0.238	-0.003
56.000	107354.000	0.252	-0.003	0.212	-0.003
57.000	108424.000	0.252	-0.003	0.161	-0.003
58.000	109493.000	0.252	-0.003	0.136	-0.003
59.000	109761.000	0.252	-0.003	0.123	-0.003
60.000	108691.000	0.252	-0.003	0.176	-0.003
61.000	107621.000	0.252	-0.003	0.205	-0.003
62.000	106552.000	0.252	-0.003	0.241	-0.003
63.000	105482.000	0.252	-0.003	0.279	-0.003
64.000	104412.000	0.252	-0.003	0.281	-0.003
65.000	103343.000	0.252	-0.003	0.305	-0.003
66.000	102273.000	0.252	-0.003	0.292	-0.003
67.000	101203.000	0.252	-0.003	0.265	-0.003
68.000	100134.000	0.252	-0.003	0.227	-0.003
69.000	99064.000	0.252	-0.003	0.188	-0.003
70.000	97994.000	0.252	-0.003	0.151	-0.003
71.000	96925.000	0.252	-0.003	0.137	-0.003
72.000	95855.000	0.252	-0.003	0.113	-0.003
73.000	94785.000	0.252	-0.003	0.112	-0.003
74.000	93716.000	0.252	-0.003	0.116	-0.003
75.000	92646.000	0.252	-0.003	0.160	-0.003
76.000	91576.000	0.252	-0.003	0.214	-0.003
77.000	90507.000	0.252	-0.003	0.273	-0.003
