# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. SFIP with 150 VDC. Short (500 ns) integration gate. Started by using diode laser and Stark Broadening of 27f.
# Type:	Frequency
# Hittite Freq:	18513.1 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	77.18	0.0142052	0.0117768	0.0114512	0.00636243	
1	76.88	0.0142052	0.0117768	0.0107278	0.00636243	
2	76.58	0.0142052	0.0117768	0.0110237	0.00636243	
3	76.48	0.0142052	0.0117768	0.012635	0.00636243	
4	76.18	0.0142052	0.0117768	0.0115499	0.00636243	
5	76.08	0.0142052	0.0117768	0.0116814	0.00636243	
6	75.88	0.0142052	0.0117768	0.00766956	0.00636243	
7	75.78	0.0142052	0.0117768	0.00543346	0.00636243	
8	75.78	0.0142052	0.0117768	0.00803129	0.00636243	
9	75.48	0.0142052	0.0117768	0.0129968	0.00636243	
10	75.08	0.0142052	0.0117768	0.0088205	0.00636243	
11	74.78	0.0142052	0.0117768	0.00852454	0.00636243	
12	74.68	0.0142052	0.0117768	0.0158905	0.00636243	
13	74.48	0.0142052	0.0117768	0.00898492	0.00636243	
14	74.08	0.0142052	0.0117768	0.0144765	0.00636243	
15	73.58	0.0142052	0.0117768	0.0103003	0.00636243	
16	73.28	0.0142052	0.0117768	0.00914934	0.00636243	
17	72.78	0.0142052	0.0117768	0.0108922	0.00636243	
18	72.48	0.0142052	0.0117768	0.0086232	0.00636243	
19	72.18	0.0142052	0.0117768	0.00757091	0.00636243	
20	71.58	0.0142052	0.0117768	0.0101359	0.00636243	
21	71.08	0.0142052	0.0117768	0.00773533	0.00636243	
22	70.38	0.0142052	0.0117768	0.00543346	0.00636243	
23	70.08	0.0142052	0.0117768	0.00812994	0.00636243	
24	69.68	0.0142052	0.0117768	0.0122075	0.00636243	
25	68.98	0.0142052	0.0117768	0.0147067	0.00636243	
26	68.68	0.0142052	0.0117768	0.0106949	0.00636243	
27	68.08	0.0142052	0.0117768	0.0104976	0.00636243	
28	67.28	0.0142052	0.0117768	0.00849166	0.00636243	
29	66.68	0.0142052	0.0117768	0.00993855	0.00636243	
30	66.18	0.0142052	0.0117768	0.00977413	0.00636243	
31	65.58	0.0142052	0.0117768	0.0118787	0.00636243	
32	64.78	0.0142052	0.0117768	0.0132598	0.00636243	
33	63.98	0.0142052	0.0117768	0.0096426	0.00636243	
34	63.68	0.0142052	0.0117768	0.0108593	0.00636243	
35	62.88	0.0142052	0.0117768	0.0104976	0.00636243	
36	62.18	0.0142052	0.0117768	0.0115827	0.00636243	
37	61.28	0.0142052	0.0117768	0.0133256	0.00636243	
38	60.68	0.0142052	0.0117768	0.0128323	0.00636243	
39	60.18	0.0142052	0.0117768	0.010958	0.00636243	
40	59.38	0.0142052	0.0117768	0.00977413	0.00636243	
41	58.58	0.0142052	0.0117768	0.0079984	0.00636243	
42	57.98	0.0142052	0.0117768	0.0114183	0.00636243	
43	57.28	0.0142052	0.0117768	0.0111881	0.00636243	
44	56.68	0.0142052	0.0117768	0.0107278	0.00636243	
45	55.98	0.0142052	0.0117768	0.00905069	0.00636243	
46	55.08	0.0142052	0.0117768	0.0067817	0.00636243	
47	54.48	0.0142052	0.0117768	0.0130625	0.00636243	
48	53.58	0.0142052	0.0117768	0.0107606	0.00636243	
49	52.98	0.0142052	0.0117768	0.00793264	0.00636243	
50	51.88	0.0142052	0.0117768	0.0108593	0.00636243	
51	51.38	0.0142052	0.0117768	0.0117143	0.00636243	
52	50.68	0.0142052	0.0117768	0.00816282	0.00636243	
53	49.78	0.0142052	0.0117768	0.00970836	0.00636243	
54	48.88	0.0142052	0.0117768	0.0104647	0.00636243	
55	48.28	0.0142052	0.0117768	0.00806417	0.00636243	
56	47.48	0.0142052	0.0117768	0.0090178	0.00636243	
57	46.68	0.0142052	0.0117768	0.00832724	0.00636243	
58	45.58	0.0142052	0.0117768	0.00924799	0.00636243	
59	44.88	0.0142052	0.0117768	0.00737361	0.00636243	
60	43.88	0.0142052	0.0117768	0.00970836	0.00636243	
61	42.98	0.0142052	0.0117768	0.0119116	0.00636243	
62	42.18	0.0142052	0.0117768	0.00388792	0.00636243	
63	41.08	0.0142052	0.0117768	0.00826147	0.00636243	
64	39.98	0.0142052	0.0117768	0.00908357	0.00636243	
65	39.28	0.0142052	0.0117768	0.00888627	0.00636243	
66	38.38	0.0142052	0.0117768	0.00740649	0.00636243	
67	37.38	0.0142052	0.0117768	0.00908357	0.00636243	
68	36.48	0.0142052	0.0117768	0.00711054	0.00636243	
69	35.78	0.0142052	0.0117768	0.00868896	0.00636243	
70	34.78	0.0142052	0.0117768	0.0105633	0.00636243	
71	33.78	0.0142052	0.0117768	0.0110237	0.00636243	
72	32.88	0.0142052	0.0117768	0.00908357	0.00636243	
73	32.18	0.0142052	0.0117768	0.00829436	0.00636243	
74	30.88	0.0142052	0.0117768	0.00921511	0.00636243	
75	30.28	0.0142052	0.0117768	0.00714342	0.00636243	
76	29.38	0.0142052	0.0117768	0.00717631	0.00636243	
77	28.58	0.0142052	0.0117768	0.0079984	0.00636243	
78	27.08	0.0142052	0.0117768	0.00569653	0.00636243	
79	26.68	0.0142052	0.0117768	0.00444694	0.00636243	
80	25.88	0.0142052	0.0117768	0.00602537	0.00636243	
81	25.18	0.0142052	0.0117768	0.00724207	0.00636243	
82	24.38	0.0142052	0.0117768	0.00789975	0.00636243	
83	23.78	0.0142052	0.0117768	0.00970836	0.00636243	
84	22.98	0.0142052	0.0117768	0.00563076	0.00636243	
85	21.98	0.0142052	0.0117768	0.00770245	0.00636243	
86	21.18	0.0142052	0.0117768	0.00796552	0.00636243	
87	20.38	0.0142052	0.0117768	0.00457848	0.00636243	
88	19.58	0.0142052	0.0117768	0.00635421	0.00636243	
89	18.58	0.0142052	0.0117768	0.00832724	0.00636243	
90	17.88	0.0142052	0.0117768	0.00175047	0.00636243	
91	17.08	0.0142052	0.0117768	0.00365773	0.00636243	
92	16.38	0.0142052	0.0117768	0.00674882	0.00636243	
93	15.18	0.0142052	0.0117768	0.0113854	0.00636243	
94	14.58	0.0142052	0.0117768	0.00734073	0.00636243	
95	13.78	0.0142052	0.0117768	0.00934664	0.00636243	
96	12.88	0.0142052	0.0117768	0.00536769	0.00636243	
97	11.88	0.0142052	0.0117768	0.00793264	0.00636243	
98	11.38	0.0142052	0.0117768	0.00668305	0.00636243	
99	10.38	0.0142052	0.0117768	0.00605825	0.00636243	
100	9.28	0.0142052	0.0117768	0.00967548	0.00636243	
101	8.58	0.0142052	0.0117768	0.00757091	0.00636243	
102	7.88	0.0142052	0.0117768	0.00605825	0.00636243	
103	6.88	0.0142052	0.0117768	0.00638709	0.00636243	
104	6.08	0.0142052	0.0117768	0.00300005	0.00636243	
105	5.28	0.0142052	0.0117768	0.00418387	0.00636243	
106	4.58	0.0142052	0.0117768	0.00428252	0.00636243	
107	3.48	0.0142052	0.0117768	0.00730784	0.00636243	
108	2.78	0.0142052	0.0117768	0.00451271	0.00636243	
109	1.78	0.0142052	0.0117768	0.00618979	0.00636243	
110	0.98	0.0142052	0.0117768	0.00707765	0.00636243	
111	0.18	0.0142052	0.0117768	0.00599249	0.00636243	
112	-0.72	0.0142052	0.0117768	0.00829436	0.00636243	
113	-1.72	0.0142052	0.0117768	0.00766956	0.00636243	
114	-2.62	0.0142052	0.0117768	0.00832724	0.00636243	
115	-3.32	0.0142052	0.0117768	0.00625556	0.00636243	
116	-4.32	0.0142052	0.0117768	0.005565	0.00636243	
117	-4.92	0.0142052	0.0117768	0.00816282	0.00636243	
118	-5.92	0.0142052	0.0117768	0.00753803	0.00636243	
119	-6.52	0.0142052	0.0117768	0.00559788	0.00636243	
120	-7.12	0.0142052	0.0117768	0.00612402	0.00636243	
121	-7.92	0.0142052	0.0117768	0.00549923	0.00636243	
122	-8.92	0.0142052	0.0117768	0.00701189	0.00636243	
123	-9.52	0.0142052	0.0117768	0.00674882	0.00636243	
124	-10.42	0.0142052	0.0117768	0.00681458	0.00636243	
125	-10.82	0.0142052	0.0117768	0.00720919	0.00636243	
126	-11.72	0.0142052	0.0117768	0.00625556	0.00636243	
127	-12.52	0.0142052	0.0117768	0.00878762	0.00636243	
128	-13.12	0.0142052	0.0117768	0.00766956	0.00636243	
129	-14.02	0.0142052	0.0117768	0.00612402	0.00636243	
130	-14.62	0.0142052	0.0117768	0.00786687	0.00636243	
131	-15.52	0.0142052	0.0117768	0.0090178	0.00636243	
