# Blinking MW between 18.5131 and 18.48 (off resonance) GHz, Hittite @ 14 dBm, Attn @ -20 dB, Dye laser at n=46, looking for MW ionization
# here 'd' is the Variable Attenuator value.
i	d	s1	s2	r
0	-6	0.211153	0.421275	0.501223
1	-26	0.383205	0.379798	1.008973
2	-10	0.349092	0.399816	0.873130
3	-8	0.280349	0.389904	0.719020
4	-14	0.386391	0.392899	0.983437
5	-20	0.390116	0.392623	0.993612
6	-9	0.316826	0.390940	0.810421
7	-16.4	0.383373	0.387604	0.989084
8	-7	0.232715	0.381554	0.609914
9	-12	0.389702	0.402476	0.968263
10	-70	0.405170	0.403326	1.004571
