# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. SFIP with 150 VDC. Short (500 ns) integration gate. Started by using diode laser and Stark Broadening of 27f.
# Type:	Frequency
# Hittite Freq:	18513.1 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
83	4.58	-0.0551978	-0.0560561	-0.00630608	-0.00758362	
84	3.68	-0.0551978	-0.0560561	-0.00880526	-0.00758362	
85	2.78	-0.0551978	-0.0560561	-0.0095287	-0.00758362	
86	2.08	-0.0551978	-0.0560561	-0.00791739	-0.00758362	
87	1.18	-0.0551978	-0.0560561	-0.00222848	-0.00758362	
88	-0.02	-0.0551978	-0.0560561	-0.00656916	-0.00758362	
89	-0.72	-0.0551978	-0.0560561	-0.00614166	-0.00758362	
90	-1.82	-0.0551978	-0.0560561	-0.00278751	-0.00758362	
91	-2.52	-0.0551978	-0.0560561	-0.00298481	-0.00758362	
92	-3.22	-0.0551978	-0.0560561	-0.00305058	-0.00758362	
93	-3.92	-0.0551978	-0.0560561	-0.00466189	-0.00758362	
94	-4.92	-0.0551978	-0.0560561	-0.0054511	-0.00758362	
95	-5.62	-0.0551978	-0.0560561	-0.00502361	-0.00758362	
96	-6.42	-0.0551978	-0.0560561	-0.0081147	-0.00758362	
97	-7.32	-0.0551978	-0.0560561	-0.00354384	-0.00758362	
98	-7.92	-0.0551978	-0.0560561	-0.00893679	-0.00758362	
99	-8.92	-0.0551978	-0.0560561	-0.00630608	-0.00758362	
100	-9.82	-0.0551978	-0.0560561	-0.00788451	-0.00758362	
101	-10.72	-0.0551978	-0.0560561	-0.00670069	-0.00758362	
102	-11.22	-0.0551978	-0.0560561	-0.00439882	-0.00758362	
103	-12.22	-0.0551978	-0.0560561	-0.0116004	-0.00758362	
104	-12.82	-0.0551978	-0.0560561	-0.00821335	-0.00758362	
105	-13.82	-0.0551978	-0.0560561	-0.0113702	-0.00758362	
106	-15.32	-0.0551978	-0.0560561	-0.00758856	-0.00758362	
107	-16.12	-0.0551978	-0.0560561	-0.00860796	-0.00758362	
108	-16.72	-0.0551978	-0.0560561	-0.00262309	-0.00758362	
109	-17.32	-0.0551978	-0.0560561	-0.00696376	-0.00758362	
110	-18.12	-0.0551978	-0.0560561	-0.00577994	-0.00758362	
111	-18.52	-0.0551978	-0.0560561	-0.00594436	-0.00758362	
112	-19.32	-0.0551978	-0.0560561	-0.00383979	-0.00758362	
113	-19.82	-0.0551978	-0.0560561	-0.0052538	-0.00758362	
114	-20.92	-0.0551978	-0.0560561	-0.00601013	-0.00758362	
115	-21.12	-0.0551978	-0.0560561	-0.0054511	-0.00758362	
116	-22.22	-0.0551978	-0.0560561	-0.00518803	-0.00758362	
117	-23.02	-0.0551978	-0.0560561	-0.00656916	-0.00758362	
118	-23.82	-0.0551978	-0.0560561	-0.00571417	-0.00758362	
119	-24.62	-0.0551978	-0.0560561	-0.00624032	-0.00758362	
120	-25.42	-0.0551978	-0.0560561	-0.00499073	-0.00758362	
121	-26.42	-0.0551978	-0.0560561	-0.00765432	-0.00758362	
122	-27.12	-0.0551978	-0.0560561	-0.00522092	-0.00758362	
123	-28.02	-0.0551978	-0.0560561	-0.0081147	-0.00758362	
124	-28.92	-0.0551978	-0.0560561	-0.00357672	-0.00758362	
125	-30.42	-0.0551978	-0.0560561	-0.00232713	-0.00758362	
126	-31.02	-0.0551978	-0.0560561	-0.00390556	-0.00758362	
127	-32.32	-0.0551978	-0.0560561	-0.00328077	-0.00758362	
128	-33.02	-0.0551978	-0.0560561	-0.00558264	-0.00758362	
129	-34.12	-0.0551978	-0.0560561	-0.00551687	-0.00758362	
130	-35.42	-0.0551978	-0.0560561	-0.00383979	-0.00758362	
131	-36.22	-0.0551978	-0.0560561	-0.00275463	-0.00758362	
132	-37.22	-0.0551978	-0.0560561	-0.00393844	-0.00758362	
133	-38.02	-0.0551978	-0.0560561	-0.00459612	-0.00758362	
134	-39.02	-0.0551978	-0.0560561	-0.00568129	-0.00758362	
135	-39.72	-0.0551978	-0.0560561	-0.00683223	-0.00758362	
136	-40.62	-0.0551978	-0.0560561	-0.00778586	-0.00758362	
137	-41.52	-0.0551978	-0.0560561	-0.00439882	-0.00758362	
138	-42.52	-0.0551978	-0.0560561	-0.00354384	-0.00758362	
139	-43.02	-0.0551978	-0.0560561	-0.00367537	-0.00758362	
140	-44.02	-0.0551978	-0.0560561	-0.00344519	-0.00758362	
141	-44.42	-0.0551978	-0.0560561	-0.00410286	-0.00758362	
142	-45.92	-0.0551978	-0.0560561	-0.00173523	-0.00758362	
143	-46.42	-0.0551978	-0.0560561	-0.00268886	-0.00758362	
144	-47.82	-0.0551978	-0.0560561	0.00161893	-0.00758362	
145	-48.72	-0.0551978	-0.0560561	-0.00255732	-0.00758362	
146	-49.42	-0.0551978	-0.0560561	0.00385503	-0.00758362	
147	-50.02	-0.0551978	-0.0560561	-0.000781593	-0.00758362	
148	-50.72	-0.0551978	-0.0560561	-0.00318212	-0.00758362	
149	-51.92	-0.0551978	-0.0560561	0.000435111	-0.00758362	
150	-52.52	-0.0551978	-0.0560561	0.00428252	-0.00758362	
151	-53.02	-0.0551978	-0.0560561	0.0118458	-0.00758362	
152	-53.62	-0.0551978	-0.0560561	0.00563076	-0.00758362	
153	-54.82	-0.0551978	-0.0560561	0.00859031	-0.00758362	
154	-55.32	-0.0551978	-0.0560561	0.00727496	-0.00758362	
155	-55.62	-0.0551978	-0.0560561	0.0186528	-0.00758362	
156	-57.22	-0.0551978	-0.0560561	0.0159563	-0.00758362	
157	-57.72	-0.0551978	-0.0560561	0.0205272	-0.00758362	
