# Filename	C:\Users\labuser\Documents\Data\2018-09-27\7_fscan.txt
# Date	2018-9-27-21:27
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using MW ionization at n=46. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -6 dB.
# Frequency (Hz)	Voltage (V)
18480000000.000	-0.670
18481000000.000	-0.677
18482000000.000	-0.715
18483000000.000	-0.730
18484000000.000	-0.706
18485000000.000	-0.727
18486000000.000	-0.717
18487000000.000	-0.719
18488000000.000	-0.698
18489000000.000	-0.702
18490000000.000	-0.714
18491000000.000	-0.680
18492000000.000	-0.666
18493000000.000	-0.667
18494000000.000	-0.710
18495000000.000	-0.695
18496000000.000	-0.720
18497000000.000	-0.702
18498000000.000	-0.703
18499000000.000	-0.686
18500000000.000	-0.669
18501000000.000	-0.694
18502000000.000	-0.668
18503000000.000	-0.678
18504000000.000	-0.631
18505000000.000	-0.611
18506000000.000	-0.565
18507000000.000	-0.525
18508000000.000	-0.450
18509000000.000	-0.380
18510000000.000	-0.351
18511000000.000	-0.378
18512000000.000	-0.426
18513000000.000	-0.506
18514000000.000	-0.576
18515000000.000	-0.591
18516000000.000	-0.607
18517000000.000	-0.635
18518000000.000	-0.675
18519000000.000	-0.668
18520000000.000	-0.724
18521000000.000	-0.701
18522000000.000	-0.700
18523000000.000	-0.747
18524000000.000	-0.731
18525000000.000	-0.704
18526000000.000	-0.691
18527000000.000	-0.688
18528000000.000	-0.712
18529000000.000	-0.679
18530000000.000	-0.650
18531000000.000	-0.686
18532000000.000	-0.704
18533000000.000	-0.717
18534000000.000	-0.696
18535000000.000	-0.683
18536000000.000	-0.702
18537000000.000	-0.712
18538000000.000	-0.684
18539000000.000	-0.683
18540000000.000	-0.682
18480100000.000	-0.692
18481100000.000	-0.693
18482100000.000	-0.659
18483100000.000	-0.684
18484100000.000	-0.684
18485100000.000	-0.679
18486100000.000	-0.694
18487100000.000	-0.692
18488100000.000	-0.670
18489100000.000	-0.683
18490100000.000	-0.654
18491100000.000	-0.663
18492100000.000	-0.676
18493100000.000	-0.653
18494100000.000	-0.676
18495100000.000	-0.665
18496100000.000	-0.675
18497100000.000	-0.671
18498100000.000	-0.661
18499100000.000	-0.676
18500100000.000	-0.664
18501100000.000	-0.671
18502100000.000	-0.682
18503100000.000	-0.648
18504100000.000	-0.628
18505100000.000	-0.583
18506100000.000	-0.557
18507100000.000	-0.502
18508100000.000	-0.458
18509100000.000	-0.384
18510100000.000	-0.367
18511100000.000	-0.394
18512100000.000	-0.438
18513100000.000	-0.535
18514100000.000	-0.550
18515100000.000	-0.601
18516100000.000	-0.616
18517100000.000	-0.632
18518100000.000	-0.669
18519100000.000	-0.665
18520100000.000	-0.694
18521100000.000	-0.688
18522100000.000	-0.667
18523100000.000	-0.682
18524100000.000	-0.661
18525100000.000	-0.665
18526100000.000	-0.657
18527100000.000	-0.657
18528100000.000	-0.685
18529100000.000	-0.732
18530100000.000	-0.711
18531100000.000	-0.727
18532100000.000	-0.718
18533100000.000	-0.740
18534100000.000	-0.719
18535100000.000	-0.725
18536100000.000	-0.736
18537100000.000	-0.714
18538100000.000	-0.733
18539100000.000	-0.721
18480200000.000	-0.734
18481200000.000	-0.721
18482200000.000	-0.700
18483200000.000	-0.701
18484200000.000	-0.713
18485200000.000	-0.690
18486200000.000	-0.699
18487200000.000	-0.662
18488200000.000	-0.661
18489200000.000	-0.667
18490200000.000	-0.666
18491200000.000	-0.661
18492200000.000	-0.639
18493200000.000	-0.684
18494200000.000	-0.681
18495200000.000	-0.673
18496200000.000	-0.697
18497200000.000	-0.684
18498200000.000	-0.707
18499200000.000	-0.682
18500200000.000	-0.702
18501200000.000	-0.681
18502200000.000	-0.700
18503200000.000	-0.639
18504200000.000	-0.630
18505200000.000	-0.608
18506200000.000	-0.582
18507200000.000	-0.519
18508200000.000	-0.453
18509200000.000	-0.394
18510200000.000	-0.379
18511200000.000	-0.404
18512200000.000	-0.447
18513200000.000	-0.506
18514200000.000	-0.568
18515200000.000	-0.586
18516200000.000	-0.609
18517200000.000	-0.621
18518200000.000	-0.641
18519200000.000	-0.644
