# Blinking MW between 18.5131 and 18.48 (off resonance) GHz, Hittite @ 14 dBm, Attn @ -20 dB, Dye laser at -180 GHz, looking for MW ionization
# here 'd' is the Variable Attenuator value.
i	d	s1	s2	r
0	-22	0.010282	0.041815	0.245884
1	-27	0.027671	0.044729	0.618634
2	-24.5	0.019316	0.044803	0.431130
3	-23.5	0.016356	0.044540	0.367229
4	-25	0.018326	0.040740	0.449835
5	-31	0.033818	0.040765	0.829578
6	-38.5	0.042890	0.042313	1.013652
7	-26	0.023975	0.043778	0.547635
8	-29	0.029813	0.040282	0.740102
9	-34	0.041940	0.042671	0.982866
10	-70	0.039022	0.039226	0.994802
