# Blinking MW between 18.5131 and 18.48 (off resonance) GHz, Hittite @ 14 dBm, Attn @ -20 dB, Dye laser at n=93, looking for MW ionization
# here 'd' is the Variable Attenuator value.
i	d	s1	s2	r
0	-19	0.020121	0.052608	0.382464
1	-20	0.027679	0.053915	0.513388
2	-40	0.050655	0.050921	0.994791
3	-24.5	0.050192	0.052873	0.949291
4	-22	0.043845	0.053489	0.819706
5	-21	0.037450	0.054885	0.682337
6	-23	0.049817	0.054223	0.918735
7	-26	0.054797	0.056353	0.972379
8	-19.6	0.023087	0.056206	0.410749
9	-20.5	0.032533	0.056458	0.576232
10	-70	0.055806	0.056326	0.990776
