# Filename	C:\Users\labuser\Documents\Data\2018-09-27\2_fscan.txt
# Date	2018-9-27-11:50
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using 27f + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -15 dB.
# Frequency (Hz)	Voltage (V)
18480000000.000	-0.018
18481000000.000	0.001
18482000000.000	0.006
18483000000.000	0.008
18484000000.000	0.005
18485000000.000	0.003
18486000000.000	0.003
18487000000.000	0.000
18488000000.000	0.005
18489000000.000	0.003
18490000000.000	0.005
18491000000.000	0.001
18492000000.000	0.004
18493000000.000	0.001
18494000000.000	-0.000
18495000000.000	-0.003
18496000000.000	-0.005
18497000000.000	-0.006
18498000000.000	-0.005
18499000000.000	-0.017
18500000000.000	-0.012
18501000000.000	-0.019
18502000000.000	-0.021
18503000000.000	-0.023
18504000000.000	-0.024
18505000000.000	-0.033
18506000000.000	-0.041
18507000000.000	-0.058
18508000000.000	-0.055
18509000000.000	-0.064
18510000000.000	-0.073
18511000000.000	-0.086
18512000000.000	-0.087
18513000000.000	-0.095
18514000000.000	-0.091
18515000000.000	-0.075
18516000000.000	-0.076
18517000000.000	-0.065
18518000000.000	-0.062
18519000000.000	-0.049
18520000000.000	-0.038
18521000000.000	-0.032
18522000000.000	-0.031
18523000000.000	-0.024
18524000000.000	-0.017
18525000000.000	-0.014
18526000000.000	-0.016
18527000000.000	-0.010
18528000000.000	-0.007
18529000000.000	-0.006
18530000000.000	-0.005
18531000000.000	-0.004
18532000000.000	-0.003
18533000000.000	0.002
18534000000.000	0.000
18535000000.000	-0.002
18536000000.000	0.001
18537000000.000	-0.001
18538000000.000	-0.000
18539000000.000	0.006
18540000000.000	0.005
18480100000.000	0.009
18481100000.000	0.007
18482100000.000	0.011
18483100000.000	0.010
18484100000.000	0.010
18485100000.000	0.008
18486100000.000	0.007
18487100000.000	0.008
18488100000.000	0.008
18489100000.000	0.007
18490100000.000	0.006
18491100000.000	0.007
18492100000.000	0.006
18493100000.000	0.004
18494100000.000	0.006
18495100000.000	0.002
18496100000.000	0.000
18497100000.000	0.002
18498100000.000	-0.001
18499100000.000	-0.006
18500100000.000	-0.007
18501100000.000	-0.019
18502100000.000	-0.019
18503100000.000	-0.021
18504100000.000	-0.025
18505100000.000	-0.027
18506100000.000	-0.034
18507100000.000	-0.038
18508100000.000	-0.058
18509100000.000	-0.062
18510100000.000	-0.069
18511100000.000	-0.074
18512100000.000	-0.100
18513100000.000	-0.095
18514100000.000	-0.100
18515100000.000	-0.091
18516100000.000	-0.083
18517100000.000	-0.067
18518100000.000	-0.059
18519100000.000	-0.043
18520100000.000	-0.033
18521100000.000	-0.028
18522100000.000	-0.023
18523100000.000	-0.016
18524100000.000	-0.014
18525100000.000	-0.008
18526100000.000	-0.006
18527100000.000	-0.007
18528100000.000	-0.008
18529100000.000	-0.001
18530100000.000	-0.005
18531100000.000	-0.003
18532100000.000	0.001
18533100000.000	0.002
18534100000.000	-0.002
18535100000.000	-0.002
18536100000.000	-0.003
18537100000.000	0.001
18538100000.000	0.001
18539100000.000	0.003
18480200000.000	0.007
18481200000.000	0.009
18482200000.000	0.011
18483200000.000	0.008
18484200000.000	0.007
18485200000.000	0.008
18486200000.000	0.006
18487200000.000	0.007
18488200000.000	0.005
18489200000.000	0.004
18490200000.000	0.002
18491200000.000	0.005
18492200000.000	0.006
18493200000.000	0.001
18494200000.000	-0.002
18495200000.000	0.002
18496200000.000	-0.008
18497200000.000	-0.004
18498200000.000	-0.009
18499200000.000	-0.007
18500200000.000	-0.014
18501200000.000	-0.015
18502200000.000	-0.027
18503200000.000	-0.027
18504200000.000	-0.027
18505200000.000	-0.039
18506200000.000	-0.037
18507200000.000	-0.055
18508200000.000	-0.063
18509200000.000	-0.068
18510200000.000	-0.077
18511200000.000	-0.087
18512200000.000	-0.086
18513200000.000	-0.099
18514200000.000	-0.092
18515200000.000	-0.087
18516200000.000	-0.074
18517200000.000	-0.070
18518200000.000	-0.054
18519200000.000	-0.046
18520200000.000	-0.034
18521200000.000	-0.028
18522200000.000	-0.025
18523200000.000	-0.017
18524200000.000	-0.016
