# Blinking MW between 18.5131 and 18.48 (off resonance) GHz, Hittite @ 14 dBm, Attn @ -20 dB, Dye laser at n=65, looking for MW ionization
# here 'd' is the Variable Attenuator value.
i	d	s1	s2	r
0	-20	0.131635	0.241022	0.546156
1	-19	0.082913	0.231043	0.358865
2	-40	0.230213	0.224730	1.024398
3	-24.5	0.229082	0.228803	1.001222
4	-22	0.180536	0.222611	0.810993
5	-21	0.155315	0.221887	0.699972
6	-23	0.192340	0.219697	0.875478
7	-26	0.218337	0.214542	1.017688
8	-19.6	0.107040	0.219154	0.488426
9	-20.5	0.141550	0.218370	0.648211
10	-70	0.219968	0.215345	1.021470
