# Filename	C:\Users\labuser\Documents\Data\2018-09-27\1_fscan.txt
# Date	2018-9-27-11:41
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using 27f + 1 f_MW. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -15 dB.
# Frequency (Hz)	Voltage (V)
19610000000.000	-0.013
19611000000.000	0.000
19612000000.000	0.007
19613000000.000	0.005
19614000000.000	0.008
19615000000.000	0.004
19616000000.000	0.001
19617000000.000	0.000
19618000000.000	0.001
19619000000.000	0.000
19620000000.000	-0.001
19621000000.000	-0.003
19622000000.000	-0.008
19623000000.000	-0.011
19624000000.000	-0.015
19625000000.000	-0.014
19626000000.000	-0.023
19627000000.000	-0.029
19628000000.000	-0.032
19629000000.000	-0.032
19630000000.000	-0.038
19631000000.000	-0.042
19632000000.000	-0.047
19633000000.000	-0.052
19634000000.000	-0.059
19635000000.000	-0.060
19636000000.000	-0.062
19637000000.000	-0.057
19638000000.000	-0.067
19639000000.000	-0.076
19640000000.000	-0.071
19641000000.000	-0.064
19642000000.000	-0.058
19643000000.000	-0.064
19644000000.000	-0.059
19645000000.000	-0.054
19646000000.000	-0.047
19647000000.000	-0.045
19648000000.000	-0.041
19649000000.000	-0.027
19650000000.000	-0.026
19651000000.000	-0.025
19652000000.000	-0.021
19653000000.000	-0.011
19654000000.000	-0.010
19655000000.000	-0.014
19656000000.000	-0.006
19657000000.000	-0.007
19658000000.000	-0.005
19659000000.000	-0.002
19660000000.000	0.002
19661000000.000	-0.004
19662000000.000	0.000
19663000000.000	0.001
19664000000.000	0.003
19665000000.000	0.000
19666000000.000	0.004
19667000000.000	0.003
19668000000.000	0.003
19669000000.000	0.001
19670000000.000	0.009
19610100000.000	0.010
19611100000.000	0.009
19612100000.000	0.007
19613100000.000	0.007
19614100000.000	0.010
19615100000.000	0.006
19616100000.000	0.005
19617100000.000	0.003
19618100000.000	0.002
19619100000.000	-0.003
19620100000.000	-0.003
19621100000.000	-0.006
19622100000.000	-0.006
19623100000.000	-0.008
19624100000.000	-0.014
19625100000.000	-0.019
19626100000.000	-0.024
19627100000.000	-0.023
19628100000.000	-0.030
19629100000.000	-0.032
19630100000.000	-0.034
19631100000.000	-0.038
19632100000.000	-0.044
19633100000.000	-0.056
19634100000.000	-0.057
19635100000.000	-0.059
19636100000.000	-0.069
19637100000.000	-0.078
19638100000.000	-0.082
19639100000.000	-0.080
19640100000.000	-0.075
19641100000.000	-0.073
19642100000.000	-0.069
19643100000.000	-0.057
19644100000.000	-0.062
