# Title: Diode Laser Frequency Scan, Stark Map in 6.6 V/cm.
# Note: Diode Laser Frequency Scan, No MW or Modulation, 40 V Top to Bot.
# Type:	Frequency
# Hittite Freq:	18509.7 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Target:	Full Manifold in 40 V
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	NaN
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4496.720	1.000	0.000	-0.002	0.008
1.000	-4496.820	1.000	0.000	0.020	0.008
2.000	-4496.920	1.000	0.000	0.017	0.008
3.000	-4496.920	1.000	0.000	0.015	0.008
4.000	-4496.920	1.000	0.000	0.007	0.008
5.000	-4496.920	1.000	0.000	0.001	0.008
6.000	-4496.920	1.000	0.000	0.030	0.008
7.000	-4496.920	1.000	0.000	0.005	0.008
8.000	-4496.920	1.000	0.000	-0.019	0.008
9.000	-4496.920	1.000	0.000	0.026	0.008
10.000	-4496.920	1.000	0.000	0.003	0.008
11.000	-4496.920	1.000	0.000	-0.012	0.008
12.000	-4496.920	1.000	0.000	0.019	0.008
13.000	-4496.920	1.000	0.000	0.029	0.008
14.000	-4497.020	1.000	0.000	-0.006	0.008
15.000	-4497.020	1.000	0.000	0.004	0.008
16.000	-4497.020	1.000	0.000	-0.006	0.008
17.000	-4497.020	1.000	0.000	-0.003	0.008
18.000	-4497.020	1.000	0.000	0.003	0.008
19.000	-4497.020	1.000	0.000	0.034	0.008
20.000	-4497.020	1.000	0.000	0.030	0.008
21.000	-4497.020	1.000	0.000	0.017	0.008
22.000	-4497.020	1.000	0.000	0.019	0.008
23.000	-4497.020	1.000	0.000	0.023	0.008
24.000	-4497.020	1.000	0.000	0.015	0.008
25.000	-4497.020	1.000	0.000	0.009	0.008
26.000	-4497.020	1.000	0.000	-0.008	0.008
27.000	-4497.120	1.000	0.000	0.010	0.008
28.000	-4497.120	1.000	0.000	0.019	0.008
29.000	-4497.120	1.000	0.000	-0.013	0.008
30.000	-4497.120	1.000	0.000	-0.011	0.008
31.000	-4497.120	1.000	0.000	0.020	0.008
32.000	-4497.120	1.000	0.000	0.011	0.008
33.000	-4497.120	1.000	0.000	0.007	0.008
34.000	-4497.120	1.000	0.000	0.009	0.008
35.000	-4497.120	1.000	0.000	0.004	0.008
36.000	-4497.120	1.000	0.000	0.018	0.008
37.000	-4497.120	1.000	0.000	0.004	0.008
38.000	-4497.120	1.000	0.000	0.017	0.008
39.000	-4497.120	1.000	0.000	-0.003	0.008
40.000	-4497.120	1.000	0.000	0.014	0.008
41.000	-4497.120	1.000	0.000	-0.008	0.008
42.000	-4497.220	1.000	0.000	0.006	0.008
43.000	-4497.220	1.000	0.000	0.006	0.008
44.000	-4497.120	1.000	0.000	0.034	0.008
45.000	-4497.220	1.000	0.000	0.024	0.008
46.000	-4497.220	1.000	0.000	0.006	0.008
47.000	-4497.220	1.000	0.000	0.021	0.008
48.000	-4497.220	1.000	0.000	0.007	0.008
49.000	-4497.220	1.000	0.000	0.012	0.008
50.000	-4497.220	1.000	0.000	0.008	0.008
51.000	-4497.220	1.000	0.000	0.017	0.008
52.000	-4497.220	1.000	0.000	0.010	0.008
53.000	-4497.220	1.000	0.000	0.014	0.008
54.000	-4497.220	1.000	0.000	0.015	0.008
55.000	-4497.220	1.000	0.000	0.025	0.008
56.000	-4497.220	1.000	0.000	0.013	0.008
57.000	-4497.220	1.000	0.000	0.007	0.008
58.000	-4497.220	1.000	0.000	-0.010	0.008
59.000	-4497.220	1.000	0.000	-0.001	0.008
60.000	-4497.220	1.000	0.000	0.004	0.008
61.000	-4497.220	1.000	0.000	0.017	0.008
62.000	-4497.220	1.000	0.000	0.028	0.008
63.000	-4497.220	1.000	0.000	0.016	0.008
64.000	-4497.220	1.000	0.000	0.001	0.008
65.000	-4497.220	1.000	0.000	0.033	0.008
66.000	-4497.220	1.000	0.000	0.005	0.008
67.000	-4497.220	1.000	0.000	0.012	0.008
68.000	-4497.220	1.000	0.000	-0.002	0.008
69.000	-4497.220	1.000	0.000	0.024	0.008
70.000	-4497.220	1.000	0.000	0.008	0.008
71.000	-4497.220	1.000	0.000	0.022	0.008
72.000	-4497.220	1.000	0.000	0.013	0.008
73.000	-4497.220	1.000	0.000	-0.004	0.008
74.000	-4497.220	1.000	0.000	-0.009	0.008
75.000	-4497.320	1.000	0.000	-0.010	0.008
76.000	-4497.320	1.000	0.000	0.019	0.008
77.000	-4497.320	1.000	0.000	0.018	0.008
78.000	-4497.320	1.000	0.000	0.020	0.008
79.000	-4497.320	1.000	0.000	0.011	0.008
80.000	-4497.320	1.000	0.000	0.017	0.008
81.000	-4497.320	1.000	0.000	0.031	0.008
82.000	-4497.320	1.000	0.000	0.018	0.008
83.000	-4497.320	1.000	0.000	0.009	0.008
84.000	-4497.320	1.000	0.000	0.025	0.008
85.000	-4497.320	1.000	0.000	0.015	0.008
86.000	-4497.320	1.000	0.000	0.013	0.008
87.000	-4497.320	1.000	0.000	0.039	0.008
88.000	-4497.320	1.000	0.000	-0.009	0.008
89.000	-4497.320	1.000	0.000	-0.017	0.008
90.000	-4497.420	1.000	0.000	0.010	0.008
91.000	-4497.420	1.000	0.000	0.003	0.008
92.000	-4497.420	1.000	0.000	0.004	0.008
93.000	-4497.420	1.000	0.000	0.023	0.008
94.000	-4497.420	1.000	0.000	0.008	0.008
95.000	-4497.420	1.000	0.000	0.015	0.008
96.000	-4497.420	1.000	0.000	0.037	0.008
97.000	-4497.420	1.000	0.000	-0.010	0.008
98.000	-4497.420	1.000	0.000	-0.011	0.008
99.000	-4497.420	1.000	0.000	0.025	0.008
100.000	-4497.420	1.000	0.000	-0.013	0.008
101.000	-4497.420	1.000	0.000	0.012	0.008
102.000	-4497.420	1.000	0.000	0.022	0.008
103.000	-4497.420	1.000	0.000	0.019	0.008
104.000	-4497.420	1.000	0.000	-0.021	0.008
105.000	-4497.420	1.000	0.000	0.002	0.008
106.000	-4497.520	1.000	0.000	0.013	0.008
107.000	-4497.520	1.000	0.000	0.035	0.008
108.000	-4497.520	1.000	0.000	-0.006	0.008
109.000	-4497.520	1.000	0.000	-0.007	0.008
110.000	-4497.520	1.000	0.000	0.007	0.008
111.000	-4497.520	1.000	0.000	0.020	0.008
112.000	-4497.520	1.000	0.000	0.008	0.008
113.000	-4497.520	1.000	0.000	0.012	0.008
114.000	-4497.520	1.000	0.000	0.013	0.008
115.000	-4497.520	1.000	0.000	-0.004	0.008
116.000	-4497.520	1.000	0.000	0.027	0.008
117.000	-4497.520	1.000	0.000	0.002	0.008
118.000	-4497.520	1.000	0.000	0.012	0.008
119.000	-4497.520	1.000	0.000	0.001	0.008
120.000	-4497.520	1.000	0.000	-0.008	0.008
121.000	-4497.520	1.000	0.000	0.025	0.008
