# Title: Diode Laser Frequency Scan, Stark Map in 6.6 V/cm.
# Note: Diode Laser Frequency Scan, No MW or Modulation, 40 V Top to Bot. NO WAVELENGTH DATA, JUST APPLIED VOLTAGE
# Type:	Frequency
# Hittite Freq:	18509.7 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Target:	Full Manifold in 40 V
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	NaN
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	0.000	1.000	0.000	0.008	0.008
1.000	-0.001	1.000	0.000	-0.001	0.008
2.000	-0.002	1.000	0.000	0.006	0.008
3.000	-0.003	1.000	0.000	0.009	0.008
4.000	-0.004	1.000	0.000	0.016	0.008
5.000	-0.005	1.000	0.000	0.010	0.008
6.000	-0.006	1.000	0.000	0.009	0.008
7.000	-0.007	1.000	0.000	0.001	0.008
8.000	-0.008	1.000	0.000	0.035	0.008
9.000	-0.009	1.000	0.000	0.033	0.008
10.000	-0.010	1.000	0.000	0.013	0.008
11.000	-0.011	1.000	0.000	0.008	0.008
12.000	-0.012	1.000	0.000	0.029	0.008
13.000	-0.013	1.000	0.000	-0.002	0.008
14.000	-0.014	1.000	0.000	0.021	0.008
15.000	-0.015	1.000	0.000	-0.008	0.008
16.000	-0.016	1.000	0.000	0.011	0.008
17.000	-0.017	1.000	0.000	-0.014	0.008
18.000	-0.018	1.000	0.000	0.017	0.008
19.000	-0.019	1.000	0.000	-0.009	0.008
20.000	-0.020	1.000	0.000	0.007	0.008
21.000	-0.021	1.000	0.000	0.017	0.008
22.000	-0.022	1.000	0.000	-0.010	0.008
23.000	-0.023	1.000	0.000	-0.005	0.008
24.000	-0.024	1.000	0.000	-0.001	0.008
25.000	-0.025	1.000	0.000	-0.001	0.008
26.000	-0.026	1.000	0.000	0.009	0.008
27.000	-0.027	1.000	0.000	0.026	0.008
28.000	-0.028	1.000	0.000	0.025	0.008
29.000	-0.029	1.000	0.000	0.000	0.008
30.000	-0.030	1.000	0.000	0.028	0.008
31.000	-0.031	1.000	0.000	-0.012	0.008
32.000	-0.032	1.000	0.000	0.008	0.008
33.000	-0.033	1.000	0.000	-0.022	0.008
34.000	-0.034	1.000	0.000	0.006	0.008
35.000	-0.035	1.000	0.000	-0.011	0.008
36.000	-0.036	1.000	0.000	-0.009	0.008
37.000	-0.037	1.000	0.000	0.003	0.008
38.000	-0.038	1.000	0.000	-0.003	0.008
39.000	-0.039	1.000	0.000	0.001	0.008
40.000	-0.040	1.000	0.000	-0.004	0.008
41.000	-0.041	1.000	0.000	0.001	0.008
42.000	-0.042	1.000	0.000	0.024	0.008
43.000	-0.043	1.000	0.000	0.023	0.008
44.000	-0.044	1.000	0.000	0.016	0.008
45.000	-0.045	1.000	0.000	0.004	0.008
46.000	-0.046	1.000	0.000	0.016	0.008
47.000	-0.047	1.000	0.000	0.016	0.008
48.000	-0.048	1.000	0.000	0.013	0.008
49.000	-0.049	1.000	0.000	-0.009	0.008
50.000	-0.050	1.000	0.000	0.003	0.008
51.000	-0.051	1.000	0.000	0.014	0.008
52.000	-0.052	1.000	0.000	0.011	0.008
53.000	-0.053	1.000	0.000	0.012	0.008
54.000	-0.054	1.000	0.000	0.014	0.008
