# Title: Diode Laser Frequency Scan, Stark Map in 6.6 V/cm.
# Note: Diode Laser Frequency Scan, No MW or Modulation, 40 V Top to Bot. NO WAVELENGTH DATA, JUST TIMING
# Type:	Frequency
# Hittite Freq:	18509.7 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Target:	Full Manifold in 40 V
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	NaN
# Delay:	1000 ns
# MW Off:	IR + 100 ns
# Top w/o Static:	-0.0022 V
# Static:	+40 V
# Static Off:	NaN
# Time - Plot 0	Amplitude - Plot 0	
t	v
534	-0.0112717	
535	-0.0147412	
536	-0.0132942	
537	-0.0181778	
538	-0.0162211	
539	-0.0163033	
540	-0.0182271	
541	-0.0183916	
542	-0.0184573	
543	-0.0210718	
544	-0.0178654	
545	-0.018704	
546	-0.017405	
547	-0.0147576	
548	-0.0173885	
549	-0.0195426	
550	-0.0193124	
551	-0.0164841	
552	-0.0169939	
553	-0.0185231	
554	-0.0190657	
555	-0.017553	
556	-0.0206443	
557	-0.0172076	
558	-0.0136559	
559	-0.0128666	
560	-0.0129489	
561	-0.0111237	
562	-0.0099562	
563	-0.0120609	
564	-0.0108441	
565	-0.0106139	
566	-0.0106797	
567	-0.00771992	
568	-0.00479303	
569	-0.00739106	
570	-0.00887095	
571	-0.00725951	
572	-0.00600983	
573	-0.0111072	
574	-0.010877	
575	-0.0123733	
576	-0.00997264	
577	-0.0103015	
578	-0.00793368	
579	-0.0123898	
580	-0.010022	
581	-0.012176	
582	-0.00967666	
583	-0.0122747	
584	-0.00987398	
585	-0.0109757	
586	-0.0086243	
587	-0.00954512	
588	-0.00711152	
589	-0.00806523	
590	-0.0101206	
591	-0.00701286	
592	-0.00619071	
593	-0.00765415	
594	-0.00558231	
595	-0.00627292	
596	-0.00704575	
597	-0.00400376	
598	-0.00640447	
599	-0.00670044	
600	-0.00895316	
601	-0.00727596	
602	-0.00993975	
603	-0.00508901	
604	-0.00640447	
605	-0.00561519	
606	-0.0111894	
607	-0.00905182	
608	-0.00979176	
609	-0.0108606	
610	-0.0122582	
611	-0.0103837	
612	-0.0054672	
613	-0.00642091	
614	-0.00531922	
615	-0.0065689	
616	-0.0108277	
617	-0.0106797	
618	-0.00854208	
619	-0.00928203	
620	-0.0132613	
621	-0.0122418	
622	-0.0116334	
623	-0.0192959	
624	-0.0161553	
625	-0.0138039	
626	-0.0108112	
627	-0.0101535	
628	-0.00811456	
629	-0.012916	
630	-0.0157606	
631	-0.0169446	
632	-0.0134422	
633	-0.0177503	
634	-0.0149878	
635	-0.0156784	
636	-0.0136559	
637	-0.0136066	
638	-0.0117321	
639	-0.0117649	
640	-0.0122582	
641	-0.00989042	
642	-0.0121431	
643	-0.0137381	
644	-0.0128995	
645	-0.0136559	
646	-0.0149714	
647	-0.0126364	
648	-0.0132284	
649	-0.00980821	
650	-0.0109921	
651	-0.00747327	
652	-0.00967666	
653	-0.00804879	
654	-0.00926558	
655	-0.00589473	
656	-0.0124556	
657	-0.011025	
658	-0.0103508	
659	-0.0135901	
660	-0.0151358	
661	-0.0128831	
662	-0.0115183	
663	-0.0122089	
664	-0.0100713	
665	-0.0106633	
666	-0.0136559	
667	-0.0143959	
668	-0.0100877	
669	-0.0117814	
670	-0.0127844	
671	-0.0101042	
672	-0.00808167	
673	-0.0131297	
674	-0.0166157	
675	-0.0163197	
676	-0.0163855	
677	-0.0158593	
678	-0.0160566	
679	-0.0222393	
680	-0.0203483	
681	-0.0229134	
682	-0.0208087	
683	-0.0203976	
684	-0.0182765	
685	-0.0192959	
686	-0.0158757	
687	-0.0158264	
688	-0.0150371	
689	-0.0172241	
690	-0.0182107	
691	-0.0160402	
692	-0.0157442	
693	-0.0171583	
694	-0.0136724	
695	-0.0156455	
696	-0.0165499	
697	-0.0130968	
698	-0.0115841	
699	-0.0113539	
700	-0.0124062	
701	-0.0113045	
702	-0.0131297	
703	-0.0133435	
704	-0.0146425	
705	-0.0153825	
706	-0.0203483	
707	-0.0196741	
708	-0.0181942	
709	-0.0169939	
710	-0.0187697	
711	-0.0161388	
712	-0.0126364	
713	-0.0156291	
714	-0.0140177	
715	-0.0157771	
716	-0.0154811	
717	-0.0133599	
718	-0.0122911	
719	-0.0126364	
720	-0.0152509	
721	-0.0113045	
722	-0.00803234	
723	-0.0165335	
724	-0.0145767	
725	-0.0162211	
726	-0.0163362	
727	-0.0171419	
728	-0.0159415	
729	-0.0208745	
730	-0.0184573	
731	-0.0191479	
732	-0.0147412	
733	-0.0139354	
734	-0.011321	
735	-0.0133928	
736	-0.0126858	
737	-0.0180791	
738	-0.0157442	
739	-0.0161388	
740	-0.0166157	
741	-0.0150536	
742	-0.0159744	
743	-0.0160402	
744	-0.0135573	
745	-0.0149056	
746	-0.0154811	
747	-0.0122254	
748	-0.0132777	
749	-0.0127515	
750	-0.0136724	
751	-0.0152838	
752	-0.0174872	
753	-0.0153496	
754	-0.0196412	
755	-0.0168623	
756	-0.0177174	
757	-0.0168459	
758	-0.0124062	
759	-0.0140506	
760	-0.0204305	
761	-0.0173885	
762	-0.0177503	
763	-0.0173392	
764	-0.015662	
765	-0.0172241	
766	-0.017257	
767	-0.0188849	
768	-0.0152673	
769	-0.0177338	
770	-0.0196577	
771	-0.0185067	
772	-0.0165664	
773	-0.0223215	
774	-0.0209402	
775	-0.0235383	
776	-0.0204634	
777	-0.0220913	
778	-0.0195426	
779	-0.0220255	
780	-0.0219268	
781	-0.023341	
782	-0.0196741	
783	-0.0231272	
784	-0.0233738	
785	-0.0263007	
786	-0.0263336	
787	-0.0306746	
788	-0.0311186	
789	-0.0316283	
790	-0.0351801	
791	-0.031875	
792	-0.0343743	
793	-0.0411489	
794	-0.036775	
795	-0.0358378	
796	-0.0360187	
797	-0.0374985	
798	-0.0448651	
799	-0.0437963	
800	-0.0442731	
801	-0.041264	
802	-0.0416422	
803	-0.0401952	
804	-0.0423	
805	-0.039965	
806	-0.0418395	
807	-0.0494034	
808	-0.0487621	
809	-0.0543528	
810	-0.0559643	
811	-0.0590227	
812	-0.0600257	
813	-0.0659453	
814	-0.0739531	
815	-0.0784914	
816	-0.0900346	
817	-0.0981082	
818	-0.117347	
819	-0.13647	
820	-0.148095	
821	-0.163832	
822	-0.170573	
823	-0.181393	
824	-0.199678	
825	-0.209741	
826	-0.212438	
827	-0.212224	
828	-0.209609	
829	-0.222271	
830	-0.229884	
831	-0.227072	
832	-0.225921	
833	-0.232794	
834	-0.232285	
835	-0.236724	
836	-0.236494	
837	-0.233304	
838	-0.229917	
839	-0.227121	
840	-0.237283	
841	-0.252608	
842	-0.270992	
843	-0.287715	
844	-0.29171	
845	-0.3023	
846	-0.310505	
847	-0.315191	
848	-0.322804	
849	-0.33591	
850	-0.335416	
851	-0.320519	
852	-0.321341	
853	-0.31404	
854	-0.307216	
855	-0.297087	
856	-0.290757	
857	-0.276172	
858	-0.262063	
859	-0.261142	
860	-0.256982	
861	-0.23975	
862	-0.228815	
863	-0.214641	
864	-0.208574	
865	-0.19708	
866	-0.189401	
867	-0.180077	
868	-0.172859	
869	-0.16324	
870	-0.16273	
871	-0.159688	
872	-0.148671	
873	-0.147799	
874	-0.142357	
875	-0.139578	
876	-0.139775	
877	-0.13402	
878	-0.12986	
879	-0.121753	
880	-0.123644	
881	-0.12052	
882	-0.113828	
883	-0.108106	
884	-0.107201	
885	-0.105245	
886	-0.100443	
887	-0.097878	
888	-0.0937014	
889	-0.0923037	
890	-0.0899852	
891	-0.0825365	
892	-0.0790341	
893	-0.0758112	
894	-0.0705165	
895	-0.0673758	
896	-0.0707631	
897	-0.0665537	
898	-0.0630184	
899	-0.0595982	
900	-0.0587596	
901	-0.0562438	
902	-0.0554381	
903	-0.0543035	
904	-0.0547475	
905	-0.0514259	
906	-0.0500447	
907	-0.0500447	
908	-0.046493	
909	-0.0471014	
910	-0.0526263	
911	-0.0490252	
912	-0.0494363	
913	-0.0506531	
914	-0.0504722	
915	-0.049535	
916	-0.0470356	
917	-0.0507353	
918	-0.0471178	
919	-0.0444705	
920	-0.0428261	
921	-0.0434017	
922	-0.0468383	
923	-0.0536129	
924	-0.0618509	
925	-0.0647285	
926	-0.0610616	
927	-0.0591542	
928	-0.0649422	
929	-0.0737887	
930	-0.0688722	
931	-0.0736736	
932	-0.074282	
933	-0.0766005	
934	-0.0748739	
935	-0.0829311	
936	-0.0848714	
937	-0.0877325	
938	-0.0975984	
939	-0.112891	
940	-0.126489	
941	-0.137736	
942	-0.151993	
943	-0.174372	
944	-0.185948	
945	-0.205992	
946	-0.237201	
947	-0.242874	
948	-0.254878	
949	-0.257821	
950	-0.268114	
951	-0.280776	
952	-0.280414	
953	-0.288964	
954	-0.304404	
955	-0.298353	
956	-0.311541	
957	-0.31797	
958	-0.329365	
959	-0.335433	
960	-0.356151	
961	-0.360361	
962	-0.371707	
963	-0.365524	
964	-0.372677	
965	-0.371542	
966	-0.380668	
967	-0.36952	
968	-0.362383	
969	-0.357039	
970	-0.350988	
971	-0.338064	
972	-0.326241	
973	-0.317247	
974	-0.305029	
975	-0.288027	
976	-0.273376	
977	-0.263823	
978	-0.25348	
979	-0.248004	
980	-0.232005	
981	-0.219163	
982	-0.214723	
983	-0.214822	
984	-0.210695	
985	-0.210021	
986	-0.203575	
987	-0.195074	
988	-0.1944	
989	-0.191538	
990	-0.187428	
991	-0.186096	
992	-0.180604	
993	-0.17572	
994	-0.173286	
995	-0.165805	
996	-0.162861	
997	-0.159589	
998	-0.162138	
999	-0.159228	
1000	-0.162615	
1001	-0.160428	
1002	-0.164407	
1003	-0.177035	
1004	-0.185602	
1005	-0.188381	
1006	-0.19537	
1007	-0.209001	
1008	-0.207357	
1009	-0.208541	
1010	-0.203706	
1011	-0.199744	
1012	-0.192887	
1013	-0.180998	
1014	-0.181656	
1015	-0.187329	
1016	-0.188759	
1017	-0.185767	
1018	-0.171609	
1019	-0.175095	
1020	-0.185142	
1021	-0.180883	
1022	-0.190042	
1023	-0.188842	
1024	-0.192854	
1025	-0.19389	
1026	-0.198806	
1027	-0.201191	
1028	-0.208195	
1029	-0.204578	
1030	-0.192722	
1031	-0.179255	
1032	-0.17646	
1033	-0.169044	
1034	-0.167054	
1035	-0.16472	
1036	-0.154887	
1037	-0.153094	
1038	-0.142357	
1039	-0.139249	
1040	-0.135845	
1041	-0.128988	
1042	-0.134744	
1043	-0.136388	
1044	-0.127541	
1045	-0.127032	
1046	-0.127147	
1047	-0.124532	
1048	-0.127985	
1049	-0.123085	
1050	-0.124664	
1051	-0.122789	
1052	-0.119583	
1053	-0.115489	
1054	-0.118498	
1055	-0.122757	
1056	-0.152387	
1057	-0.155906	
1058	-0.153209	
1059	-0.17105	
1060	-0.189878	
1061	-0.207653	
1062	-0.228371	
1063	-0.254582	
1064	-0.272751	
1065	-0.279542	
1066	-0.294308	
1067	-0.321456	
1068	-0.320469	
1069	-0.327228	
1070	-0.344559	
1071	-0.362186	
1072	-0.357384	
1073	-0.365771	
1074	-0.381885	
1075	-0.386374	
1076	-0.402274	
1077	-0.410726	
1078	-0.42541	
1079	-0.433434	
1080	-0.427268	
1081	-0.419836	
1082	-0.401337	
1083	-0.384384	
1084	-0.373121	
1085	-0.359506	
1086	-0.356677	
1087	-0.336551	
1088	-0.31945	
1089	-0.309387	
1090	-0.314122	
1091	-0.301708	
1092	-0.285955	
1093	-0.275251	
1094	-0.265566	
1095	-0.247675	
1096	-0.236346	
1097	-0.228486	
1098	-0.219558	
1099	-0.218078	
1100	-0.210892	
1101	-0.203262	
1102	-0.204315	
1103	-0.201437	
1104	-0.194811	
1105	-0.191752	
1106	-0.18723	
1107	-0.180341	
1108	-0.175128	
1109	-0.170524	
1110	-0.173237	
1111	-0.169143	
1112	-0.163371	
1113	-0.172103	
1114	-0.16837	
1115	-0.160428	
1116	-0.153259	
1117	-0.162072	
1118	-0.159129	
1119	-0.15709	
1120	-0.166594	
1121	-0.175309	
1122	-0.192936	
1123	-0.204463	
1124	-0.216795	
1125	-0.227763	
1126	-0.226858	
1127	-0.218374	
1128	-0.219985	
1129	-0.223159	
1130	-0.222649	
1131	-0.226743	
1132	-0.218143	
1133	-0.215069	
1134	-0.214904	
1135	-0.209429	
1136	-0.207899	
1137	-0.209577	
1138	-0.211731	
1139	-0.212635	
1140	-0.226793	
1141	-0.224408	
1142	-0.231117	
1143	-0.231413	
1144	-0.233452	
1145	-0.223044	
1146	-0.213506	
1147	-0.207439	
1148	-0.201618	
1149	-0.19019	
1150	-0.179009	
1151	-0.17253	
1152	-0.169406	
1153	-0.170968	
1154	-0.168797	
1155	-0.163667	
1156	-0.16227	
1157	-0.168321	
1158	-0.159507	
1159	-0.156893	
1160	-0.154788	
1161	-0.150365	
1162	-0.152535	
1163	-0.153851	
1164	-0.158915	
1165	-0.157369	
1166	-0.163141	
1167	-0.162664	
1168	-0.159639	
1169	-0.168501	
1170	-0.177463	
1171	-0.172563	
1172	-0.170475	
1173	-0.190108	
1174	-0.206567	
1175	-0.215529	
1176	-0.250635	
1177	-0.262063	
1178	-0.279674	
1179	-0.287813	
1180	-0.295114	
1181	-0.311968	
1182	-0.318743	
1183	-0.343178	
1184	-0.349114	
1185	-0.36018	
1186	-0.37368	
