# Filename	C:\Users\labuser\Documents\Data\2018-10-06\1_fscan.txt
# Date	2018-10-6-17:23
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 10 dB. Laser at -180 GHz. MW Pulse from Laser +100 ns to +400 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.005	0.056	0.071
18502000000.000	-0.005	0.057	0.070
18504000000.000	-0.005	0.063	0.067
18506000000.000	-0.005	0.049	0.074
18508000000.000	-0.005	0.044	0.071
18510000000.000	-0.005	0.037	0.073
18512000000.000	-0.005	0.047	0.074
18514000000.000	-0.005	0.045	0.073
18516000000.000	-0.005	0.055	0.069
18518000000.000	-0.005	0.054	0.076
18520000000.000	-0.005	0.055	0.074
18500200000.000	-0.005	0.062	0.070
18502200000.000	-0.005	0.054	0.073
18504200000.000	-0.005	0.048	0.073
18506200000.000	-0.005	0.052	0.071
18508200000.000	-0.005	0.042	0.064
18510200000.000	-0.005	0.042	0.065
18512200000.000	-0.005	0.040	0.075
18514200000.000	-0.005	0.040	0.067
18516200000.000	-0.005	0.044	0.067
18518200000.000	-0.005	0.056	0.076
18500400000.000	-0.005	0.061	0.077
18502400000.000	-0.005	0.057	0.074
18504400000.000	-0.005	0.049	0.081
18506400000.000	-0.005	0.050	0.073
18508400000.000	-0.005	0.047	0.078
18510400000.000	-0.005	0.043	0.082
18512400000.000	-0.005	0.047	0.076
18514400000.000	-0.005	0.048	0.082
18516400000.000	-0.005	0.060	0.075
18518400000.000	-0.005	0.054	0.072
18500600000.000	-0.005	0.057	0.074
18502600000.000	-0.005	0.054	0.071
18504600000.000	-0.005	0.053	0.066
18506600000.000	-0.005	0.049	0.067
18508600000.000	-0.005	0.046	0.068
18510600000.000	-0.005	0.039	0.074
18512600000.000	-0.005	0.041	0.073
18514600000.000	-0.005	0.051	0.076
18516600000.000	-0.005	0.058	0.075
18518600000.000	-0.005	0.057	0.084
18500800000.000	-0.005	0.063	0.071
18502800000.000	-0.005	0.064	0.072
18504800000.000	-0.005	0.055	0.076
18506800000.000	-0.005	0.051	0.077
18508800000.000	-0.005	0.048	0.075
18510800000.000	-0.005	0.041	0.073
18512800000.000	-0.005	0.045	0.076
18514800000.000	-0.005	0.046	0.071
18516800000.000	-0.005	0.053	0.066
18518800000.000	-0.005	0.053	0.067
18501000000.000	-0.005	0.054	0.068
18503000000.000	-0.005	0.050	0.071
18505000000.000	-0.005	0.047	0.062
18507000000.000	-0.005	0.047	0.063
18509000000.000	-0.005	0.043	0.070
18511000000.000	-0.005	0.043	0.075
18513000000.000	-0.005	0.045	0.073
18515000000.000	-0.005	0.054	0.062
18517000000.000	-0.005	0.054	0.071
18519000000.000	-0.005	0.060	0.074
18501200000.000	-0.005	0.062	0.074
18503200000.000	-0.005	0.053	0.075
18505200000.000	-0.005	0.052	0.071
18507200000.000	-0.005	0.053	0.069
18509200000.000	-0.005	0.037	0.069
18511200000.000	-0.005	0.041	0.071
18513200000.000	-0.005	0.043	0.065
18515200000.000	-0.005	0.043	0.064
18517200000.000	-0.005	0.055	0.065
18519200000.000	-0.005	0.042	0.066
18501400000.000	-0.005	0.051	0.060
18503400000.000	-0.005	0.052	0.066
18505400000.000	-0.005	0.053	0.070
18507400000.000	-0.005	0.047	0.073
18509400000.000	-0.005	0.042	0.075
18511400000.000	-0.005	0.050	0.075
18513400000.000	-0.005	0.042	0.074
18515400000.000	-0.005	0.049	0.072
18517400000.000	-0.005	0.051	0.066
18519400000.000	-0.005	0.055	0.080
18501600000.000	-0.005	0.062	0.076
18503600000.000	-0.005	0.055	0.079
18505600000.000	-0.005	0.048	0.064
18507600000.000	-0.005	0.046	0.077
18509600000.000	-0.005	0.037	0.069
18511600000.000	-0.005	0.038	0.074
18513600000.000	-0.005	0.037	0.059
18515600000.000	-0.005	0.046	0.069
18517600000.000	-0.005	0.051	0.067
18519600000.000	-0.005	0.051	0.069
18501800000.000	-0.005	0.060	0.078
18503800000.000	-0.005	0.052	0.072
18505800000.000	-0.005	0.046	0.077
18507800000.000	-0.005	0.047	0.072
18509800000.000	-0.005	0.047	0.069
18511800000.000	-0.005	0.044	0.070
18513800000.000	-0.005	0.047	0.076
18515800000.000	-0.005	0.051	0.074
18517800000.000	-0.005	0.052	0.078
18519800000.000	-0.005	0.057	0.075
