# Scanning the DG535 C output from 1.5 to 3.5 us to characterize where the MW pulse is relative to the Laser Pulses.
# Laser is tuned to 27f in 40 V (6.6 V/cm), slightly blue detuned. MW power shift will push the line red and kill signal.
# Use 18.5105 GHz to the Hittite for Signal, 18.4000 GHz for Reference. Actual Frequencies Doubled by Active Doubler.
# MW Pulsed by mixer, seeing DG 535 pulse from 0-3V, CD on DG535, where D = C + 300 ns.
i	d	b	s	r
136	2.86	0.00967877	0.0614018	0.0530164	
137	2.87	0.00967877	0.0576531	0.0570283	
138	2.88	0.00967877	0.0510763	0.0609415	
139	2.89	0.00967877	0.0459135	0.0468671	
140	2.9	0.00967877	0.0606784	0.056535	
141	2.91	0.00967877	0.0677813	0.0526547	
142	2.92	0.00967877	0.0530164	0.0482483	
143	2.93	0.00967877	0.0512078	0.0395012	
144	2.94	0.00967877	0.062487	0.0522601	
145	2.95	0.00967877	0.0590013	0.0399944	
146	2.96	0.00967877	0.054562	0.0701161	
147	2.97	0.00967877	0.0613689	0.0442036	
148	2.98	0.00967877	0.0583765	0.0480181	
149	2.99	0.00967877	0.0620924	0.0686692	
150	3	0.00967877	0.0630789	0.060514	
151	3.01	0.00967877	0.0409481	0.0560418	
152	3.02	0.00967877	0.0682088	0.0553841	
153	3.03	0.00967877	0.0715629	0.0676826	
154	3.04	0.00967877	0.0531151	0.081757	
155	3.05	0.00967877	0.0662358	0.0844534	
156	3.06	0.00967877	0.0812308	0.0818556	
157	3.07	0.00967877	0.0788632	0.0760023	
158	3.08	0.00967877	0.0839931	0.0923456	
159	3.09	0.00967877	0.105137	0.0914906	
160	3.1	0.00967877	0.0961601	0.101586	
161	3.11	0.00967877	0.0974097	0.103888	
162	3.12	0.00967877	0.109083	0.110169	
163	3.13	0.00967877	0.10152	0.118784	
164	3.14	0.00967877	0.108064	0.125032	
165	3.15	0.00967877	0.114444	0.119935	
166	3.16	0.00967877	0.114674	0.131576	
167	3.17	0.00967877	0.122665	0.127597	
168	3.18	0.00967877	0.115693	0.125427	
169	3.19	0.00967877	0.141671	0.131477	
170	3.2	0.00967877	0.145387	0.137002	
171	3.21	0.00967877	0.141606	0.133746	
172	3.22	0.00967877	0.137758	0.132168	
173	3.23	0.00967877	0.148939	0.144203	
174	3.24	0.00967877	0.144203	0.143151	
175	3.25	0.00967877	0.14986	0.159166	
