# Filename	C:\Users\labuser\Documents\Data\2018-10-30\1_fscan.txt
# Date	2018-10-30-19:20
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 12 dB. Laser just red of 27f in +40 V Top to Bot. MW Pulse from Laser -150 ns to -150 ns. Looking for MW Power Shift.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.011	0.102	0.077
18502000000.000	0.011	0.101	0.098
18504000000.000	0.011	0.115	0.089
18506000000.000	0.011	0.118	0.085
18508000000.000	0.011	0.139	0.095
18510000000.000	0.011	0.195	0.085
18512000000.000	0.011	0.172	0.085
18514000000.000	0.011	0.120	0.098
18516000000.000	0.011	0.107	0.078
18518000000.000	0.011	0.100	0.088
18520000000.000	0.011	0.093	0.080
18500200000.000	0.011	0.086	0.079
18502200000.000	0.011	0.085	0.090
18504200000.000	0.011	0.107	0.080
18506200000.000	0.011	0.122	0.096
18508200000.000	0.011	0.143	0.092
18510200000.000	0.011	0.206	0.093
18512200000.000	0.011	0.171	0.085
18514200000.000	0.011	0.128	0.096
18516200000.000	0.011	0.119	0.085
18518200000.000	0.011	0.109	0.098
18500400000.000	0.011	0.095	0.087
18502400000.000	0.011	0.095	0.091
18504400000.000	0.011	0.104	0.083
18506400000.000	0.011	0.106	0.086
18508400000.000	0.011	0.151	0.100
18510400000.000	0.011	0.198	0.093
18512400000.000	0.011	0.149	0.085
18514400000.000	0.011	0.108	0.089
18516400000.000	0.011	0.101	0.092
18518400000.000	0.011	0.105	0.082
18500600000.000	0.011	0.093	0.087
18502600000.000	0.011	0.099	0.099
18504600000.000	0.011	0.098	0.104
18506600000.000	0.011	0.130	0.092
18508600000.000	0.011	0.169	0.093
18510600000.000	0.011	0.204	0.098
18512600000.000	0.011	0.147	0.092
18514600000.000	0.011	0.110	0.090
18516600000.000	0.011	0.106	0.093
18518600000.000	0.011	0.092	0.092
18500800000.000	0.011	0.088	0.093
18502800000.000	0.011	0.091	0.082
18504800000.000	0.011	0.094	0.089
18506800000.000	0.011	0.117	0.086
18508800000.000	0.011	0.161	0.096
18510800000.000	0.011	0.188	0.089
18512800000.000	0.011	0.149	0.096
18514800000.000	0.011	0.112	0.099
18516800000.000	0.011	0.097	0.089
18518800000.000	0.011	0.087	0.086
18501000000.000	0.011	0.099	0.096
18503000000.000	0.011	0.096	0.086
18505000000.000	0.011	0.108	0.091
18507000000.000	0.011	0.124	0.105
18509000000.000	0.011	0.175	0.090
18511000000.000	0.011	0.206	0.095
18513000000.000	0.011	0.132	0.090
18515000000.000	0.011	0.105	0.078
18517000000.000	0.011	0.107	0.085
18519000000.000	0.011	0.079	0.081
18501200000.000	0.011	0.106	0.086
18503200000.000	0.011	0.099	0.086
18505200000.000	0.011	0.103	0.089
18507200000.000	0.011	0.120	0.094
18509200000.000	0.011	0.175	0.103
18511200000.000	0.011	0.176	0.080
18513200000.000	0.011	0.136	0.088
18515200000.000	0.011	0.105	0.090
18517200000.000	0.011	0.101	0.095
18519200000.000	0.011	0.097	0.090
18501400000.000	0.011	0.097	0.089
18503400000.000	0.011	0.098	0.085
18505400000.000	0.011	0.102	0.080
18507400000.000	0.011	0.120	0.083
18509400000.000	0.011	0.163	0.086
18511400000.000	0.011	0.199	0.088
18513400000.000	0.011	0.112	0.088
18515400000.000	0.011	0.113	0.083
18517400000.000	0.011	0.105	0.090
18519400000.000	0.011	0.085	0.079
18501600000.000	0.011	0.080	0.092
18503600000.000	0.011	0.099	0.079
18505600000.000	0.011	0.104	0.085
18507600000.000	0.011	0.117	0.088
18509600000.000	0.011	0.176	0.084
18511600000.000	0.011	0.183	0.099
18513600000.000	0.011	0.121	0.078
18515600000.000	0.011	0.112	0.084
18517600000.000	0.011	0.095	0.084
18519600000.000	0.011	0.087	0.079
18501800000.000	0.011	0.096	0.094
18503800000.000	0.011	0.091	0.092
18505800000.000	0.011	0.108	0.092
18507800000.000	0.011	0.124	0.101
18509800000.000	0.011	0.184	0.081
18511800000.000	0.011	0.171	0.081
18513800000.000	0.011	0.112	0.085
18515800000.000	0.011	0.100	0.084
18517800000.000	0.011	0.087	0.087
18519800000.000	0.011	0.102	0.085
