# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. SFIP with 150 VDC (Max before failure). Short (250 ns) integration gate.
# Type:	Frequency
# Hittite Freq:	NaN
# Hittite: Power	NaN
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	98.98	-0.0767022	-0.0773632	0.0189487	0.0185541	
1	98.68	-0.0767022	-0.0773632	0.0182582	0.0185541	
2	98.48	-0.0767022	-0.0773632	0.0151671	0.0185541	
3	97.98	-0.0767022	-0.0773632	0.0149369	0.0185541	
4	97.58	-0.0767022	-0.0773632	0.0186857	0.0185541	
5	97.48	-0.0767022	-0.0773632	0.0181595	0.0185541	
6	97.38	-0.0767022	-0.0773632	0.0169428	0.0185541	
7	96.68	-0.0767022	-0.0773632	0.0148711	0.0185541	
8	96.78	-0.0767022	-0.0773632	0.0167126	0.0185541	
9	96.48	-0.0767022	-0.0773632	0.0168442	0.0185541	
10	95.78	-0.0767022	-0.0773632	0.014904	0.0185541	
11	95.58	-0.0767022	-0.0773632	0.0164496	0.0185541	
12	95.28	-0.0767022	-0.0773632	0.0193762	0.0185541	
13	94.98	-0.0767022	-0.0773632	0.014345	0.0185541	
14	94.58	-0.0767022	-0.0773632	0.0175676	0.0185541	
15	94.28	-0.0767022	-0.0773632	0.0162851	0.0185541	
16	93.48	-0.0767022	-0.0773632	0.0145752	0.0185541	
17	93.18	-0.0767022	-0.0773632	0.0142792	0.0185541	
18	92.68	-0.0767022	-0.0773632	0.0158905	0.0185541	
19	92.28	-0.0767022	-0.0773632	0.0173045	0.0185541	
20	91.68	-0.0767022	-0.0773632	0.0159234	0.0185541	
21	91.28	-0.0767022	-0.0773632	0.018883	0.0185541	
22	90.68	-0.0767022	-0.0773632	0.0169428	0.0185541	
23	89.98	-0.0767022	-0.0773632	0.0197708	0.0185541	
24	89.28	-0.0767022	-0.0773632	0.0141148	0.0185541	
25	88.88	-0.0767022	-0.0773632	0.0165482	0.0185541	
26	88.28	-0.0767022	-0.0773632	0.0217767	0.0185541	
27	87.58	-0.0767022	-0.0773632	0.0171072	0.0185541	
28	86.88	-0.0767022	-0.0773632	0.0201326	0.0185541	
29	86.18	-0.0767022	-0.0773632	0.0161207	0.0185541	
30	85.18	-0.0767022	-0.0773632	0.0161536	0.0185541	
31	84.38	-0.0767022	-0.0773632	0.0177978	0.0185541	
32	83.48	-0.0767022	-0.0773632	0.0187185	0.0185541	
33	82.98	-0.0767022	-0.0773632	0.0186857	0.0185541	
34	82.58	-0.0767022	-0.0773632	0.0159892	0.0185541	
35	81.68	-0.0767022	-0.0773632	0.0170415	0.0185541	
36	80.68	-0.0767022	-0.0773632	0.0161865	0.0185541	
37	79.98	-0.0767022	-0.0773632	0.0181924	0.0185541	
38	79.18	-0.0767022	-0.0773632	0.0158576	0.0185541	
39	78.28	-0.0767022	-0.0773632	0.0157919	0.0185541	
40	77.98	-0.0767022	-0.0773632	0.0190803	0.0185541	
41	76.68	-0.0767022	-0.0773632	0.0172388	0.0185541	
42	75.18	-0.0767022	-0.0773632	0.0181595	0.0185541	
43	74.68	-0.0767022	-0.0773632	0.0186857	0.0185541	
44	73.88	-0.0767022	-0.0773632	0.0148054	0.0185541	
45	73.38	-0.0767022	-0.0773632	0.0200997	0.0185541	
46	72.08	-0.0767022	-0.0773632	0.0193105	0.0185541	
47	71.38	-0.0767022	-0.0773632	0.021415	0.0185541	
48	70.58	-0.0767022	-0.0773632	0.0187185	0.0185541	
49	69.78	-0.0767022	-0.0773632	0.0201326	0.0185541	
50	68.68	-0.0767022	-0.0773632	0.0181266	0.0185541	
51	67.68	-0.0767022	-0.0773632	0.0163509	0.0185541	
52	66.88	-0.0767022	-0.0773632	0.0144108	0.0185541	
53	66.18	-0.0767022	-0.0773632	0.0162851	0.0185541	
54	65.08	-0.0767022	-0.0773632	0.0179951	0.0185541	
55	64.58	-0.0767022	-0.0773632	0.0172388	0.0185541	
56	64.08	-0.0767022	-0.0773632	0.0172059	0.0185541	
57	63.08	-0.0767022	-0.0773632	0.0174361	0.0185541	
58	62.18	-0.0767022	-0.0773632	0.0187185	0.0185541	
59	61.48	-0.0767022	-0.0773632	0.0182911	0.0185541	
60	60.78	-0.0767022	-0.0773632	0.0190474	0.0185541	
61	59.98	-0.0767022	-0.0773632	0.0190474	0.0185541	
62	58.88	-0.0767022	-0.0773632	0.0151342	0.0185541	
63	58.48	-0.0767022	-0.0773632	0.0132269	0.0185541	
64	57.08	-0.0767022	-0.0773632	0.0176334	0.0185541	
65	56.28	-0.0767022	-0.0773632	0.0143779	0.0185541	
66	55.88	-0.0767022	-0.0773632	0.0124706	0.0185541	
67	54.88	-0.0767022	-0.0773632	0.0161207	0.0185541	
68	53.68	-0.0767022	-0.0773632	0.0158905	0.0185541	
69	52.38	-0.0767022	-0.0773632	0.0114512	0.0185541	
70	51.38	-0.0767022	-0.0773632	0.0188501	0.0185541	
71	50.58	-0.0767022	-0.0773632	0.016055	0.0185541	
72	49.88	-0.0767022	-0.0773632	0.0180938	0.0185541	
73	49.28	-0.0767022	-0.0773632	0.0181924	0.0185541	
74	48.38	-0.0767022	-0.0773632	0.0165811	0.0185541	
75	47.38	-0.0767022	-0.0773632	0.0176334	0.0185541	
76	46.58	-0.0767022	-0.0773632	0.0129968	0.0185541	
77	45.38	-0.0767022	-0.0773632	0.0186528	0.0185541	
78	44.88	-0.0767022	-0.0773632	0.0168442	0.0185541	
79	44.28	-0.0767022	-0.0773632	0.0148711	0.0185541	
80	43.38	-0.0767022	-0.0773632	0.0144436	0.0185541	
81	42.58	-0.0767022	-0.0773632	0.0160221	0.0185541	
82	41.98	-0.0767022	-0.0773632	0.0195078	0.0185541	
83	40.88	-0.0767022	-0.0773632	0.0175018	0.0185541	
84	40.38	-0.0767022	-0.0773632	0.0177978	0.0185541	
85	39.68	-0.0767022	-0.0773632	0.0193433	0.0185541	
86	39.08	-0.0767022	-0.0773632	0.0199024	0.0185541	
87	37.98	-0.0767022	-0.0773632	0.0191789	0.0185541	
88	36.98	-0.0767022	-0.0773632	0.0180609	0.0185541	
89	36.58	-0.0767022	-0.0773632	0.0189487	0.0185541	
90	35.18	-0.0767022	-0.0773632	0.0189159	0.0185541	
91	34.28	-0.0767022	-0.0773632	0.0193105	0.0185541	
92	33.88	-0.0767022	-0.0773632	0.0181924	0.0185541	
93	33.18	-0.0767022	-0.0773632	0.0215794	0.0185541	
94	32.28	-0.0767022	-0.0773632	0.0172717	0.0185541	
95	31.38	-0.0767022	-0.0773632	0.0223358	0.0185541	
96	30.78	-0.0767022	-0.0773632	0.0201654	0.0185541	
97	30.18	-0.0767022	-0.0773632	0.0181595	0.0185541	
98	29.38	-0.0767022	-0.0773632	0.0178307	0.0185541	
99	28.98	-0.0767022	-0.0773632	0.0211848	0.0185541	
100	27.78	-0.0767022	-0.0773632	0.0157919	0.0185541	
101	27.38	-0.0767022	-0.0773632	0.0203956	0.0185541	
102	26.28	-0.0767022	-0.0773632	0.0163838	0.0185541	
103	25.58	-0.0767022	-0.0773632	0.0191132	0.0185541	
104	24.68	-0.0767022	-0.0773632	0.0219083	0.0185541	
105	23.98	-0.0767022	-0.0773632	0.0188172	0.0185541	
106	22.78	-0.0767022	-0.0773632	0.0182582	0.0185541	
107	22.18	-0.0767022	-0.0773632	0.0182911	0.0185541	
108	21.38	-0.0767022	-0.0773632	0.0183568	0.0185541	
109	20.58	-0.0767022	-0.0773632	0.015463	0.0185541	
110	19.28	-0.0767022	-0.0773632	0.0173374	0.0185541	
111	18.68	-0.0767022	-0.0773632	0.0144108	0.0185541	
112	17.48	-0.0767022	-0.0773632	0.0200668	0.0185541	
113	16.98	-0.0767022	-0.0773632	0.0149698	0.0185541	
114	15.98	-0.0767022	-0.0773632	0.0161207	0.0185541	
115	15.18	-0.0767022	-0.0773632	0.0192776	0.0185541	
116	14.38	-0.0767022	-0.0773632	0.0186528	0.0185541	
117	13.88	-0.0767022	-0.0773632	0.014904	0.0185541	
118	12.68	-0.0767022	-0.0773632	0.0195735	0.0185541	
119	11.68	-0.0767022	-0.0773632	0.0216452	0.0185541	
120	10.88	-0.0767022	-0.0773632	0.019146	0.0185541	
121	9.78	-0.0767022	-0.0773632	0.0187514	0.0185541	
122	9.08	-0.0767022	-0.0773632	0.0200668	0.0185541	
123	7.88	-0.0767022	-0.0773632	0.0189487	0.0185541	
124	6.58	-0.0767022	-0.0773632	0.0181595	0.0185541	
125	5.78	-0.0767022	-0.0773632	0.016318	0.0185541	
126	3.98	-0.0767022	-0.0773632	0.0169099	0.0185541	
127	3.58	-0.0767022	-0.0773632	0.0193105	0.0185541	
128	2.58	-0.0767022	-0.0773632	0.0184226	0.0185541	
129	1.58	-0.0767022	-0.0773632	0.0142792	0.0185541	
130	0.58	-0.0767022	-0.0773632	0.0217439	0.0185541	
131	-0.52	-0.0767022	-0.0773632	0.0208889	0.0185541	
132	-1.52	-0.0767022	-0.0773632	0.0195406	0.0185541	
133	-2.42	-0.0767022	-0.0773632	0.0179622	0.0185541	
134	-2.92	-0.0767022	-0.0773632	0.0159234	0.0185541	
135	-3.92	-0.0767022	-0.0773632	0.0184555	0.0185541	
136	-4.92	-0.0767022	-0.0773632	0.0171401	0.0185541	
137	-5.52	-0.0767022	-0.0773632	0.017732	0.0185541	
138	-6.42	-0.0767022	-0.0773632	0.0171401	0.0185541	
139	-7.32	-0.0767022	-0.0773632	0.0162851	0.0185541	
140	-8.02	-0.0767022	-0.0773632	0.0184884	0.0185541	
141	-8.72	-0.0767022	-0.0773632	0.0203299	0.0185541	
142	-9.72	-0.0767022	-0.0773632	0.016614	0.0185541	
143	-10.32	-0.0767022	-0.0773632	0.0184884	0.0185541	
144	-11.32	-0.0767022	-0.0773632	0.0171072	0.0185541	
145	-11.92	-0.0767022	-0.0773632	0.0151342	0.0185541	
146	-12.62	-0.0767022	-0.0773632	0.0219083	0.0185541	
147	-13.32	-0.0767022	-0.0773632	0.0196722	0.0185541	
148	-14.52	-0.0767022	-0.0773632	0.0190474	0.0185541	
149	-15.02	-0.0767022	-0.0773632	0.0187514	0.0185541	
150	-15.92	-0.0767022	-0.0773632	0.020856	0.0185541	
151	-17.12	-0.0767022	-0.0773632	0.0207573	0.0185541	
152	-18.02	-0.0767022	-0.0773632	0.0176991	0.0185541	
153	-18.72	-0.0767022	-0.0773632	0.0209547	0.0185541	
154	-19.52	-0.0767022	-0.0773632	0.0193433	0.0185541	
155	-20.32	-0.0767022	-0.0773632	0.0207902	0.0185541	
156	-21.02	-0.0767022	-0.0773632	0.0224015	0.0185541	
157	-22.12	-0.0767022	-0.0773632	0.0150027	0.0185541	
158	-22.92	-0.0767022	-0.0773632	0.0156275	0.0185541	
159	-23.62	-0.0767022	-0.0773632	0.0179293	0.0185541	
160	-24.42	-0.0767022	-0.0773632	0.0184226	0.0185541	
161	-24.92	-0.0767022	-0.0773632	0.0211848	0.0185541	
162	-26.02	-0.0767022	-0.0773632	0.0180938	0.0185541	
163	-26.82	-0.0767022	-0.0773632	0.0213164	0.0185541	
164	-27.12	-0.0767022	-0.0773632	0.0178965	0.0185541	
165	-28.52	-0.0767022	-0.0773632	0.0198037	0.0185541	
166	-29.32	-0.0767022	-0.0773632	0.0244732	0.0185541	
167	-29.92	-0.0767022	-0.0773632	0.0218096	0.0185541	
168	-31.02	-0.0767022	-0.0773632	0.0235854	0.0185541	
169	-31.92	-0.0767022	-0.0773632	0.0264134	0.0185541	
170	-32.52	-0.0767022	-0.0773632	0.0247034	0.0185541	
171	-33.32	-0.0767022	-0.0773632	0.0278274	0.0185541	
172	-33.82	-0.0767022	-0.0773632	0.0220727	0.0185541	
173	-35.32	-0.0767022	-0.0773632	0.0285508	0.0185541	
174	-36.02	-0.0767022	-0.0773632	0.0269066	0.0185541	
175	-36.52	-0.0767022	-0.0773632	0.0302608	0.0185541	
176	-37.22	-0.0767022	-0.0773632	0.0306554	0.0185541	
177	-37.82	-0.0767022	-0.0773632	0.0327928	0.0185541	
178	-38.72	-0.0767022	-0.0773632	0.0299977	0.0185541	
179	-39.32	-0.0767022	-0.0773632	0.0307869	0.0185541	
180	-40.02	-0.0767022	-0.0773632	0.0303594	0.0185541	
181	-40.72	-0.0767022	-0.0773632	0.0356537	0.0185541	
182	-42.02	-0.0767022	-0.0773632	0.0346672	0.0185541	
183	-42.42	-0.0767022	-0.0773632	0.0337794	0.0185541	
184	-42.92	-0.0767022	-0.0773632	0.0393696	0.0185541	
185	-44.32	-0.0767022	-0.0773632	0.0347659	0.0185541	
186	-45.12	-0.0767022	-0.0773632	0.0374624	0.0185541	
187	-45.72	-0.0767022	-0.0773632	0.0421648	0.0185541	
188	-46.82	-0.0767022	-0.0773632	0.0354893	0.0185541	
189	-47.42	-0.0767022	-0.0773632	0.0381858	0.0185541	
190	-48.32	-0.0767022	-0.0773632	0.0360812	0.0185541	
191	-49.12	-0.0767022	-0.0773632	0.0395012	0.0185541	
192	-50.02	-0.0767022	-0.0773632	0.0430855	0.0185541	
