# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. Using AWG with a -9V pulse applied to bottom plate.
# Type:	Frequency
# Hittite Freq:	NaN
# Hittite: Power	NaN
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	97.68	0.0818079	0.0825906	0.0047429	0.00192146	
1	97.48	0.0818079	0.0825906	0.00191489	0.00192146	
2	97.38	0.0818079	0.0825906	0.00451271	0.00192146	
3	97.28	0.0818079	0.0825906	0.00438118	0.00192146	
4	97.68	0.0818079	0.0825906	0.00507174	0.00192146	
5	97.28	0.0818079	0.0825906	0.005565	0.00192146	
6	97.28	0.0818079	0.0825906	0.00438118	0.00192146	
7	97.08	0.0818079	0.0825906	-0.0030177	0.00192146	
8	96.98	0.0818079	0.0825906	0.00536769	0.00192146	
9	96.88	0.0818079	0.0825906	0.00612402	0.00192146	
10	96.88	0.0818079	0.0825906	0.00490732	0.00192146	
11	96.78	0.0818079	0.0825906	0.00681458	0.00192146	
12	96.48	0.0818079	0.0825906	0.0049402	0.00192146	
13	96.28	0.0818079	0.0825906	0.00924799	0.00192146	
14	96.58	0.0818079	0.0825906	0.00263833	0.00192146	
15	96.28	0.0818079	0.0825906	0.00569653	0.00192146	
16	96.38	0.0818079	0.0825906	0.00398657	0.00192146	
17	96.18	0.0818079	0.0825906	0.00142163	0.00192146	
18	95.98	0.0818079	0.0825906	0.00276987	0.00192146	
19	95.88	0.0818079	0.0825906	0.00217796	0.00192146	
20	95.78	0.0818079	0.0825906	0.001882	0.00192146	
21	95.78	0.0818079	0.0825906	0.00566365	0.00192146	
22	95.68	0.0818079	0.0825906	0.00319736	0.00192146	
23	95.48	0.0818079	0.0825906	0.00276987	0.00192146	
24	95.38	0.0818079	0.0825906	0.00323024	0.00192146	
25	95.28	0.0818079	0.0825906	0.00487443	0.00192146	
26	95.08	0.0818079	0.0825906	0.00645286	0.00192146	
27	94.78	0.0818079	0.0825906	0.00540058	0.00192146	
28	94.68	0.0818079	0.0825906	0.00017204	0.00192146	
29	94.58	0.0818079	0.0825906	0.00628844	0.00192146	
30	94.38	0.0818079	0.0825906	0.00184912	0.00192146	
31	94.08	0.0818079	0.0825906	0.0035262	0.00192146	
32	94.18	0.0818079	0.0825906	0.0057623	0.00192146	
33	94.08	0.0818079	0.0825906	0.0065844	0.00192146	
34	93.68	0.0818079	0.0825906	0.00434829	0.00192146	
35	93.48	0.0818079	0.0825906	0.00431541	0.00192146	
36	93.28	0.0818079	0.0825906	0.00257256	0.00192146	
37	93.18	0.0818079	0.0825906	0.00303294	0.00192146	
38	92.88	0.0818079	0.0825906	7.33882E-5	0.00192146	
39	92.88	0.0818079	0.0825906	0.00415099	0.00192146	
40	92.68	0.0818079	0.0825906	0.005565	0.00192146	
41	92.58	0.0818079	0.0825906	0.0030987	0.00192146	
42	92.38	0.0818079	0.0825906	0.00536769	0.00192146	
43	92.18	0.0818079	0.0825906	-0.00209695	0.00192146	
44	91.88	0.0818079	0.0825906	0.00102702	0.00192146	
45	91.98	0.0818079	0.0825906	-0.00249155	0.00192146	
46	91.68	0.0818079	0.0825906	0.00326312	0.00192146	
47	91.28	0.0818079	0.0825906	0.0030987	0.00192146	
48	91.08	0.0818079	0.0825906	-0.00166946	0.00192146	
49	90.98	0.0818079	0.0825906	0.0037235	0.00192146	
50	90.68	0.0818079	0.0825906	0.00457848	0.00192146	
51	90.38	0.0818079	0.0825906	0.00342754	0.00192146	
52	90.18	0.0818079	0.0825906	0.00158605	0.00192146	
53	89.88	0.0818079	0.0825906	0.00671593	0.00192146	
54	89.78	0.0818079	0.0825906	0.00201354	0.00192146	
55	89.38	0.0818079	0.0825906	0.0035262	0.00192146	
56	89.18	0.0818079	0.0825906	0.006979	0.00192146	
57	88.78	0.0818079	0.0825906	0.0035262	0.00192146	
58	88.98	0.0818079	0.0825906	0.00260545	0.00192146	
59	88.58	0.0818079	0.0825906	0.00204642	0.00192146	
60	88.48	0.0818079	0.0825906	0.000204924	0.00192146	
61	88.08	0.0818079	0.0825906	0.00129009	0.00192146	
62	87.28	0.0818079	0.0825906	0.00244103	0.00192146	
63	87.48	0.0818079	0.0825906	0.0030987	0.00192146	
64	87.28	0.0818079	0.0825906	0.0059596	0.00192146	
65	86.88	0.0818079	0.0825906	0.00211219	0.00192146	
66	86.68	0.0818079	0.0825906	0.000566646	0.00192146	
67	86.48	0.0818079	0.0825906	0.00421676	0.00192146	
68	86.28	0.0818079	0.0825906	0.00346043	0.00192146	
69	86.08	0.0818079	0.0825906	7.62044E-6	0.00192146	
70	85.58	0.0818079	0.0825906	0.000139156	0.00192146	
71	85.48	0.0818079	0.0825906	0.00132298	0.00192146	
72	85.18	0.0818079	0.0825906	0.00434829	0.00192146	
73	84.98	0.0818079	0.0825906	-0.000156799	0.00192146	
74	84.58	0.0818079	0.0825906	0.00142163	0.00192146	
75	84.28	0.0818079	0.0825906	0.00135586	0.00192146	
76	84.08	0.0818079	0.0825906	-0.00216272	0.00192146	
77	83.58	0.0818079	0.0825906	-0.00212983	0.00192146	
78	83.48	0.0818079	0.0825906	0.00257256	0.00192146	
79	83.38	0.0818079	0.0825906	-0.00344519	0.00192146	
80	83.08	0.0818079	0.0825906	-0.00370826	0.00192146	
81	82.78	0.0818079	0.0825906	0.00171758	0.00192146	
82	82.58	0.0818079	0.0825906	0.000566646	0.00192146	
83	82.38	0.0818079	0.0825906	0.00280275	0.00192146	
84	82.08	0.0818079	0.0825906	0.000303575	0.00192146	
85	81.78	0.0818079	0.0825906	0.00181623	0.00192146	
86	81.48	0.0818079	0.0825906	-0.00170234	0.00192146	
87	81.08	0.0818079	0.0825906	0.00497309	0.00192146	
88	80.88	0.0818079	0.0825906	-0.000880244	0.00192146	
89	80.58	0.0818079	0.0825906	0.00306582	0.00192146	
90	80.28	0.0818079	0.0825906	0.000928369	0.00192146	
91	79.88	0.0818079	0.0825906	-0.000946012	0.00192146	
92	79.58	0.0818079	0.0825906	0.00296717	0.00192146	
93	79.58	0.0818079	0.0825906	-0.000288334	0.00192146	
94	79.48	0.0818079	0.0825906	0.00132298	0.00192146	
95	79.08	0.0818079	0.0825906	0.00227661	0.00192146	
96	78.68	0.0818079	0.0825906	0.00267121	0.00192146	
97	78.48	0.0818079	0.0825906	0.00214507	0.00192146	
98	78.08	0.0818079	0.0825906	0.0010599	0.00192146	
99	77.48	0.0818079	0.0825906	0.00152028	0.00192146	
100	77.18	0.0818079	0.0825906	0.00280275	0.00192146	
101	76.98	0.0818079	0.0825906	-0.00041987	0.00192146	
102	76.78	0.0818079	0.0825906	-0.000551405	0.00192146	
103	76.38	0.0818079	0.0825906	-5.81473E-5	0.00192146	
104	76.18	0.0818079	0.0825906	0.00145451	0.00192146	
105	75.68	0.0818079	0.0825906	0.0010599	0.00192146	
106	75.28	0.0818079	0.0825906	0.000303575	0.00192146	
107	74.98	0.0818079	0.0825906	0.000895485	0.00192146	
108	74.48	0.0818079	0.0825906	-0.000551405	0.00192146	
109	74.38	0.0818079	0.0825906	0.000369343	0.00192146	
110	73.98	0.0818079	0.0825906	0.00119144	0.00192146	
111	73.88	0.0818079	0.0825906	0.00102702	0.00192146	
112	73.48	0.0818079	0.0825906	0.00480867	0.00192146	
113	73.08	0.0818079	0.0825906	0.00300005	0.00192146	
114	72.58	0.0818079	0.0825906	-0.000978896	0.00192146	
115	72.28	0.0818079	0.0825906	0.00184912	0.00192146	
116	71.88	0.0818079	0.0825906	0.00112567	0.00192146	
117	71.48	0.0818079	0.0825906	0.000237808	0.00192146	
118	71.28	0.0818079	0.0825906	0.001882	0.00192146	
119	70.88	0.0818079	0.0825906	0.00194777	0.00192146	
120	70.78	0.0818079	0.0825906	-0.000682941	0.00192146	
121	70.38	0.0818079	0.0825906	0.00349331	0.00192146	
122	69.88	0.0818079	0.0825906	0.00263833	0.00192146	
123	69.48	0.0818079	0.0825906	-0.00134062	0.00192146	
