# Delay scan
# MW at 19 dB, 18.5112 GHz x2, 18.6 dB
# Laser at 365897 GHz, 1st Resonance.
# PM at 3.0 (28.5 dB)
# 80 mV static
i	d	s	sb	n	nb
4782.000	76087.000	0.047	-0.023	-0.205	0.153
4781.000	76097.000	0.063	-0.023	-0.205	0.153
4780.000	76107.000	0.065	-0.023	-0.205	0.153
4779.000	76117.000	0.066	-0.023	-0.205	0.153
4778.000	76127.000	0.054	-0.023	-0.205	0.153
4777.000	76137.000	0.051	-0.023	-0.205	0.153
4776.000	76147.000	0.049	-0.023	-0.205	0.153
4775.000	76157.000	0.049	-0.023	-0.205	0.153
4774.000	76167.000	0.053	-0.023	-0.205	0.153
4773.000	76177.000	0.051	-0.023	-0.205	0.153
4772.000	76187.000	0.066	-0.023	-0.205	0.153
4771.000	76197.000	0.077	-0.023	-0.205	0.153
4770.000	76207.000	0.082	-0.023	-0.205	0.153
4769.000	76217.000	0.078	-0.023	-0.205	0.153
4768.000	76227.000	0.074	-0.023	-0.205	0.153
4767.000	76237.000	0.054	-0.023	-0.205	0.153
4766.000	76247.000	0.059	-0.023	-0.205	0.153
4765.000	76257.000	0.061	-0.023	-0.205	0.153
4764.000	76267.000	0.039	-0.023	-0.205	0.153
4763.000	76277.000	0.031	-0.023	-0.205	0.153
4762.000	76287.000	0.058	-0.023	-0.205	0.153
4761.000	76297.000	0.052	-0.023	-0.205	0.153
4760.000	76307.000	0.042	-0.023	-0.205	0.153
4759.000	76317.000	0.051	-0.023	-0.205	0.153
4758.000	76327.000	0.065	-0.023	-0.205	0.153
4757.000	76337.000	0.065	-0.023	-0.205	0.153
4756.000	76347.000	0.075	-0.023	-0.205	0.153
4755.000	76357.000	0.078	-0.023	-0.205	0.153
4754.000	76367.000	0.058	-0.023	-0.205	0.153
4753.000	76377.000	0.055	-0.023	-0.205	0.153
4752.000	76387.000	0.066	-0.023	-0.205	0.153
4751.000	76397.000	0.043	-0.023	-0.205	0.153
4750.000	76407.000	0.054	-0.023	-0.205	0.153
4749.000	76417.000	0.053	-0.023	-0.205	0.153
4748.000	76427.000	0.063	-0.023	-0.205	0.153
4747.000	76437.000	0.076	-0.023	-0.205	0.153
4746.000	76447.000	0.057	-0.023	-0.205	0.153
4745.000	76457.000	0.055	-0.023	-0.205	0.153
4744.000	76467.000	0.058	-0.023	-0.205	0.153
4743.000	76477.000	0.052	-0.023	-0.205	0.153
4742.000	76487.000	0.053	-0.023	-0.205	0.153
4741.000	76497.000	0.054	-0.023	-0.205	0.153
4740.000	76507.000	0.056	-0.023	-0.205	0.153
4739.000	76517.000	0.054	-0.023	-0.205	0.153
4738.000	76527.000	0.053	-0.023	-0.205	0.153
4737.000	76537.000	0.045	-0.023	-0.205	0.153
4736.000	76547.000	0.050	-0.023	-0.205	0.153
4735.000	76557.000	0.049	-0.023	-0.205	0.153
4734.000	76567.000	0.042	-0.023	-0.205	0.153
4733.000	76577.000	0.058	-0.023	-0.205	0.153
4732.000	76587.000	0.059	-0.023	-0.205	0.153
4731.000	76597.000	0.060	-0.023	-0.205	0.153
4730.000	76607.000	0.076	-0.023	-0.205	0.153
4729.000	76617.000	0.080	-0.023	-0.205	0.153
4728.000	76627.000	0.065	-0.023	-0.205	0.153
4727.000	76637.000	0.061	-0.023	-0.205	0.153
4726.000	76647.000	0.056	-0.023	-0.205	0.153
4725.000	76657.000	0.046	-0.023	-0.205	0.153
4724.000	76667.000	0.043	-0.023	-0.205	0.153
4723.000	76677.000	0.041	-0.023	-0.205	0.153
4722.000	76687.000	0.045	-0.023	-0.205	0.153
4721.000	76697.000	0.056	-0.023	-0.205	0.153
4720.000	76707.000	0.067	-0.023	-0.205	0.153
4719.000	76717.000	0.056	-0.023	-0.205	0.153
4718.000	76727.000	0.064	-0.023	-0.205	0.153
4717.000	76737.000	0.056	-0.023	-0.205	0.153
4716.000	76747.000	0.049	-0.023	-0.205	0.153
4715.000	76757.000	0.055	-0.023	-0.205	0.153
4714.000	76767.000	0.047	-0.023	-0.205	0.153
4713.000	76777.000	0.045	-0.023	-0.205	0.153
4712.000	76787.000	0.044	-0.023	-0.205	0.153
4711.000	76797.000	0.042	-0.023	-0.205	0.153
4710.000	76807.000	0.060	-0.023	-0.205	0.153
4709.000	76817.000	0.072	-0.023	-0.205	0.153
4708.000	76827.000	0.074	-0.023	-0.205	0.153
4707.000	76837.000	0.057	-0.023	-0.205	0.153
4706.000	76847.000	0.051	-0.023	-0.205	0.153
4705.000	76857.000	0.050	-0.023	-0.205	0.153
4704.000	76867.000	0.074	-0.023	-0.205	0.153
4703.000	76877.000	0.063	-0.023	-0.205	0.153
4702.000	76887.000	0.057	-0.023	-0.205	0.153
4701.000	76897.000	0.078	-0.023	-0.205	0.153
4700.000	76907.000	0.072	-0.023	-0.205	0.153
4699.000	76917.000	0.058	-0.023	-0.205	0.153
4698.000	76927.000	0.059	-0.023	-0.205	0.153
4697.000	76937.000	0.049	-0.023	-0.205	0.153
4696.000	76947.000	0.052	-0.023	-0.205	0.153
4695.000	76957.000	0.053	-0.023	-0.205	0.153
4694.000	76967.000	0.056	-0.023	-0.205	0.153
4693.000	76977.000	0.058	-0.023	-0.205	0.153
4692.000	76987.000	0.055	-0.023	-0.205	0.153
4691.000	76997.000	0.056	-0.023	-0.205	0.153
4690.000	77007.000	0.064	-0.023	-0.205	0.153
4689.000	77017.000	0.088	-0.023	-0.205	0.153
4688.000	77027.000	0.054	-0.023	-0.205	0.153
4687.000	77037.000	0.046	-0.023	-0.205	0.153
4686.000	77047.000	0.055	-0.023	-0.205	0.153
4685.000	77057.000	0.049	-0.023	-0.205	0.153
4684.000	77067.000	0.051	-0.023	-0.205	0.153
4683.000	77077.000	0.056	-0.023	-0.205	0.153
4682.000	77087.000	0.053	-0.023	-0.205	0.153
4681.000	77097.000	0.067	-0.023	-0.205	0.153
4680.000	77107.000	0.066	-0.023	-0.205	0.153
4679.000	77117.000	0.056	-0.023	-0.205	0.153
4678.000	77127.000	0.057	-0.023	-0.205	0.153
4677.000	77137.000	0.053	-0.023	-0.205	0.153
4676.000	77147.000	0.067	-0.023	-0.205	0.153
4675.000	77157.000	0.064	-0.023	-0.205	0.153
4674.000	77167.000	0.050	-0.023	-0.205	0.153
4673.000	77177.000	0.054	-0.023	-0.205	0.153
4672.000	77187.000	0.055	-0.023	-0.205	0.153
4671.000	77197.000	0.052	-0.023	-0.205	0.153
4670.000	77207.000	0.053	-0.023	-0.205	0.153
4669.000	77217.000	0.050	-0.023	-0.205	0.153
4668.000	77227.000	0.048	-0.023	-0.205	0.153
4667.000	77237.000	0.052	-0.023	-0.205	0.153
4666.000	77247.000	0.054	-0.023	-0.205	0.153
4665.000	77257.000	0.049	-0.023	-0.205	0.153
4664.000	77267.000	0.037	-0.023	-0.205	0.153
4663.000	77277.000	0.030	-0.023	-0.205	0.153
4662.000	77287.000	0.029	-0.023	-0.205	0.153
4661.000	77297.000	0.028	-0.023	-0.205	0.153
4660.000	77307.000	0.045	-0.023	-0.205	0.153
4659.000	77317.000	0.053	-0.023	-0.205	0.153
4658.000	77327.000	0.053	-0.023	-0.205	0.153
4657.000	77337.000	0.043	-0.023	-0.205	0.153
4656.000	77347.000	0.060	-0.023	-0.205	0.153
4655.000	77357.000	0.059	-0.023	-0.205	0.153
4654.000	77367.000	0.062	-0.023	-0.205	0.153
4653.000	77377.000	0.068	-0.023	-0.205	0.153
4652.000	77387.000	0.065	-0.023	-0.205	0.153
4651.000	77397.000	0.061	-0.023	-0.205	0.153
4650.000	77407.000	0.069	-0.023	-0.205	0.153
4649.000	77417.000	0.076	-0.023	-0.205	0.153
4648.000	77427.000	0.075	-0.023	-0.205	0.153
4647.000	77437.000	0.068	-0.023	-0.205	0.153
4646.000	77447.000	0.058	-0.023	-0.205	0.153
4645.000	77457.000	0.045	-0.023	-0.205	0.153
4644.000	77467.000	0.048	-0.023	-0.205	0.153
4643.000	77477.000	0.045	-0.023	-0.205	0.153
4642.000	77487.000	0.048	-0.023	-0.205	0.153
4641.000	77497.000	0.049	-0.023	-0.205	0.153
4640.000	77507.000	0.051	-0.023	-0.205	0.153
4639.000	77517.000	0.061	-0.023	-0.205	0.153
4638.000	77527.000	0.053	-0.023	-0.205	0.153
4637.000	77537.000	0.041	-0.023	-0.205	0.153
4636.000	77547.000	0.040	-0.023	-0.205	0.153
4635.000	77557.000	0.045	-0.023	-0.205	0.153
4634.000	77567.000	0.051	-0.023	-0.205	0.153
4633.000	77577.000	0.064	-0.023	-0.205	0.153
4632.000	77587.000	0.061	-0.023	-0.205	0.153
4631.000	77597.000	0.064	-0.023	-0.205	0.153
4630.000	77607.000	0.063	-0.023	-0.205	0.153
4629.000	77617.000	0.054	-0.023	-0.205	0.153
4628.000	77627.000	0.046	-0.023	-0.205	0.153
4627.000	77637.000	0.046	-0.023	-0.205	0.153
4626.000	77647.000	0.045	-0.023	-0.205	0.153
4625.000	77657.000	0.055	-0.023	-0.205	0.153
4624.000	77667.000	0.062	-0.023	-0.205	0.153
4623.000	77677.000	0.049	-0.023	-0.205	0.153
4622.000	77687.000	0.048	-0.023	-0.205	0.153
4621.000	77697.000	0.038	-0.023	-0.205	0.153
4620.000	77707.000	0.044	-0.023	-0.205	0.153
4619.000	77717.000	0.055	-0.023	-0.205	0.153
4618.000	77727.000	0.052	-0.023	-0.205	0.153
4617.000	77737.000	0.066	-0.023	-0.205	0.153
4616.000	77747.000	0.061	-0.023	-0.205	0.153
4615.000	77757.000	0.061	-0.023	-0.205	0.153
4614.000	77767.000	0.069	-0.023	-0.205	0.153
4613.000	77777.000	0.074	-0.023	-0.205	0.153
