# Delay scan
# MW at 19 dB
# Laser at 365854 GHz, 0th Resonance.
# PM at 2.4 (30.5 dB)
# 40 mV static
i	d	s	b
9565.000	52174.000	0.082	-0.019
9564.000	52184.000	0.143	-0.019
9563.000	52194.000	0.124	-0.019
9562.000	52204.000	0.130	-0.019
9561.000	52214.000	0.148	-0.019
9560.000	52224.000	0.130	-0.019
9559.000	52234.000	0.192	-0.019
9558.000	52244.000	0.179	-0.019
9557.000	52254.000	0.146	-0.019
9556.000	52264.000	0.148	-0.019
9555.000	52274.000	0.077	-0.019
9554.000	52284.000	0.090	-0.019
9553.000	52294.000	0.122	-0.019
9552.000	52304.000	0.114	-0.019
9551.000	52314.000	0.168	-0.019
9550.000	52324.000	0.168	-0.019
9549.000	52334.000	0.196	-0.019
9548.000	52344.000	0.113	-0.019
9547.000	52354.000	0.082	-0.019
9546.000	52364.000	0.081	-0.019
9545.000	52374.000	0.096	-0.019
9544.000	52384.000	0.079	-0.019
9543.000	52394.000	0.159	-0.019
9542.000	52404.000	0.119	-0.019
9541.000	52414.000	0.110	-0.019
9540.000	52424.000	0.120	-0.019
9539.000	52434.000	0.083	-0.019
9538.000	52444.000	0.064	-0.019
9537.000	52454.000	0.097	-0.019
9536.000	52464.000	0.117	-0.019
9535.000	52474.000	0.099	-0.019
9534.000	52484.000	0.136	-0.019
9533.000	52494.000	0.154	-0.019
9532.000	52504.000	0.119	-0.019
9531.000	52514.000	0.105	-0.019
9530.000	52524.000	0.073	-0.019
9529.000	52534.000	0.154	-0.019
9528.000	52544.000	0.111	-0.019
9527.000	52554.000	0.102	-0.019
9526.000	52564.000	0.152	-0.019
9525.000	52574.000	0.109	-0.019
9524.000	52584.000	0.145	-0.019
9523.000	52594.000	0.112	-0.019
9522.000	52604.000	0.110	-0.019
9521.000	52614.000	0.137	-0.019
9520.000	52624.000	0.107	-0.019
9519.000	52634.000	0.096	-0.019
9518.000	52644.000	0.100	-0.019
9517.000	52654.000	0.109	-0.019
9516.000	52664.000	0.071	-0.019
9515.000	52674.000	0.127	-0.019
9514.000	52684.000	0.146	-0.019
9513.000	52694.000	0.152	-0.019
9512.000	52704.000	0.176	-0.019
9511.000	52714.000	0.109	-0.019
9510.000	52724.000	0.129	-0.019
9509.000	52734.000	0.148	-0.019
9508.000	52744.000	0.136	-0.019
9507.000	52754.000	0.159	-0.019
9506.000	52764.000	0.144	-0.019
9505.000	52774.000	0.091	-0.019
9504.000	52784.000	0.056	-0.019
9503.000	52794.000	0.080	-0.019
9502.000	52804.000	0.120	-0.019
9501.000	52814.000	0.125	-0.019
9500.000	52824.000	0.114	-0.019
9499.000	52834.000	0.109	-0.019
9498.000	52844.000	0.093	-0.019
9497.000	52854.000	0.125	-0.019
9496.000	52864.000	0.160	-0.019
9495.000	52874.000	0.081	-0.019
9494.000	52884.000	0.124	-0.019
9493.000	52894.000	0.173	-0.019
9492.000	52904.000	0.104	-0.019
9491.000	52914.000	0.163	-0.019
9490.000	52924.000	0.140	-0.019
9489.000	52934.000	0.106	-0.019
9488.000	52944.000	0.125	-0.019
9487.000	52954.000	0.090	-0.019
9486.000	52964.000	0.103	-0.019
9485.000	52974.000	0.084	-0.019
9484.000	52984.000	0.138	-0.019
9483.000	52994.000	0.093	-0.019
9482.000	53004.000	0.127	-0.019
9481.000	53014.000	0.097	-0.019
9480.000	53024.000	0.088	-0.019
9479.000	53034.000	0.152	-0.019
9478.000	53044.000	0.134	-0.019
9477.000	53054.000	0.148	-0.019
9476.000	53064.000	0.065	-0.019
9475.000	53074.000	0.103	-0.019
9474.000	53084.000	0.131	-0.019
9473.000	53094.000	0.131	-0.019
9472.000	53104.000	0.106	-0.019
9471.000	53114.000	0.062	-0.019
9470.000	53124.000	0.070	-0.019
9469.000	53134.000	0.120	-0.019
9468.000	53144.000	0.186	-0.019
9467.000	53154.000	0.159	-0.019
9466.000	53164.000	0.107	-0.019
9465.000	53174.000	0.137	-0.019
9464.000	53184.000	0.059	-0.019
9463.000	53194.000	0.119	-0.019
9462.000	53204.000	0.163	-0.019
9461.000	53214.000	0.128	-0.019
9460.000	53224.000	0.080	-0.019
9459.000	53234.000	0.151	-0.019
9458.000	53244.000	0.095	-0.019
9457.000	53254.000	0.142	-0.019
9456.000	53264.000	0.137	-0.019
9455.000	53274.000	0.107	-0.019
9454.000	53284.000	0.099	-0.019
9453.000	53294.000	0.074	-0.019
9452.000	53304.000	0.138	-0.019
9451.000	53314.000	0.172	-0.019
9450.000	53324.000	0.126	-0.019
9449.000	53334.000	0.075	-0.019
9448.000	53344.000	0.104	-0.019
9447.000	53354.000	0.104	-0.019
9446.000	53364.000	0.112	-0.019
9445.000	53374.000	0.097	-0.019
9444.000	53384.000	0.144	-0.019
9443.000	53394.000	0.110	-0.019
9442.000	53404.000	0.105	-0.019
9441.000	53414.000	0.104	-0.019
9440.000	53424.000	0.077	-0.019
9439.000	53434.000	0.097	-0.019
9438.000	53444.000	0.158	-0.019
9437.000	53454.000	0.118	-0.019
9436.000	53464.000	0.059	-0.019
9435.000	53474.000	0.120	-0.019
9434.000	53484.000	0.135	-0.019
9433.000	53494.000	0.115	-0.019
9432.000	53504.000	0.088	-0.019
9431.000	53514.000	0.122	-0.019
9430.000	53524.000	0.092	-0.019
9429.000	53534.000	0.150	-0.019
9428.000	53544.000	0.126	-0.019
9427.000	53554.000	0.094	-0.019
9426.000	53564.000	0.060	-0.019
9425.000	53574.000	0.148	-0.019
9424.000	53584.000	0.131	-0.019
9423.000	53594.000	0.134	-0.019
9422.000	53604.000	0.123	-0.019
9421.000	53614.000	0.147	-0.019
9420.000	53624.000	0.119	-0.019
9419.000	53634.000	0.111	-0.019
9418.000	53644.000	0.099	-0.019
9417.000	53654.000	0.107	-0.019
9416.000	53664.000	0.089	-0.019
9415.000	53674.000	0.124	-0.019
9414.000	53684.000	0.158	-0.019
9413.000	53694.000	0.111	-0.019
9412.000	53704.000	0.083	-0.019
9411.000	53714.000	0.057	-0.019
9410.000	53724.000	0.089	-0.019
9409.000	53734.000	0.115	-0.019
9408.000	53744.000	0.172	-0.019
9407.000	53754.000	0.109	-0.019
9406.000	53764.000	0.105	-0.019
9405.000	53774.000	0.135	-0.019
9404.000	53784.000	0.142	-0.019
9403.000	53794.000	0.109	-0.019
9402.000	53804.000	0.227	-0.019
9401.000	53814.000	0.104	-0.019
9400.000	53824.000	0.107	-0.019
9399.000	53834.000	0.111	-0.019
9398.000	53844.000	0.190	-0.019
9397.000	53854.000	0.074	-0.019
9396.000	53864.000	0.058	-0.019
9395.000	53874.000	0.119	-0.019
9394.000	53884.000	0.101	-0.019
9393.000	53894.000	0.074	-0.019
9392.000	53904.000	0.121	-0.019
9391.000	53914.000	0.106	-0.019
9390.000	53924.000	0.148	-0.019
9389.000	53934.000	0.165	-0.019
9388.000	53944.000	0.093	-0.019
9387.000	53954.000	0.103	-0.019
9386.000	53964.000	0.152	-0.019
9385.000	53974.000	0.163	-0.019
9384.000	53984.000	0.101	-0.019
9383.000	53994.000	0.130	-0.019
9382.000	54004.000	0.077	-0.019
9381.000	54014.000	0.081	-0.019
9380.000	54024.000	0.077	-0.019
9379.000	54034.000	0.143	-0.019
9378.000	54044.000	0.140	-0.019
9377.000	54054.000	0.198	-0.019
9376.000	54064.000	0.114	-0.019
9375.000	54074.000	0.161	-0.019
9374.000	54084.000	0.133	-0.019
9373.000	54094.000	0.139	-0.019
9372.000	54104.000	0.197	-0.019
9371.000	54114.000	0.201	-0.019
9370.000	54124.000	0.131	-0.019
9369.000	54134.000	0.129	-0.019
9368.000	54144.000	0.140	-0.019
9367.000	54154.000	0.121	-0.019
9366.000	54164.000	0.137	-0.019
9365.000	54174.000	0.115	-0.019
9364.000	54184.000	0.125	-0.019
9363.000	54194.000	0.126	-0.019
9362.000	54204.000	0.124	-0.019
9361.000	54214.000	0.065	-0.019
9360.000	54224.000	0.106	-0.019
9359.000	54234.000	0.073	-0.019
9358.000	54244.000	0.117	-0.019
9357.000	54254.000	0.131	-0.019
9356.000	54264.000	0.155	-0.019
9355.000	54274.000	0.126	-0.019
9354.000	54284.000	0.091	-0.019
9353.000	54294.000	0.101	-0.019
9352.000	54304.000	0.172	-0.019
9351.000	54314.000	0.169	-0.019
9350.000	54324.000	0.093	-0.019
9349.000	54334.000	0.097	-0.019
9348.000	54344.000	0.092	-0.019
9347.000	54354.000	0.122	-0.019
9346.000	54364.000	0.084	-0.019
9345.000	54374.000	0.108	-0.019
9344.000	54384.000	0.113	-0.019
9343.000	54394.000	0.169	-0.019
9342.000	54404.000	0.177	-0.019
9341.000	54414.000	0.160	-0.019
9340.000	54424.000	0.113	-0.019
9339.000	54434.000	0.149	-0.019
9338.000	54444.000	0.113	-0.019
9337.000	54454.000	0.137	-0.019
9336.000	54464.000	0.134	-0.019
9335.000	54474.000	0.147	-0.019
9334.000	54484.000	0.113	-0.019
9333.000	54494.000	0.136	-0.019
9332.000	54504.000	0.140	-0.019
9331.000	54514.000	0.119	-0.019
9330.000	54524.000	0.175	-0.019
9329.000	54534.000	0.128	-0.019
9328.000	54544.000	0.152	-0.019
9327.000	54554.000	0.135	-0.019
9326.000	54564.000	0.140	-0.019
9325.000	54574.000	0.134	-0.019
9324.000	54584.000	0.105	-0.019
9323.000	54594.000	0.118	-0.019
9322.000	54604.000	0.147	-0.019
9321.000	54614.000	0.122	-0.019
9320.000	54624.000	0.096	-0.019
9319.000	54634.000	0.136	-0.019
9318.000	54644.000	0.128	-0.019
9317.000	54654.000	0.106	-0.019
9316.000	54664.000	0.117	-0.019
9315.000	54674.000	0.089	-0.019
9314.000	54684.000	0.119	-0.019
9313.000	54694.000	0.135	-0.019
9312.000	54704.000	0.075	-0.019
9311.000	54714.000	0.149	-0.019
9310.000	54724.000	0.227	-0.019
9309.000	54734.000	0.174	-0.019
9308.000	54744.000	0.102	-0.019
