# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365897 GHz, +1st Resonance.
# PM at 2.0 (32 dB)
# 0 mV static
i	d	s	sb	n	nb
4672.000	77187.000	0.140	-0.022	-0.311	0.157
4671.000	77197.000	0.113	-0.022	-0.311	0.157
4670.000	77207.000	0.116	-0.022	-0.311	0.157
4669.000	77217.000	0.094	-0.022	-0.311	0.157
4668.000	77227.000	0.123	-0.022	-0.311	0.157
4667.000	77237.000	0.115	-0.022	-0.311	0.157
4666.000	77247.000	0.145	-0.022	-0.311	0.157
4665.000	77257.000	0.122	-0.022	-0.311	0.157
4664.000	77267.000	0.125	-0.022	-0.311	0.157
4663.000	77277.000	0.109	-0.022	-0.311	0.157
4662.000	77287.000	0.111	-0.022	-0.311	0.157
4661.000	77297.000	0.097	-0.022	-0.311	0.157
4660.000	77307.000	0.094	-0.022	-0.311	0.157
4659.000	77317.000	0.079	-0.022	-0.311	0.157
4658.000	77327.000	0.107	-0.022	-0.311	0.157
4657.000	77337.000	0.111	-0.022	-0.311	0.157
4656.000	77347.000	0.122	-0.022	-0.311	0.157
4655.000	77357.000	0.113	-0.022	-0.311	0.157
4654.000	77367.000	0.099	-0.022	-0.311	0.157
4653.000	77377.000	0.111	-0.022	-0.311	0.157
4652.000	77387.000	0.099	-0.022	-0.311	0.157
4651.000	77397.000	0.121	-0.022	-0.311	0.157
4650.000	77407.000	0.114	-0.022	-0.311	0.157
4649.000	77417.000	0.110	-0.022	-0.311	0.157
4648.000	77427.000	0.128	-0.022	-0.311	0.157
4647.000	77437.000	0.099	-0.022	-0.311	0.157
4646.000	77447.000	0.113	-0.022	-0.311	0.157
4645.000	77457.000	0.118	-0.022	-0.311	0.157
4644.000	77467.000	0.091	-0.022	-0.311	0.157
4643.000	77477.000	0.100	-0.022	-0.311	0.157
4642.000	77487.000	0.112	-0.022	-0.311	0.157
4641.000	77497.000	0.088	-0.022	-0.311	0.157
4640.000	77507.000	0.088	-0.022	-0.311	0.157
4639.000	77517.000	0.088	-0.022	-0.311	0.157
4638.000	77527.000	0.103	-0.022	-0.311	0.157
4637.000	77537.000	0.113	-0.022	-0.311	0.157
4636.000	77547.000	0.104	-0.022	-0.311	0.157
4635.000	77557.000	0.105	-0.022	-0.311	0.157
4634.000	77567.000	0.082	-0.022	-0.311	0.157
4633.000	77577.000	0.126	-0.022	-0.311	0.157
4632.000	77587.000	0.120	-0.022	-0.311	0.157
4631.000	77597.000	0.095	-0.022	-0.311	0.157
4630.000	77607.000	0.097	-0.022	-0.311	0.157
4629.000	77617.000	0.106	-0.022	-0.311	0.157
4628.000	77627.000	0.101	-0.022	-0.311	0.157
4627.000	77637.000	0.105	-0.022	-0.311	0.157
4626.000	77647.000	0.103	-0.022	-0.311	0.157
4625.000	77657.000	0.096	-0.022	-0.311	0.157
4624.000	77667.000	0.110	-0.022	-0.311	0.157
4623.000	77677.000	0.139	-0.022	-0.311	0.157
4622.000	77687.000	0.135	-0.022	-0.311	0.157
4621.000	77697.000	0.109	-0.022	-0.311	0.157
4620.000	77707.000	0.095	-0.022	-0.311	0.157
4619.000	77717.000	0.117	-0.022	-0.311	0.157
4618.000	77727.000	0.112	-0.022	-0.311	0.157
4617.000	77737.000	0.113	-0.022	-0.311	0.157
4616.000	77747.000	0.099	-0.022	-0.311	0.157
4615.000	77757.000	0.118	-0.022	-0.311	0.157
4614.000	77767.000	0.114	-0.022	-0.311	0.157
4613.000	77777.000	0.110	-0.022	-0.311	0.157
4612.000	77787.000	0.122	-0.022	-0.311	0.157
4611.000	77797.000	0.124	-0.022	-0.311	0.157
4610.000	77807.000	0.123	-0.022	-0.311	0.157
4609.000	77817.000	0.101	-0.022	-0.311	0.157
4608.000	77827.000	0.101	-0.022	-0.311	0.157
4607.000	77837.000	0.096	-0.022	-0.311	0.157
4606.000	77847.000	0.102	-0.022	-0.311	0.157
4605.000	77857.000	0.099	-0.022	-0.311	0.157
4604.000	77867.000	0.094	-0.022	-0.311	0.157
4603.000	77877.000	0.105	-0.022	-0.311	0.157
4602.000	77887.000	0.098	-0.022	-0.311	0.157
4601.000	77897.000	0.119	-0.022	-0.311	0.157
4600.000	77907.000	0.109	-0.022	-0.311	0.157
4599.000	77917.000	0.110	-0.022	-0.311	0.157
4598.000	77927.000	0.131	-0.022	-0.311	0.157
4597.000	77937.000	0.088	-0.022	-0.311	0.157
4596.000	77947.000	0.099	-0.022	-0.311	0.157
4595.000	77957.000	0.095	-0.022	-0.311	0.157
4594.000	77967.000	0.093	-0.022	-0.311	0.157
4593.000	77977.000	0.113	-0.022	-0.311	0.157
4592.000	77987.000	0.095	-0.022	-0.311	0.157
4591.000	77997.000	0.092	-0.022	-0.311	0.157
4590.000	78007.000	0.092	-0.022	-0.311	0.157
4589.000	78017.000	0.094	-0.022	-0.311	0.157
4588.000	78027.000	0.094	-0.022	-0.311	0.157
4587.000	78037.000	0.109	-0.022	-0.311	0.157
4586.000	78047.000	0.097	-0.022	-0.311	0.157
4585.000	78057.000	0.119	-0.022	-0.311	0.157
4584.000	78067.000	0.118	-0.022	-0.311	0.157
4583.000	78077.000	0.117	-0.022	-0.311	0.157
4582.000	78087.000	0.107	-0.022	-0.311	0.157
4581.000	78097.000	0.096	-0.022	-0.311	0.157
4580.000	78107.000	0.094	-0.022	-0.311	0.157
4579.000	78117.000	0.098	-0.022	-0.311	0.157
4578.000	78127.000	0.104	-0.022	-0.311	0.157
4577.000	78137.000	0.096	-0.022	-0.311	0.157
4576.000	78147.000	0.086	-0.022	-0.311	0.157
4575.000	78157.000	0.095	-0.022	-0.311	0.157
4574.000	78167.000	0.092	-0.022	-0.311	0.157
4573.000	78177.000	0.108	-0.022	-0.311	0.157
4572.000	78187.000	0.114	-0.022	-0.311	0.157
4571.000	78197.000	0.115	-0.022	-0.311	0.157
4570.000	78207.000	0.113	-0.022	-0.311	0.157
4569.000	78217.000	0.136	-0.022	-0.311	0.157
4568.000	78227.000	0.105	-0.022	-0.311	0.157
4567.000	78237.000	0.113	-0.022	-0.311	0.157
4566.000	78247.000	0.107	-0.022	-0.311	0.157
4565.000	78257.000	0.109	-0.022	-0.311	0.157
4564.000	78267.000	0.149	-0.022	-0.311	0.157
4563.000	78277.000	0.133	-0.022	-0.311	0.157
4562.000	78287.000	0.133	-0.022	-0.311	0.157
4561.000	78297.000	0.122	-0.022	-0.311	0.157
4560.000	78307.000	0.120	-0.022	-0.311	0.157
4559.000	78317.000	0.115	-0.022	-0.311	0.157
4558.000	78327.000	0.138	-0.022	-0.311	0.157
4557.000	78337.000	0.116	-0.022	-0.311	0.157
4556.000	78347.000	0.123	-0.022	-0.311	0.157
4555.000	78357.000	0.112	-0.022	-0.311	0.157
4554.000	78367.000	0.109	-0.022	-0.311	0.157
4553.000	78377.000	0.122	-0.022	-0.311	0.157
4552.000	78387.000	0.131	-0.022	-0.311	0.157
4551.000	78397.000	0.133	-0.022	-0.311	0.157
4550.000	78407.000	0.120	-0.022	-0.311	0.157
4549.000	78417.000	0.100	-0.022	-0.311	0.157
4548.000	78427.000	0.134	-0.022	-0.311	0.157
4547.000	78437.000	0.133	-0.022	-0.311	0.157
4546.000	78447.000	0.103	-0.022	-0.311	0.157
4545.000	78457.000	0.116	-0.022	-0.311	0.157
4544.000	78467.000	0.112	-0.022	-0.311	0.157
4543.000	78477.000	0.090	-0.022	-0.311	0.157
4542.000	78487.000	0.105	-0.022	-0.311	0.157
4541.000	78497.000	0.127	-0.022	-0.311	0.157
4540.000	78507.000	0.135	-0.022	-0.311	0.157
4539.000	78517.000	0.125	-0.022	-0.311	0.157
4538.000	78527.000	0.115	-0.022	-0.311	0.157
4537.000	78537.000	0.131	-0.022	-0.311	0.157
