# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 0.4 (44.0 dB)
# 0 mV static
i	d	s	sb	n	nb
0.000	68126.000	0.132	-0.019	-0.372	0.146
1.000	68136.000	0.127	-0.019	-0.372	0.146
2.000	68146.000	0.148	-0.019	-0.372	0.146
3.000	68156.000	0.148	-0.019	-0.372	0.146
4.000	68166.000	0.162	-0.019	-0.372	0.146
5.000	68176.000	0.167	-0.019	-0.372	0.146
6.000	68186.000	0.145	-0.019	-0.372	0.146
7.000	68196.000	0.150	-0.019	-0.372	0.146
8.000	68206.000	0.145	-0.019	-0.372	0.146
9.000	68216.000	0.181	-0.019	-0.372	0.146
10.000	68226.000	0.224	-0.019	-0.372	0.146
11.000	68236.000	0.227	-0.019	-0.372	0.146
12.000	68246.000	0.197	-0.019	-0.372	0.146
13.000	68256.000	0.175	-0.019	-0.372	0.146
14.000	68266.000	0.164	-0.019	-0.372	0.146
15.000	68276.000	0.174	-0.019	-0.372	0.146
16.000	68286.000	0.143	-0.019	-0.372	0.146
17.000	68296.000	0.132	-0.019	-0.372	0.146
18.000	68306.000	0.189	-0.019	-0.372	0.146
19.000	68316.000	0.215	-0.019	-0.372	0.146
20.000	68326.000	0.229	-0.019	-0.372	0.146
21.000	68336.000	0.252	-0.019	-0.372	0.146
22.000	68346.000	0.201	-0.019	-0.372	0.146
23.000	68356.000	0.215	-0.019	-0.372	0.146
24.000	68366.000	0.173	-0.019	-0.372	0.146
25.000	68376.000	0.173	-0.019	-0.372	0.146
26.000	68386.000	0.165	-0.019	-0.372	0.146
27.000	68396.000	0.191	-0.019	-0.372	0.146
28.000	68406.000	0.212	-0.019	-0.372	0.146
29.000	68416.000	0.202	-0.019	-0.372	0.146
30.000	68426.000	0.212	-0.019	-0.372	0.146
31.000	68436.000	0.156	-0.019	-0.372	0.146
32.000	68446.000	0.207	-0.019	-0.372	0.146
33.000	68456.000	0.189	-0.019	-0.372	0.146
34.000	68466.000	0.210	-0.019	-0.372	0.146
35.000	68476.000	0.188	-0.019	-0.372	0.146
36.000	68486.000	0.218	-0.019	-0.372	0.146
37.000	68496.000	0.213	-0.019	-0.372	0.146
38.000	68506.000	0.175	-0.019	-0.372	0.146
39.000	68516.000	0.176	-0.019	-0.372	0.146
40.000	68526.000	0.163	-0.019	-0.372	0.146
41.000	68536.000	0.180	-0.019	-0.372	0.146
42.000	68546.000	0.171	-0.019	-0.372	0.146
