# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365897 GHz, +1st Resonance.
# PM at 1.0 (38 dB)
# 0 mV static
i	d	s	sb	n	nb
4782.000	76087.000	0.131	-0.040	-0.342	0.134
4781.000	76097.000	0.131	-0.040	-0.342	0.134
4780.000	76107.000	0.116	-0.040	-0.342	0.134
4779.000	76117.000	0.129	-0.040	-0.342	0.134
4778.000	76127.000	0.127	-0.040	-0.342	0.134
4777.000	76137.000	0.128	-0.040	-0.342	0.134
4776.000	76147.000	0.135	-0.040	-0.342	0.134
4775.000	76157.000	0.143	-0.040	-0.342	0.134
4774.000	76167.000	0.138	-0.040	-0.342	0.134
4773.000	76177.000	0.125	-0.040	-0.342	0.134
4772.000	76187.000	0.135	-0.040	-0.342	0.134
4771.000	76197.000	0.094	-0.040	-0.342	0.134
4770.000	76207.000	0.107	-0.040	-0.342	0.134
4769.000	76217.000	0.111	-0.040	-0.342	0.134
4768.000	76227.000	0.122	-0.040	-0.342	0.134
4767.000	76237.000	0.133	-0.040	-0.342	0.134
4766.000	76247.000	0.118	-0.040	-0.342	0.134
4765.000	76257.000	0.132	-0.040	-0.342	0.134
4764.000	76267.000	0.117	-0.040	-0.342	0.134
4763.000	76277.000	0.131	-0.040	-0.342	0.134
4762.000	76287.000	0.103	-0.040	-0.342	0.134
4761.000	76297.000	0.106	-0.040	-0.342	0.134
4760.000	76307.000	0.119	-0.040	-0.342	0.134
4759.000	76317.000	0.130	-0.040	-0.342	0.134
4758.000	76327.000	0.117	-0.040	-0.342	0.134
4757.000	76337.000	0.124	-0.040	-0.342	0.134
4756.000	76347.000	0.123	-0.040	-0.342	0.134
4755.000	76357.000	0.113	-0.040	-0.342	0.134
4754.000	76367.000	0.162	-0.040	-0.342	0.134
4753.000	76377.000	0.149	-0.040	-0.342	0.134
4752.000	76387.000	0.152	-0.040	-0.342	0.134
4751.000	76397.000	0.172	-0.040	-0.342	0.134
4750.000	76407.000	0.147	-0.040	-0.342	0.134
4749.000	76417.000	0.124	-0.040	-0.342	0.134
4748.000	76427.000	0.126	-0.040	-0.342	0.134
4747.000	76437.000	0.125	-0.040	-0.342	0.134
4746.000	76447.000	0.113	-0.040	-0.342	0.134
4745.000	76457.000	0.107	-0.040	-0.342	0.134
4744.000	76467.000	0.109	-0.040	-0.342	0.134
4743.000	76477.000	0.124	-0.040	-0.342	0.134
4742.000	76487.000	0.125	-0.040	-0.342	0.134
4741.000	76497.000	0.130	-0.040	-0.342	0.134
4740.000	76507.000	0.147	-0.040	-0.342	0.134
4739.000	76517.000	0.160	-0.040	-0.342	0.134
4738.000	76527.000	0.150	-0.040	-0.342	0.134
4737.000	76537.000	0.137	-0.040	-0.342	0.134
4736.000	76547.000	0.138	-0.040	-0.342	0.134
4735.000	76557.000	0.134	-0.040	-0.342	0.134
4734.000	76567.000	0.153	-0.040	-0.342	0.134
4733.000	76577.000	0.150	-0.040	-0.342	0.134
4732.000	76587.000	0.125	-0.040	-0.342	0.134
4731.000	76597.000	0.132	-0.040	-0.342	0.134
4730.000	76607.000	0.119	-0.040	-0.342	0.134
4729.000	76617.000	0.123	-0.040	-0.342	0.134
4728.000	76627.000	0.131	-0.040	-0.342	0.134
4727.000	76637.000	0.129	-0.040	-0.342	0.134
4726.000	76647.000	0.136	-0.040	-0.342	0.134
4725.000	76657.000	0.129	-0.040	-0.342	0.134
4724.000	76667.000	0.144	-0.040	-0.342	0.134
4723.000	76677.000	0.150	-0.040	-0.342	0.134
4722.000	76687.000	0.109	-0.040	-0.342	0.134
4721.000	76697.000	0.124	-0.040	-0.342	0.134
4720.000	76707.000	0.135	-0.040	-0.342	0.134
4719.000	76717.000	0.160	-0.040	-0.342	0.134
4718.000	76727.000	0.128	-0.040	-0.342	0.134
4717.000	76737.000	0.128	-0.040	-0.342	0.134
4716.000	76747.000	0.122	-0.040	-0.342	0.134
4715.000	76757.000	0.123	-0.040	-0.342	0.134
4714.000	76767.000	0.123	-0.040	-0.342	0.134
4713.000	76777.000	0.136	-0.040	-0.342	0.134
4712.000	76787.000	0.139	-0.040	-0.342	0.134
4711.000	76797.000	0.130	-0.040	-0.342	0.134
4710.000	76807.000	0.113	-0.040	-0.342	0.134
4709.000	76817.000	0.140	-0.040	-0.342	0.134
4708.000	76827.000	0.134	-0.040	-0.342	0.134
4707.000	76837.000	0.134	-0.040	-0.342	0.134
4706.000	76847.000	0.158	-0.040	-0.342	0.134
