# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
i	d	s	sb	n	nb
6266.000	69216.000	0.130	-0.009	-0.339	0.164
6265.000	69226.000	0.124	-0.009	-0.339	0.164
6264.000	69236.000	0.161	-0.009	-0.339	0.164
6263.000	69246.000	0.165	-0.009	-0.339	0.164
6262.000	69256.000	0.135	-0.009	-0.339	0.164
6261.000	69266.000	0.153	-0.009	-0.339	0.164
6260.000	69276.000	0.191	-0.009	-0.339	0.164
6259.000	69286.000	0.182	-0.009	-0.339	0.164
6258.000	69296.000	0.157	-0.009	-0.339	0.164
6257.000	69306.000	0.172	-0.009	-0.339	0.164
6256.000	69316.000	0.151	-0.009	-0.339	0.164
6255.000	69326.000	0.147	-0.009	-0.339	0.164
6254.000	69336.000	0.148	-0.009	-0.339	0.164
6253.000	69346.000	0.188	-0.009	-0.339	0.164
6252.000	69356.000	0.146	-0.009	-0.339	0.164
6251.000	69366.000	0.148	-0.009	-0.339	0.164
6250.000	69376.000	0.155	-0.009	-0.339	0.164
6249.000	69386.000	0.172	-0.009	-0.339	0.164
6248.000	69396.000	0.156	-0.009	-0.339	0.164
6247.000	69406.000	0.147	-0.009	-0.339	0.164
6246.000	69416.000	0.137	-0.009	-0.339	0.164
6245.000	69426.000	0.151	-0.009	-0.339	0.164
6244.000	69436.000	0.166	-0.009	-0.339	0.164
6243.000	69446.000	0.160	-0.009	-0.339	0.164
6242.000	69456.000	0.121	-0.009	-0.339	0.164
6241.000	69466.000	0.113	-0.009	-0.339	0.164
6240.000	69476.000	0.106	-0.009	-0.339	0.164
6239.000	69486.000	0.101	-0.009	-0.339	0.164
6238.000	69496.000	0.110	-0.009	-0.339	0.164
6237.000	69506.000	0.139	-0.009	-0.339	0.164
6236.000	69516.000	0.144	-0.009	-0.339	0.164
6235.000	69526.000	0.149	-0.009	-0.339	0.164
6234.000	69536.000	0.142	-0.009	-0.339	0.164
6233.000	69546.000	0.139	-0.009	-0.339	0.164
6232.000	69556.000	0.168	-0.009	-0.339	0.164
6231.000	69566.000	0.178	-0.009	-0.339	0.164
6230.000	69576.000	0.183	-0.009	-0.339	0.164
6229.000	69586.000	0.191	-0.009	-0.339	0.164
6228.000	69596.000	0.164	-0.009	-0.339	0.164
6227.000	69606.000	0.149	-0.009	-0.339	0.164
6226.000	69616.000	0.149	-0.009	-0.339	0.164
6225.000	69626.000	0.178	-0.009	-0.339	0.164
6224.000	69636.000	0.147	-0.009	-0.339	0.164
6223.000	69646.000	0.144	-0.009	-0.339	0.164
6222.000	69656.000	0.141	-0.009	-0.339	0.164
6221.000	69666.000	0.192	-0.009	-0.339	0.164
6220.000	69676.000	0.159	-0.009	-0.339	0.164
6219.000	69686.000	0.166	-0.009	-0.339	0.164
6218.000	69696.000	0.162	-0.009	-0.339	0.164
6217.000	69706.000	0.163	-0.009	-0.339	0.164
6216.000	69716.000	0.133	-0.009	-0.339	0.164
6215.000	69726.000	0.139	-0.009	-0.339	0.164
6214.000	69736.000	0.140	-0.009	-0.339	0.164
6213.000	69746.000	0.145	-0.009	-0.339	0.164
6212.000	69756.000	0.137	-0.009	-0.339	0.164
6211.000	69766.000	0.155	-0.009	-0.339	0.164
6210.000	69776.000	0.161	-0.009	-0.339	0.164
