# Filename	C:\Users\labuser\Documents\Data\2018-11-05\19_fscan.txt
# Date	2018-11-6-12:54
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 19 dB. Laser at -10 GHz with -10 GHz Limit. MW Pulse from Laser -270 ns to +30 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	0.096	0.230	0.235
18482000000.000	0.096	0.203	0.217
18484000000.000	0.096	0.236	0.230
18486000000.000	0.096	0.197	0.254
18488000000.000	0.096	0.244	0.222
18490000000.000	0.096	0.207	0.256
18492000000.000	0.096	0.194	0.220
18494000000.000	0.096	0.217	0.269
18496000000.000	0.096	0.209	0.252
18498000000.000	0.096	0.218	0.212
18500000000.000	0.096	0.194	0.248
18502000000.000	0.096	0.162	0.245
18504000000.000	0.096	0.166	0.255
18506000000.000	0.096	0.166	0.236
18508000000.000	0.096	0.156	0.227
18510000000.000	0.096	0.135	0.216
18512000000.000	0.096	0.111	0.223
18514000000.000	0.096	0.097	0.234
18516000000.000	0.096	0.122	0.234
18518000000.000	0.096	0.134	0.237
18520000000.000	0.096	0.138	0.241
18522000000.000	0.096	0.173	0.242
18524000000.000	0.096	0.154	0.258
18526000000.000	0.096	0.194	0.255
18528000000.000	0.096	0.167	0.236
18530000000.000	0.096	0.193	0.249
18532000000.000	0.096	0.205	0.245
18534000000.000	0.096	0.189	0.241
18536000000.000	0.096	0.200	0.213
18538000000.000	0.096	0.221	0.236
18540000000.000	0.096	0.222	0.231
18480200000.000	0.096	0.212	0.226
18482200000.000	0.096	0.241	0.265
18484200000.000	0.096	0.243	0.244
18486200000.000	0.096	0.217	0.236
18488200000.000	0.096	0.230	0.234
18490200000.000	0.096	0.205	0.255
18492200000.000	0.096	0.215	0.255
18494200000.000	0.096	0.200	0.248
18496200000.000	0.096	0.200	0.230
18498200000.000	0.096	0.193	0.240
18500200000.000	0.096	0.167	0.248
18502200000.000	0.096	0.158	0.229
18504200000.000	0.096	0.168	0.251
18506200000.000	0.096	0.136	0.236
18508200000.000	0.096	0.131	0.263
18510200000.000	0.096	0.142	0.248
18512200000.000	0.096	0.112	0.255
18514200000.000	0.096	0.119	0.241
18516200000.000	0.096	0.128	0.244
18518200000.000	0.096	0.140	0.231
18520200000.000	0.096	0.147	0.259
18522200000.000	0.096	0.165	0.250
18524200000.000	0.096	0.186	0.242
18526200000.000	0.096	0.173	0.266
18528200000.000	0.096	0.187	0.257
18530200000.000	0.096	0.228	0.228
18532200000.000	0.096	0.226	0.266
18534200000.000	0.096	0.230	0.229
18536200000.000	0.096	0.200	0.241
18538200000.000	0.096	0.218	0.213
18480400000.000	0.096	0.220	0.254
18482400000.000	0.096	0.207	0.218
18484400000.000	0.096	0.218	0.232
18486400000.000	0.096	0.206	0.238
