# Delay scan
# MW at 19 dB
# Laser at 365854 GHz, 0th Resonance.
# PM at 1.0 (38 dB)
# 40 mV static
i	d	s	b
9565.000	52174.000	0.165	-0.013
9564.000	52184.000	0.196	-0.013
9563.000	52194.000	0.141	-0.013
9562.000	52204.000	0.188	-0.013
9561.000	52214.000	0.132	-0.013
9560.000	52224.000	0.217	-0.013
9559.000	52234.000	0.172	-0.013
9558.000	52244.000	0.151	-0.013
9557.000	52254.000	0.201	-0.013
9556.000	52264.000	0.259	-0.013
9555.000	52274.000	0.195	-0.013
9554.000	52284.000	0.159	-0.013
9553.000	52294.000	0.156	-0.013
9552.000	52304.000	0.170	-0.013
9551.000	52314.000	0.148	-0.013
9550.000	52324.000	0.188	-0.013
9549.000	52334.000	0.116	-0.013
9548.000	52344.000	0.191	-0.013
9547.000	52354.000	0.178	-0.013
9546.000	52364.000	0.191	-0.013
9545.000	52374.000	0.140	-0.013
9544.000	52384.000	0.130	-0.013
9543.000	52394.000	0.164	-0.013
9542.000	52404.000	0.121	-0.013
9541.000	52414.000	0.096	-0.013
9540.000	52424.000	0.154	-0.013
9539.000	52434.000	0.149	-0.013
9538.000	52444.000	0.142	-0.013
9537.000	52454.000	0.162	-0.013
9536.000	52464.000	0.104	-0.013
9535.000	52474.000	0.190	-0.013
9534.000	52484.000	0.139	-0.013
9533.000	52494.000	0.121	-0.013
9532.000	52504.000	0.146	-0.013
9531.000	52514.000	0.154	-0.013
9530.000	52524.000	0.150	-0.013
9529.000	52534.000	0.122	-0.013
9528.000	52544.000	0.169	-0.013
9527.000	52554.000	0.199	-0.013
9526.000	52564.000	0.194	-0.013
9525.000	52574.000	0.202	-0.013
9524.000	52584.000	0.198	-0.013
9523.000	52594.000	0.169	-0.013
9522.000	52604.000	0.141	-0.013
9521.000	52614.000	0.074	-0.013
9520.000	52624.000	0.153	-0.013
9519.000	52634.000	0.145	-0.013
9518.000	52644.000	0.112	-0.013
9517.000	52654.000	0.105	-0.013
9516.000	52664.000	0.157	-0.013
9515.000	52674.000	0.127	-0.013
9514.000	52684.000	0.142	-0.013
9513.000	52694.000	0.113	-0.013
9512.000	52704.000	0.117	-0.013
9511.000	52714.000	0.155	-0.013
9510.000	52724.000	0.152	-0.013
9509.000	52734.000	0.141	-0.013
9508.000	52744.000	0.125	-0.013
9507.000	52754.000	0.158	-0.013
9506.000	52764.000	0.169	-0.013
9505.000	52774.000	0.206	-0.013
9504.000	52784.000	0.146	-0.013
9503.000	52794.000	0.140	-0.013
9502.000	52804.000	0.153	-0.013
9501.000	52814.000	0.136	-0.013
9500.000	52824.000	0.175	-0.013
9499.000	52834.000	0.132	-0.013
9498.000	52844.000	0.114	-0.013
9497.000	52854.000	0.158	-0.013
9496.000	52864.000	0.136	-0.013
9495.000	52874.000	0.184	-0.013
9494.000	52884.000	0.176	-0.013
9493.000	52894.000	0.187	-0.013
9492.000	52904.000	0.145	-0.013
9491.000	52914.000	0.174	-0.013
9490.000	52924.000	0.103	-0.013
9489.000	52934.000	0.105	-0.013
9488.000	52944.000	0.129	-0.013
9487.000	52954.000	0.136	-0.013
9486.000	52964.000	0.150	-0.013
9485.000	52974.000	0.135	-0.013
