# Delay scan
# MW at 19 dB
# Laser at 365820.5 GHz, -1st Resonance.
# PM at 1.4 (35 dB)
# No Static
i	d	s	b
9565.000	52174.000	0.202	-0.035
9564.000	52184.000	0.192	-0.035
9563.000	52194.000	0.252	-0.035
9562.000	52204.000	0.198	-0.035
9561.000	52214.000	0.256	-0.035
9560.000	52224.000	0.200	-0.035
9559.000	52234.000	0.225	-0.035
9558.000	52244.000	0.250	-0.035
9557.000	52254.000	0.209	-0.035
9556.000	52264.000	0.266	-0.035
9555.000	52274.000	0.192	-0.035
9554.000	52284.000	0.208	-0.035
9553.000	52294.000	0.241	-0.035
9552.000	52304.000	0.224	-0.035
9551.000	52314.000	0.203	-0.035
9550.000	52324.000	0.273	-0.035
9549.000	52334.000	0.258	-0.035
9548.000	52344.000	0.214	-0.035
9547.000	52354.000	0.260	-0.035
9546.000	52364.000	0.256	-0.035
9545.000	52374.000	0.188	-0.035
9544.000	52384.000	0.204	-0.035
9543.000	52394.000	0.248	-0.035
9542.000	52404.000	0.225	-0.035
9541.000	52414.000	0.201	-0.035
9540.000	52424.000	0.190	-0.035
9539.000	52434.000	0.222	-0.035
9538.000	52444.000	0.231	-0.035
9537.000	52454.000	0.267	-0.035
9536.000	52464.000	0.274	-0.035
9535.000	52474.000	0.214	-0.035
9534.000	52484.000	0.258	-0.035
9533.000	52494.000	0.265	-0.035
9532.000	52504.000	0.231	-0.035
9531.000	52514.000	0.259	-0.035
9530.000	52524.000	0.234	-0.035
9529.000	52534.000	0.196	-0.035
9528.000	52544.000	0.218	-0.035
9527.000	52554.000	0.224	-0.035
9526.000	52564.000	0.214	-0.035
9525.000	52574.000	0.203	-0.035
9524.000	52584.000	0.184	-0.035
9523.000	52594.000	0.266	-0.035
9522.000	52604.000	0.286	-0.035
9521.000	52614.000	0.239	-0.035
9520.000	52624.000	0.216	-0.035
9519.000	52634.000	0.232	-0.035
9518.000	52644.000	0.235	-0.035
9517.000	52654.000	0.232	-0.035
9516.000	52664.000	0.234	-0.035
9515.000	52674.000	0.251	-0.035
9514.000	52684.000	0.265	-0.035
9513.000	52694.000	0.259	-0.035
9512.000	52704.000	0.225	-0.035
9511.000	52714.000	0.201	-0.035
9510.000	52724.000	0.225	-0.035
9509.000	52734.000	0.247	-0.035
9508.000	52744.000	0.191	-0.035
9507.000	52754.000	0.253	-0.035
9506.000	52764.000	0.247	-0.035
9505.000	52774.000	0.244	-0.035
9504.000	52784.000	0.251	-0.035
9503.000	52794.000	0.213	-0.035
9502.000	52804.000	0.241	-0.035
9501.000	52814.000	0.229	-0.035
9500.000	52824.000	0.226	-0.035
9499.000	52834.000	0.206	-0.035
9498.000	52844.000	0.275	-0.035
9497.000	52854.000	0.238	-0.035
9496.000	52864.000	0.256	-0.035
9495.000	52874.000	0.268	-0.035
9494.000	52884.000	0.242	-0.035
9493.000	52894.000	0.253	-0.035
9492.000	52904.000	0.203	-0.035
9491.000	52914.000	0.216	-0.035
9490.000	52924.000	0.213	-0.035
9489.000	52934.000	0.241	-0.035
9488.000	52944.000	0.295	-0.035
9487.000	52954.000	0.213	-0.035
9486.000	52964.000	0.189	-0.035
9485.000	52974.000	0.194	-0.035
9484.000	52984.000	0.236	-0.035
9483.000	52994.000	0.208	-0.035
9482.000	53004.000	0.323	-0.035
9481.000	53014.000	0.273	-0.035
9480.000	53024.000	0.206	-0.035
9479.000	53034.000	0.290	-0.035
9478.000	53044.000	0.222	-0.035
9477.000	53054.000	0.224	-0.035
9476.000	53064.000	0.197	-0.035
9475.000	53074.000	0.141	-0.035
9474.000	53084.000	0.234	-0.035
9473.000	53094.000	0.263	-0.035
9472.000	53104.000	0.243	-0.035
9471.000	53114.000	0.231	-0.035
9470.000	53124.000	0.246	-0.035
9469.000	53134.000	0.187	-0.035
9468.000	53144.000	0.209	-0.035
9467.000	53154.000	0.223	-0.035
9466.000	53164.000	0.243	-0.035
9465.000	53174.000	0.292	-0.035
9464.000	53184.000	0.289	-0.035
9463.000	53194.000	0.221	-0.035
9462.000	53204.000	0.254	-0.035
9461.000	53214.000	0.250	-0.035
9460.000	53224.000	0.244	-0.035
9459.000	53234.000	0.200	-0.035
9458.000	53244.000	0.245	-0.035
9457.000	53254.000	0.197	-0.035
9456.000	53264.000	0.254	-0.035
9455.000	53274.000	0.320	-0.035
9454.000	53284.000	0.250	-0.035
9453.000	53294.000	0.277	-0.035
9452.000	53304.000	0.267	-0.035
9451.000	53314.000	0.226	-0.035
9450.000	53324.000	0.262	-0.035
9449.000	53334.000	0.268	-0.035
9448.000	53344.000	0.244	-0.035
9447.000	53354.000	0.251	-0.035
9446.000	53364.000	0.228	-0.035
9445.000	53374.000	0.240	-0.035
9444.000	53384.000	0.238	-0.035
9443.000	53394.000	0.237	-0.035
9442.000	53404.000	0.234	-0.035
9441.000	53414.000	0.217	-0.035
9440.000	53424.000	0.194	-0.035
9439.000	53434.000	0.189	-0.035
9438.000	53444.000	0.231	-0.035
9437.000	53454.000	0.236	-0.035
9436.000	53464.000	0.223	-0.035
9435.000	53474.000	0.271	-0.035
9434.000	53484.000	0.236	-0.035
9433.000	53494.000	0.235	-0.035
9432.000	53504.000	0.228	-0.035
9431.000	53514.000	0.250	-0.035
9430.000	53524.000	0.189	-0.035
9429.000	53534.000	0.234	-0.035
9428.000	53544.000	0.201	-0.035
9427.000	53554.000	0.214	-0.035
9426.000	53564.000	0.213	-0.035
9425.000	53574.000	0.231	-0.035
9424.000	53584.000	0.210	-0.035
9423.000	53594.000	0.219	-0.035
9422.000	53604.000	0.250	-0.035
9421.000	53614.000	0.224	-0.035
9420.000	53624.000	0.254	-0.035
9419.000	53634.000	0.238	-0.035
9418.000	53644.000	0.220	-0.035
9417.000	53654.000	0.169	-0.035
