# Filename	C:\Users\labuser\Documents\Data\2018-11-05\4_fscan.txt
# Date	2018-11-6-0:9
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 19 dB. Laser at -10 GHz with -10 GHz Limit. MW Pulse from Laser -270 ns to +30 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.102	0.086	0.120
18502000000.000	0.102	0.084	0.102
18504000000.000	0.102	0.100	0.120
18506000000.000	0.102	0.078	0.105
18508000000.000	0.102	0.069	0.112
18510000000.000	0.102	0.060	0.108
18512000000.000	0.102	0.065	0.123
18514000000.000	0.102	0.070	0.113
18516000000.000	0.102	0.083	0.106
18518000000.000	0.102	0.093	0.097
18520000000.000	0.102	0.088	0.086
18500200000.000	0.102	0.092	0.092
18502200000.000	0.102	0.087	0.113
18504200000.000	0.102	0.101	0.105
18506200000.000	0.102	0.092	0.119
18508200000.000	0.102	0.071	0.109
18510200000.000	0.102	0.053	0.122
18512200000.000	0.102	0.066	0.113
18514200000.000	0.102	0.075	0.107
18516200000.000	0.102	0.090	0.122
18518200000.000	0.102	0.093	0.105
18500400000.000	0.102	0.119	0.099
18502400000.000	0.102	0.097	0.088
18504400000.000	0.102	0.087	0.121
18506400000.000	0.102	0.076	0.108
18508400000.000	0.102	0.067	0.089
18510400000.000	0.102	0.060	0.108
18512400000.000	0.102	0.063	0.116
18514400000.000	0.102	0.067	0.114
18516400000.000	0.102	0.084	0.111
18518400000.000	0.102	0.088	0.101
18500600000.000	0.102	0.090	0.091
18502600000.000	0.102	0.106	0.118
18504600000.000	0.102	0.084	0.115
18506600000.000	0.102	0.083	0.119
18508600000.000	0.102	0.065	0.100
18510600000.000	0.102	0.047	0.099
18512600000.000	0.102	0.056	0.102
18514600000.000	0.102	0.063	0.101
18516600000.000	0.102	0.096	0.108
18518600000.000	0.102	0.085	0.108
18500800000.000	0.102	0.096	0.111
18502800000.000	0.102	0.107	0.096
18504800000.000	0.102	0.102	0.101
18506800000.000	0.102	0.072	0.104
18508800000.000	0.102	0.064	0.099
18510800000.000	0.102	0.068	0.137
18512800000.000	0.102	0.052	0.116
18514800000.000	0.102	0.069	0.103
18516800000.000	0.102	0.084	0.113
18518800000.000	0.102	0.085	0.115
18501000000.000	0.102	0.093	0.109
18503000000.000	0.102	0.089	0.109
18505000000.000	0.102	0.079	0.115
18507000000.000	0.102	0.078	0.115
18509000000.000	0.102	0.054	0.103
18511000000.000	0.102	0.069	0.105
18513000000.000	0.102	0.067	0.112
18515000000.000	0.102	0.066	0.097
18517000000.000	0.102	0.083	0.110
18519000000.000	0.102	0.098	0.117
18501200000.000	0.102	0.098	0.101
18503200000.000	0.102	0.093	0.102
18505200000.000	0.102	0.075	0.109
18507200000.000	0.102	0.072	0.105
18509200000.000	0.102	0.066	0.108
18511200000.000	0.102	0.061	0.105
18513200000.000	0.102	0.060	0.109
18515200000.000	0.102	0.080	0.109
18517200000.000	0.102	0.086	0.106
18519200000.000	0.102	0.091	0.110
18501400000.000	0.102	0.099	0.109
18503400000.000	0.102	0.084	0.110
18505400000.000	0.102	0.082	0.102
18507400000.000	0.102	0.063	0.090
18509400000.000	0.102	0.068	0.112
18511400000.000	0.102	0.056	0.113
18513400000.000	0.102	0.066	0.104
18515400000.000	0.102	0.063	0.105
18517400000.000	0.102	0.091	0.100
18519400000.000	0.102	0.091	0.102
18501600000.000	0.102	0.101	0.118
18503600000.000	0.102	0.088	0.114
18505600000.000	0.102	0.094	0.111
18507600000.000	0.102	0.061	0.093
18509600000.000	0.102	0.064	0.125
18511600000.000	0.102	0.059	0.111
18513600000.000	0.102	0.065	0.093
18515600000.000	0.102	0.082	0.099
18517600000.000	0.102	0.083	0.097
18519600000.000	0.102	0.110	0.102
18501800000.000	0.102	0.099	0.101
18503800000.000	0.102	0.093	0.105
18505800000.000	0.102	0.081	0.115
18507800000.000	0.102	0.068	0.107
18509800000.000	0.102	0.063	0.109
18511800000.000	0.102	0.062	0.105
18513800000.000	0.102	0.075	0.115
18515800000.000	0.102	0.086	0.105
18517800000.000	0.102	0.105	0.102
18519800000.000	0.102	0.099	0.103
