# Filename	C:\Users\labuser\Documents\Data\2018-11-05\52_fscan.txt
# Date	2018-11-6-17:6
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 25 dB. Laser at -100 GHz with -10 GHz Limit. MW Pulse from Laser -200 ns to -100 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	0.125	0.180	0.171
18485000000.000	0.125	0.181	0.173
18490000000.000	0.125	0.200	0.187
18495000000.000	0.125	0.162	0.174
18500000000.000	0.125	0.175	0.174
18505000000.000	0.125	0.148	0.188
18510000000.000	0.125	0.123	0.201
18515000000.000	0.125	0.133	0.196
18520000000.000	0.125	0.148	0.173
18525000000.000	0.125	0.184	0.178
18530000000.000	0.125	0.167	0.145
18535000000.000	0.125	0.166	0.180
18540000000.000	0.125	0.194	0.175
18480500000.000	0.125	0.177	0.174
18485500000.000	0.125	0.177	0.180
18490500000.000	0.125	0.181	0.174
18495500000.000	0.125	0.183	0.164
18500500000.000	0.125	0.183	0.174
18505500000.000	0.125	0.141	0.176
18510500000.000	0.125	0.116	0.186
18515500000.000	0.125	0.139	0.172
18520500000.000	0.125	0.154	0.181
18525500000.000	0.125	0.172	0.178
18530500000.000	0.125	0.146	0.186
18535500000.000	0.125	0.163	0.176
18481000000.000	0.125	0.186	0.185
18486000000.000	0.125	0.191	0.182
18491000000.000	0.125	0.178	0.171
18496000000.000	0.125	0.181	0.182
18501000000.000	0.125	0.160	0.204
18506000000.000	0.125	0.159	0.161
18511000000.000	0.125	0.118	0.177
18516000000.000	0.125	0.173	0.185
18521000000.000	0.125	0.173	0.174
18526000000.000	0.125	0.169	0.159
18531000000.000	0.125	0.185	0.153
18536000000.000	0.125	0.191	0.139
18481500000.000	0.125	0.199	0.188
18486500000.000	0.125	0.157	0.164
18491500000.000	0.125	0.192	0.166
18496500000.000	0.125	0.161	0.159
18501500000.000	0.125	0.158	0.175
18506500000.000	0.125	0.164	0.183
18511500000.000	0.125	0.132	0.187
18516500000.000	0.125	0.162	0.171
18521500000.000	0.125	0.172	0.194
18526500000.000	0.125	0.187	0.171
18531500000.000	0.125	0.172	0.173
18536500000.000	0.125	0.184	0.177
18482000000.000	0.125	0.185	0.194
18487000000.000	0.125	0.168	0.178
18492000000.000	0.125	0.176	0.173
18497000000.000	0.125	0.169	0.168
18502000000.000	0.125	0.158	0.173
18507000000.000	0.125	0.137	0.186
18512000000.000	0.125	0.111	0.165
18517000000.000	0.125	0.151	0.172
18522000000.000	0.125	0.184	0.173
18527000000.000	0.125	0.165	0.173
18532000000.000	0.125	0.164	0.187
18537000000.000	0.125	0.171	0.176
18482500000.000	0.125	0.167	0.173
18487500000.000	0.125	0.164	0.186
18492500000.000	0.125	0.169	0.191
18497500000.000	0.125	0.184	0.195
18502500000.000	0.125	0.162	0.185
18507500000.000	0.125	0.138	0.166
18512500000.000	0.125	0.131	0.184
18517500000.000	0.125	0.159	0.187
18522500000.000	0.125	0.177	0.160
18527500000.000	0.125	0.195	0.179
18532500000.000	0.125	0.150	0.169
18537500000.000	0.125	0.159	0.188
18483000000.000	0.125	0.172	0.180
18488000000.000	0.125	0.191	0.182
18493000000.000	0.125	0.171	0.192
18498000000.000	0.125	0.176	0.197
18503000000.000	0.125	0.160	0.161
18508000000.000	0.125	0.133	0.164
18513000000.000	0.125	0.123	0.185
18518000000.000	0.125	0.166	0.186
18523000000.000	0.125	0.177	0.179
18528000000.000	0.125	0.172	0.188
18533000000.000	0.125	0.163	0.184
18538000000.000	0.125	0.171	0.180
18483500000.000	0.125	0.174	0.150
18488500000.000	0.125	0.178	0.156
18493500000.000	0.125	0.179	0.161
18498500000.000	0.125	0.176	0.195
18503500000.000	0.125	0.138	0.163
18508500000.000	0.125	0.130	0.183
18513500000.000	0.125	0.115	0.181
18518500000.000	0.125	0.164	0.174
18523500000.000	0.125	0.213	0.184
18528500000.000	0.125	0.172	0.186
18533500000.000	0.125	0.183	0.182
18538500000.000	0.125	0.188	0.169
18484000000.000	0.125	0.183	0.169
18489000000.000	0.125	0.168	0.171
18494000000.000	0.125	0.182	0.199
18499000000.000	0.125	0.156	0.176
18504000000.000	0.125	0.158	0.193
18509000000.000	0.125	0.143	0.160
18514000000.000	0.125	0.129	0.161
18519000000.000	0.125	0.149	0.174
18524000000.000	0.125	0.157	0.178
18529000000.000	0.125	0.155	0.170
18534000000.000	0.125	0.180	0.174
18539000000.000	0.125	0.174	0.172
18484500000.000	0.125	0.171	0.163
18489500000.000	0.125	0.169	0.182
18494500000.000	0.125	0.163	0.171
18499500000.000	0.125	0.162	0.177
18504500000.000	0.125	0.171	0.184
18509500000.000	0.125	0.127	0.178
18514500000.000	0.125	0.130	0.173
18519500000.000	0.125	0.179	0.185
18524500000.000	0.125	0.200	0.204
18529500000.000	0.125	0.151	0.167
18534500000.000	0.125	0.165	0.168
18539500000.000	0.125	0.180	0.188
