# Delay scan
# MW at 19 dB, 18.5132 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.0 (38 dB)
# 0 mV static
i	d	s	sb	n	nb
6376.000	68116.000	0.178	-0.008	-0.331	0.172
6375.000	68126.000	0.139	-0.008	-0.331	0.172
6374.000	68136.000	0.194	-0.008	-0.331	0.172
6373.000	68146.000	0.153	-0.008	-0.331	0.172
6372.000	68156.000	0.161	-0.008	-0.331	0.172
6371.000	68166.000	0.162	-0.008	-0.331	0.172
6370.000	68176.000	0.155	-0.008	-0.331	0.172
6369.000	68186.000	0.156	-0.008	-0.331	0.172
6368.000	68196.000	0.141	-0.008	-0.331	0.172
6367.000	68206.000	0.141	-0.008	-0.331	0.172
6366.000	68216.000	0.133	-0.008	-0.331	0.172
6365.000	68226.000	0.156	-0.008	-0.331	0.172
6364.000	68236.000	0.142	-0.008	-0.331	0.172
6363.000	68246.000	0.144	-0.008	-0.331	0.172
6362.000	68256.000	0.165	-0.008	-0.331	0.172
6361.000	68266.000	0.158	-0.008	-0.331	0.172
6360.000	68276.000	0.157	-0.008	-0.331	0.172
6359.000	68286.000	0.131	-0.008	-0.331	0.172
6358.000	68296.000	0.139	-0.008	-0.331	0.172
6357.000	68306.000	0.138	-0.008	-0.331	0.172
6356.000	68316.000	0.127	-0.008	-0.331	0.172
6355.000	68326.000	0.146	-0.008	-0.331	0.172
6354.000	68336.000	0.145	-0.008	-0.331	0.172
6353.000	68346.000	0.147	-0.008	-0.331	0.172
6352.000	68356.000	0.159	-0.008	-0.331	0.172
6351.000	68366.000	0.166	-0.008	-0.331	0.172
6350.000	68376.000	0.159	-0.008	-0.331	0.172
6349.000	68386.000	0.174	-0.008	-0.331	0.172
6348.000	68396.000	0.158	-0.008	-0.331	0.172
6347.000	68406.000	0.171	-0.008	-0.331	0.172
6346.000	68416.000	0.167	-0.008	-0.331	0.172
6345.000	68426.000	0.157	-0.008	-0.331	0.172
6344.000	68436.000	0.159	-0.008	-0.331	0.172
6343.000	68446.000	0.158	-0.008	-0.331	0.172
6342.000	68456.000	0.136	-0.008	-0.331	0.172
6341.000	68466.000	0.159	-0.008	-0.331	0.172
6340.000	68476.000	0.142	-0.008	-0.331	0.172
6339.000	68486.000	0.159	-0.008	-0.331	0.172
6338.000	68496.000	0.191	-0.008	-0.331	0.172
6337.000	68506.000	0.180	-0.008	-0.331	0.172
6336.000	68516.000	0.168	-0.008	-0.331	0.172
6335.000	68526.000	0.162	-0.008	-0.331	0.172
6334.000	68536.000	0.183	-0.008	-0.331	0.172
6333.000	68546.000	0.151	-0.008	-0.331	0.172
6332.000	68556.000	0.134	-0.008	-0.331	0.172
6331.000	68566.000	0.145	-0.008	-0.331	0.172
6330.000	68576.000	0.124	-0.008	-0.331	0.172
6329.000	68586.000	0.126	-0.008	-0.331	0.172
6328.000	68596.000	0.129	-0.008	-0.331	0.172
6327.000	68606.000	0.109	-0.008	-0.331	0.172
6326.000	68616.000	0.113	-0.008	-0.331	0.172
6325.000	68626.000	0.104	-0.008	-0.331	0.172
6324.000	68636.000	0.127	-0.008	-0.331	0.172
6323.000	68646.000	0.137	-0.008	-0.331	0.172
6322.000	68656.000	0.122	-0.008	-0.331	0.172
