# Delay scan
# MW at 19 dB, 18.5117 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.0 (38 dB)
# 240 mV static
i	d	s	sb	n	nb
4782.000	76087.000	0.052	-0.028	-0.256	0.178
4781.000	76097.000	0.049	-0.028	-0.256	0.178
4780.000	76107.000	0.051	-0.028	-0.256	0.178
4779.000	76117.000	0.064	-0.028	-0.256	0.178
4778.000	76127.000	0.068	-0.028	-0.256	0.178
4777.000	76137.000	0.064	-0.028	-0.256	0.178
4776.000	76147.000	0.066	-0.028	-0.256	0.178
4775.000	76157.000	0.055	-0.028	-0.256	0.178
4774.000	76167.000	0.055	-0.028	-0.256	0.178
4773.000	76177.000	0.053	-0.028	-0.256	0.178
4772.000	76187.000	0.070	-0.028	-0.256	0.178
4771.000	76197.000	0.057	-0.028	-0.256	0.178
4770.000	76207.000	0.072	-0.028	-0.256	0.178
4769.000	76217.000	0.062	-0.028	-0.256	0.178
4768.000	76227.000	0.069	-0.028	-0.256	0.178
4767.000	76237.000	0.059	-0.028	-0.256	0.178
4766.000	76247.000	0.068	-0.028	-0.256	0.178
4765.000	76257.000	0.073	-0.028	-0.256	0.178
4764.000	76267.000	0.055	-0.028	-0.256	0.178
4763.000	76277.000	0.063	-0.028	-0.256	0.178
4762.000	76287.000	0.063	-0.028	-0.256	0.178
4761.000	76297.000	0.060	-0.028	-0.256	0.178
4760.000	76307.000	0.058	-0.028	-0.256	0.178
4759.000	76317.000	0.061	-0.028	-0.256	0.178
4758.000	76327.000	0.053	-0.028	-0.256	0.178
4757.000	76337.000	0.058	-0.028	-0.256	0.178
4756.000	76347.000	0.066	-0.028	-0.256	0.178
4755.000	76357.000	0.064	-0.028	-0.256	0.178
4754.000	76367.000	0.058	-0.028	-0.256	0.178
4753.000	76377.000	0.056	-0.028	-0.256	0.178
4752.000	76387.000	0.056	-0.028	-0.256	0.178
4751.000	76397.000	0.053	-0.028	-0.256	0.178
4750.000	76407.000	0.053	-0.028	-0.256	0.178
4749.000	76417.000	0.068	-0.028	-0.256	0.178
4748.000	76427.000	0.067	-0.028	-0.256	0.178
4747.000	76437.000	0.075	-0.028	-0.256	0.178
4746.000	76447.000	0.071	-0.028	-0.256	0.178
4745.000	76457.000	0.081	-0.028	-0.256	0.178
4744.000	76467.000	0.056	-0.028	-0.256	0.178
4743.000	76477.000	0.060	-0.028	-0.256	0.178
4742.000	76487.000	0.057	-0.028	-0.256	0.178
4741.000	76497.000	0.070	-0.028	-0.256	0.178
4740.000	76507.000	0.063	-0.028	-0.256	0.178
4739.000	76517.000	0.063	-0.028	-0.256	0.178
4738.000	76527.000	0.057	-0.028	-0.256	0.178
4737.000	76537.000	0.064	-0.028	-0.256	0.178
4736.000	76547.000	0.063	-0.028	-0.256	0.178
4735.000	76557.000	0.057	-0.028	-0.256	0.178
4734.000	76567.000	0.067	-0.028	-0.256	0.178
4733.000	76577.000	0.081	-0.028	-0.256	0.178
4732.000	76587.000	0.082	-0.028	-0.256	0.178
4731.000	76597.000	0.072	-0.028	-0.256	0.178
4730.000	76607.000	0.052	-0.028	-0.256	0.178
4729.000	76617.000	0.061	-0.028	-0.256	0.178
4728.000	76627.000	0.045	-0.028	-0.256	0.178
4727.000	76637.000	0.068	-0.028	-0.256	0.178
4726.000	76647.000	0.063	-0.028	-0.256	0.178
4725.000	76657.000	0.050	-0.028	-0.256	0.178
4724.000	76667.000	0.046	-0.028	-0.256	0.178
4723.000	76677.000	0.050	-0.028	-0.256	0.178
4722.000	76687.000	0.061	-0.028	-0.256	0.178
4721.000	76697.000	0.064	-0.028	-0.256	0.178
4720.000	76707.000	0.073	-0.028	-0.256	0.178
4719.000	76717.000	0.057	-0.028	-0.256	0.178
4718.000	76727.000	0.047	-0.028	-0.256	0.178
4717.000	76737.000	0.045	-0.028	-0.256	0.178
4716.000	76747.000	0.053	-0.028	-0.256	0.178
4715.000	76757.000	0.053	-0.028	-0.256	0.178
4714.000	76767.000	0.059	-0.028	-0.256	0.178
4713.000	76777.000	0.042	-0.028	-0.256	0.178
4712.000	76787.000	0.053	-0.028	-0.256	0.178
4711.000	76797.000	0.052	-0.028	-0.256	0.178
4710.000	76807.000	0.046	-0.028	-0.256	0.178
4709.000	76817.000	0.056	-0.028	-0.256	0.178
4708.000	76827.000	0.044	-0.028	-0.256	0.178
4707.000	76837.000	0.043	-0.028	-0.256	0.178
4706.000	76847.000	0.056	-0.028	-0.256	0.178
4705.000	76857.000	0.054	-0.028	-0.256	0.178
4704.000	76867.000	0.060	-0.028	-0.256	0.178
4703.000	76877.000	0.060	-0.028	-0.256	0.178
4702.000	76887.000	0.053	-0.028	-0.256	0.178
4701.000	76897.000	0.061	-0.028	-0.256	0.178
4700.000	76907.000	0.057	-0.028	-0.256	0.178
4699.000	76917.000	0.055	-0.028	-0.256	0.178
4698.000	76927.000	0.077	-0.028	-0.256	0.178
4697.000	76937.000	0.080	-0.028	-0.256	0.178
4696.000	76947.000	0.059	-0.028	-0.256	0.178
4695.000	76957.000	0.048	-0.028	-0.256	0.178
4694.000	76967.000	0.041	-0.028	-0.256	0.178
4693.000	76977.000	0.034	-0.028	-0.256	0.178
4692.000	76987.000	0.045	-0.028	-0.256	0.178
4691.000	76997.000	0.043	-0.028	-0.256	0.178
4690.000	77007.000	0.047	-0.028	-0.256	0.178
4689.000	77017.000	0.057	-0.028	-0.256	0.178
4688.000	77027.000	0.061	-0.028	-0.256	0.178
4687.000	77037.000	0.048	-0.028	-0.256	0.178
4686.000	77047.000	0.041	-0.028	-0.256	0.178
4685.000	77057.000	0.047	-0.028	-0.256	0.178
4684.000	77067.000	0.056	-0.028	-0.256	0.178
4683.000	77077.000	0.050	-0.028	-0.256	0.178
4682.000	77087.000	0.055	-0.028	-0.256	0.178
4681.000	77097.000	0.074	-0.028	-0.256	0.178
4680.000	77107.000	0.084	-0.028	-0.256	0.178
4679.000	77117.000	0.081	-0.028	-0.256	0.178
4678.000	77127.000	0.068	-0.028	-0.256	0.178
4677.000	77137.000	0.073	-0.028	-0.256	0.178
4676.000	77147.000	0.067	-0.028	-0.256	0.178
4675.000	77157.000	0.053	-0.028	-0.256	0.178
4674.000	77167.000	0.050	-0.028	-0.256	0.178
