# Delay scan
# MW at 19 dB, 18.5112 GHz x2, 18.6 dB
# Laser at 365897 GHz, 1st Resonance.
# PM at 1.4 (35 dB)
# 80 mV static
i	d	s	sb	n	nb
4782.000	76087.000	0.079	-0.016	-0.175	0.160
4781.000	76097.000	0.057	-0.016	-0.175	0.160
4780.000	76107.000	0.059	-0.016	-0.175	0.160
4779.000	76117.000	0.067	-0.016	-0.175	0.160
4778.000	76127.000	0.072	-0.016	-0.175	0.160
4777.000	76137.000	0.068	-0.016	-0.175	0.160
4776.000	76147.000	0.058	-0.016	-0.175	0.160
4775.000	76157.000	0.059	-0.016	-0.175	0.160
4774.000	76167.000	0.060	-0.016	-0.175	0.160
4773.000	76177.000	0.053	-0.016	-0.175	0.160
4772.000	76187.000	0.060	-0.016	-0.175	0.160
4771.000	76197.000	0.055	-0.016	-0.175	0.160
4770.000	76207.000	0.055	-0.016	-0.175	0.160
4769.000	76217.000	0.064	-0.016	-0.175	0.160
4768.000	76227.000	0.061	-0.016	-0.175	0.160
4767.000	76237.000	0.061	-0.016	-0.175	0.160
4766.000	76247.000	0.074	-0.016	-0.175	0.160
4765.000	76257.000	0.060	-0.016	-0.175	0.160
4764.000	76267.000	0.048	-0.016	-0.175	0.160
4763.000	76277.000	0.064	-0.016	-0.175	0.160
4762.000	76287.000	0.057	-0.016	-0.175	0.160
4761.000	76297.000	0.070	-0.016	-0.175	0.160
4760.000	76307.000	0.053	-0.016	-0.175	0.160
4759.000	76317.000	0.059	-0.016	-0.175	0.160
4758.000	76327.000	0.056	-0.016	-0.175	0.160
4757.000	76337.000	0.057	-0.016	-0.175	0.160
4756.000	76347.000	0.060	-0.016	-0.175	0.160
4755.000	76357.000	0.064	-0.016	-0.175	0.160
4754.000	76367.000	0.062	-0.016	-0.175	0.160
4753.000	76377.000	0.057	-0.016	-0.175	0.160
4752.000	76387.000	0.045	-0.016	-0.175	0.160
4751.000	76397.000	0.050	-0.016	-0.175	0.160
4750.000	76407.000	0.047	-0.016	-0.175	0.160
4749.000	76417.000	0.052	-0.016	-0.175	0.160
4748.000	76427.000	0.066	-0.016	-0.175	0.160
4747.000	76437.000	0.072	-0.016	-0.175	0.160
4746.000	76447.000	0.069	-0.016	-0.175	0.160
4745.000	76457.000	0.059	-0.016	-0.175	0.160
4744.000	76467.000	0.046	-0.016	-0.175	0.160
4743.000	76477.000	0.042	-0.016	-0.175	0.160
4742.000	76487.000	0.051	-0.016	-0.175	0.160
4741.000	76497.000	0.065	-0.016	-0.175	0.160
4740.000	76507.000	0.061	-0.016	-0.175	0.160
4739.000	76517.000	0.056	-0.016	-0.175	0.160
4738.000	76527.000	0.053	-0.016	-0.175	0.160
4737.000	76537.000	0.060	-0.016	-0.175	0.160
4736.000	76547.000	0.034	-0.016	-0.175	0.160
4735.000	76557.000	0.034	-0.016	-0.175	0.160
4734.000	76567.000	0.029	-0.016	-0.175	0.160
4733.000	76577.000	0.037	-0.016	-0.175	0.160
4732.000	76587.000	0.042	-0.016	-0.175	0.160
4731.000	76597.000	0.042	-0.016	-0.175	0.160
4730.000	76607.000	0.050	-0.016	-0.175	0.160
4729.000	76617.000	0.043	-0.016	-0.175	0.160
4728.000	76627.000	0.048	-0.016	-0.175	0.160
4727.000	76637.000	0.053	-0.016	-0.175	0.160
4726.000	76647.000	0.063	-0.016	-0.175	0.160
4725.000	76657.000	0.053	-0.016	-0.175	0.160
4724.000	76667.000	0.059	-0.016	-0.175	0.160
4723.000	76677.000	0.063	-0.016	-0.175	0.160
4722.000	76687.000	0.073	-0.016	-0.175	0.160
4721.000	76697.000	0.069	-0.016	-0.175	0.160
4720.000	76707.000	0.052	-0.016	-0.175	0.160
4719.000	76717.000	0.051	-0.016	-0.175	0.160
4718.000	76727.000	0.047	-0.016	-0.175	0.160
4717.000	76737.000	0.038	-0.016	-0.175	0.160
4716.000	76747.000	0.047	-0.016	-0.175	0.160
4715.000	76757.000	0.042	-0.016	-0.175	0.160
4714.000	76767.000	0.053	-0.016	-0.175	0.160
4713.000	76777.000	0.063	-0.016	-0.175	0.160
4712.000	76787.000	0.066	-0.016	-0.175	0.160
4711.000	76797.000	0.064	-0.016	-0.175	0.160
4710.000	76807.000	0.068	-0.016	-0.175	0.160
4709.000	76817.000	0.052	-0.016	-0.175	0.160
4708.000	76827.000	0.055	-0.016	-0.175	0.160
4707.000	76837.000	0.045	-0.016	-0.175	0.160
4706.000	76847.000	0.047	-0.016	-0.175	0.160
4705.000	76857.000	0.051	-0.016	-0.175	0.160
4704.000	76867.000	0.063	-0.016	-0.175	0.160
4703.000	76877.000	0.057	-0.016	-0.175	0.160
4702.000	76887.000	0.051	-0.016	-0.175	0.160
4701.000	76897.000	0.044	-0.016	-0.175	0.160
4700.000	76907.000	0.046	-0.016	-0.175	0.160
4699.000	76917.000	0.077	-0.016	-0.175	0.160
4698.000	76927.000	0.071	-0.016	-0.175	0.160
4697.000	76937.000	0.074	-0.016	-0.175	0.160
4696.000	76947.000	0.067	-0.016	-0.175	0.160
4695.000	76957.000	0.062	-0.016	-0.175	0.160
4694.000	76967.000	0.052	-0.016	-0.175	0.160
4693.000	76977.000	0.053	-0.016	-0.175	0.160
4692.000	76987.000	0.056	-0.016	-0.175	0.160
4691.000	76997.000	0.058	-0.016	-0.175	0.160
4690.000	77007.000	0.046	-0.016	-0.175	0.160
4689.000	77017.000	0.048	-0.016	-0.175	0.160
4688.000	77027.000	0.048	-0.016	-0.175	0.160
4687.000	77037.000	0.054	-0.016	-0.175	0.160
4686.000	77047.000	0.053	-0.016	-0.175	0.160
4685.000	77057.000	0.058	-0.016	-0.175	0.160
4684.000	77067.000	0.045	-0.016	-0.175	0.160
4683.000	77077.000	0.033	-0.016	-0.175	0.160
4682.000	77087.000	0.049	-0.016	-0.175	0.160
4681.000	77097.000	0.044	-0.016	-0.175	0.160
4680.000	77107.000	0.060	-0.016	-0.175	0.160
4679.000	77117.000	0.061	-0.016	-0.175	0.160
4678.000	77127.000	0.051	-0.016	-0.175	0.160
4677.000	77137.000	0.045	-0.016	-0.175	0.160
4676.000	77147.000	0.043	-0.016	-0.175	0.160
4675.000	77157.000	0.056	-0.016	-0.175	0.160
4674.000	77167.000	0.044	-0.016	-0.175	0.160
4673.000	77177.000	0.046	-0.016	-0.175	0.160
4672.000	77187.000	0.056	-0.016	-0.175	0.160
4671.000	77197.000	0.049	-0.016	-0.175	0.160
4670.000	77207.000	0.054	-0.016	-0.175	0.160
4669.000	77217.000	0.056	-0.016	-0.175	0.160
4668.000	77227.000	0.051	-0.016	-0.175	0.160
4667.000	77237.000	0.047	-0.016	-0.175	0.160
4666.000	77247.000	0.063	-0.016	-0.175	0.160
4665.000	77257.000	0.051	-0.016	-0.175	0.160
4664.000	77267.000	0.061	-0.016	-0.175	0.160
4663.000	77277.000	0.065	-0.016	-0.175	0.160
4662.000	77287.000	0.068	-0.016	-0.175	0.160
4661.000	77297.000	0.065	-0.016	-0.175	0.160
4660.000	77307.000	0.077	-0.016	-0.175	0.160
4659.000	77317.000	0.055	-0.016	-0.175	0.160
4658.000	77327.000	0.058	-0.016	-0.175	0.160
4657.000	77337.000	0.068	-0.016	-0.175	0.160
4656.000	77347.000	0.079	-0.016	-0.175	0.160
4655.000	77357.000	0.064	-0.016	-0.175	0.160
4654.000	77367.000	0.066	-0.016	-0.175	0.160
4653.000	77377.000	0.054	-0.016	-0.175	0.160
