# Delay scan
# MW at 19 dB, 18.5117 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.0 (38 dB)
# -80 mV static
i	d	s	sb	n	nb
4782.000	76087.000	0.088	-0.054	-0.269	0.156
4781.000	76097.000	0.080	-0.054	-0.269	0.156
4780.000	76107.000	0.081	-0.054	-0.269	0.156
4779.000	76117.000	0.078	-0.054	-0.269	0.156
4778.000	76127.000	0.081	-0.054	-0.269	0.156
4777.000	76137.000	0.066	-0.054	-0.269	0.156
4776.000	76147.000	0.065	-0.054	-0.269	0.156
4775.000	76157.000	0.065	-0.054	-0.269	0.156
4774.000	76167.000	0.064	-0.054	-0.269	0.156
4773.000	76177.000	0.085	-0.054	-0.269	0.156
4772.000	76187.000	0.093	-0.054	-0.269	0.156
4771.000	76197.000	0.086	-0.054	-0.269	0.156
4770.000	76207.000	0.092	-0.054	-0.269	0.156
4769.000	76217.000	0.082	-0.054	-0.269	0.156
4768.000	76227.000	0.078	-0.054	-0.269	0.156
4767.000	76237.000	0.082	-0.054	-0.269	0.156
4766.000	76247.000	0.093	-0.054	-0.269	0.156
4765.000	76257.000	0.077	-0.054	-0.269	0.156
4764.000	76267.000	0.078	-0.054	-0.269	0.156
4763.000	76277.000	0.091	-0.054	-0.269	0.156
4762.000	76287.000	0.100	-0.054	-0.269	0.156
4761.000	76297.000	0.112	-0.054	-0.269	0.156
4760.000	76307.000	0.111	-0.054	-0.269	0.156
4759.000	76317.000	0.097	-0.054	-0.269	0.156
4758.000	76327.000	0.104	-0.054	-0.269	0.156
4757.000	76337.000	0.103	-0.054	-0.269	0.156
4756.000	76347.000	0.094	-0.054	-0.269	0.156
4755.000	76357.000	0.084	-0.054	-0.269	0.156
4754.000	76367.000	0.083	-0.054	-0.269	0.156
4753.000	76377.000	0.081	-0.054	-0.269	0.156
4752.000	76387.000	0.104	-0.054	-0.269	0.156
4751.000	76397.000	0.096	-0.054	-0.269	0.156
4750.000	76407.000	0.082	-0.054	-0.269	0.156
4749.000	76417.000	0.084	-0.054	-0.269	0.156
4748.000	76427.000	0.081	-0.054	-0.269	0.156
4747.000	76437.000	0.079	-0.054	-0.269	0.156
4746.000	76447.000	0.075	-0.054	-0.269	0.156
4745.000	76457.000	0.083	-0.054	-0.269	0.156
4744.000	76467.000	0.091	-0.054	-0.269	0.156
4743.000	76477.000	0.093	-0.054	-0.269	0.156
4742.000	76487.000	0.082	-0.054	-0.269	0.156
4741.000	76497.000	0.085	-0.054	-0.269	0.156
4740.000	76507.000	0.084	-0.054	-0.269	0.156
4739.000	76517.000	0.086	-0.054	-0.269	0.156
4738.000	76527.000	0.088	-0.054	-0.269	0.156
4737.000	76537.000	0.090	-0.054	-0.269	0.156
4736.000	76547.000	0.075	-0.054	-0.269	0.156
4735.000	76557.000	0.090	-0.054	-0.269	0.156
4734.000	76567.000	0.088	-0.054	-0.269	0.156
4733.000	76577.000	0.070	-0.054	-0.269	0.156
4732.000	76587.000	0.081	-0.054	-0.269	0.156
4731.000	76597.000	0.071	-0.054	-0.269	0.156
4730.000	76607.000	0.085	-0.054	-0.269	0.156
4729.000	76617.000	0.097	-0.054	-0.269	0.156
4728.000	76627.000	0.111	-0.054	-0.269	0.156
4727.000	76637.000	0.109	-0.054	-0.269	0.156
4726.000	76647.000	0.098	-0.054	-0.269	0.156
4725.000	76657.000	0.088	-0.054	-0.269	0.156
4724.000	76667.000	0.089	-0.054	-0.269	0.156
4723.000	76677.000	0.098	-0.054	-0.269	0.156
4722.000	76687.000	0.117	-0.054	-0.269	0.156
4721.000	76697.000	0.108	-0.054	-0.269	0.156
4720.000	76707.000	0.095	-0.054	-0.269	0.156
4719.000	76717.000	0.088	-0.054	-0.269	0.156
4718.000	76727.000	0.110	-0.054	-0.269	0.156
4717.000	76737.000	0.100	-0.054	-0.269	0.156
4716.000	76747.000	0.105	-0.054	-0.269	0.156
4715.000	76757.000	0.099	-0.054	-0.269	0.156
4714.000	76767.000	0.090	-0.054	-0.269	0.156
4713.000	76777.000	0.079	-0.054	-0.269	0.156
4712.000	76787.000	0.100	-0.054	-0.269	0.156
4711.000	76797.000	0.097	-0.054	-0.269	0.156
4710.000	76807.000	0.088	-0.054	-0.269	0.156
4709.000	76817.000	0.087	-0.054	-0.269	0.156
4708.000	76827.000	0.095	-0.054	-0.269	0.156
4707.000	76837.000	0.093	-0.054	-0.269	0.156
4706.000	76847.000	0.101	-0.054	-0.269	0.156
4705.000	76857.000	0.088	-0.054	-0.269	0.156
4704.000	76867.000	0.076	-0.054	-0.269	0.156
4703.000	76877.000	0.076	-0.054	-0.269	0.156
4702.000	76887.000	0.078	-0.054	-0.269	0.156
4701.000	76897.000	0.086	-0.054	-0.269	0.156
4700.000	76907.000	0.103	-0.054	-0.269	0.156
4699.000	76917.000	0.094	-0.054	-0.269	0.156
4698.000	76927.000	0.088	-0.054	-0.269	0.156
4697.000	76937.000	0.096	-0.054	-0.269	0.156
4696.000	76947.000	0.103	-0.054	-0.269	0.156
4695.000	76957.000	0.096	-0.054	-0.269	0.156
4694.000	76967.000	0.093	-0.054	-0.269	0.156
4693.000	76977.000	0.094	-0.054	-0.269	0.156
4692.000	76987.000	0.095	-0.054	-0.269	0.156
4691.000	76997.000	0.087	-0.054	-0.269	0.156
4690.000	77007.000	0.097	-0.054	-0.269	0.156
4689.000	77017.000	0.079	-0.054	-0.269	0.156
4688.000	77027.000	0.073	-0.054	-0.269	0.156
4687.000	77037.000	0.069	-0.054	-0.269	0.156
4686.000	77047.000	0.069	-0.054	-0.269	0.156
4685.000	77057.000	0.083	-0.054	-0.269	0.156
4684.000	77067.000	0.084	-0.054	-0.269	0.156
4683.000	77077.000	0.079	-0.054	-0.269	0.156
4682.000	77087.000	0.083	-0.054	-0.269	0.156
4681.000	77097.000	0.080	-0.054	-0.269	0.156
4680.000	77107.000	0.088	-0.054	-0.269	0.156
4679.000	77117.000	0.084	-0.054	-0.269	0.156
4678.000	77127.000	0.079	-0.054	-0.269	0.156
4677.000	77137.000	0.101	-0.054	-0.269	0.156
4676.000	77147.000	0.105	-0.054	-0.269	0.156
4675.000	77157.000	0.089	-0.054	-0.269	0.156
4674.000	77167.000	0.088	-0.054	-0.269	0.156
4673.000	77177.000	0.089	-0.054	-0.269	0.156
4672.000	77187.000	0.091	-0.054	-0.269	0.156
4671.000	77197.000	0.097	-0.054	-0.269	0.156
4670.000	77207.000	0.082	-0.054	-0.269	0.156
4669.000	77217.000	0.094	-0.054	-0.269	0.156
4668.000	77227.000	0.090	-0.054	-0.269	0.156
4667.000	77237.000	0.092	-0.054	-0.269	0.156
4666.000	77247.000	0.098	-0.054	-0.269	0.156
4665.000	77257.000	0.107	-0.054	-0.269	0.156
4664.000	77267.000	0.104	-0.054	-0.269	0.156
4663.000	77277.000	0.085	-0.054	-0.269	0.156
4662.000	77287.000	0.078	-0.054	-0.269	0.156
4661.000	77297.000	0.083	-0.054	-0.269	0.156
4660.000	77307.000	0.082	-0.054	-0.269	0.156
4659.000	77317.000	0.083	-0.054	-0.269	0.156
4658.000	77327.000	0.082	-0.054	-0.269	0.156
4657.000	77337.000	0.078	-0.054	-0.269	0.156
4656.000	77347.000	0.093	-0.054	-0.269	0.156
4655.000	77357.000	0.100	-0.054	-0.269	0.156
4654.000	77367.000	0.091	-0.054	-0.269	0.156
4653.000	77377.000	0.097	-0.054	-0.269	0.156
4652.000	77387.000	0.094	-0.054	-0.269	0.156
4651.000	77397.000	0.085	-0.054	-0.269	0.156
4650.000	77407.000	0.083	-0.054	-0.269	0.156
4649.000	77417.000	0.082	-0.054	-0.269	0.156
4648.000	77427.000	0.082	-0.054	-0.269	0.156
4647.000	77437.000	0.068	-0.054	-0.269	0.156
4646.000	77447.000	0.087	-0.054	-0.269	0.156
4645.000	77457.000	0.084	-0.054	-0.269	0.156
4644.000	77467.000	0.080	-0.054	-0.269	0.156
4643.000	77477.000	0.078	-0.054	-0.269	0.156
4642.000	77487.000	0.087	-0.054	-0.269	0.156
4641.000	77497.000	0.104	-0.054	-0.269	0.156
4640.000	77507.000	0.094	-0.054	-0.269	0.156
4639.000	77517.000	0.106	-0.054	-0.269	0.156
4638.000	77527.000	0.091	-0.054	-0.269	0.156
4637.000	77537.000	0.099	-0.054	-0.269	0.156
