# Delay scan
# MW at 19 dB, 18.5140 GHz x2, 18.6 dB
# Laser at 365858 GHz, 0th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
# Norm:	-0.321996
# NB:	
i	d	s	b
6214.000	69736.000	0.106	-0.031
6213.000	69746.000	0.109	-0.031
6212.000	69756.000	0.125	-0.031
6211.000	69766.000	0.120	-0.031
6210.000	69776.000	0.166	-0.031
6209.000	69786.000	0.148	-0.031
6208.000	69796.000	0.146	-0.031
6207.000	69806.000	0.155	-0.031
6206.000	69816.000	0.151	-0.031
6205.000	69826.000	0.150	-0.031
6204.000	69836.000	0.147	-0.031
6203.000	69846.000	0.123	-0.031
6202.000	69856.000	0.135	-0.031
6201.000	69866.000	0.132	-0.031
6200.000	69876.000	0.134	-0.031
6199.000	69886.000	0.147	-0.031
6198.000	69896.000	0.143	-0.031
6197.000	69906.000	0.137	-0.031
6196.000	69916.000	0.109	-0.031
6195.000	69926.000	0.147	-0.031
6194.000	69936.000	0.142	-0.031
6193.000	69946.000	0.144	-0.031
6192.000	69956.000	0.130	-0.031
6191.000	69966.000	0.131	-0.031
6190.000	69976.000	0.137	-0.031
6189.000	69986.000	0.135	-0.031
6188.000	69996.000	0.118	-0.031
6187.000	70006.000	0.101	-0.031
6186.000	70016.000	0.105	-0.031
6185.000	70026.000	0.110	-0.031
6184.000	70036.000	0.139	-0.031
6183.000	70046.000	0.108	-0.031
6182.000	70056.000	0.132	-0.031
6181.000	70066.000	0.113	-0.031
6180.000	70076.000	0.127	-0.031
6179.000	70086.000	0.123	-0.031
6178.000	70096.000	0.105	-0.031
6177.000	70106.000	0.130	-0.031
6176.000	70116.000	0.130	-0.031
6175.000	70126.000	0.129	-0.031
6174.000	70136.000	0.118	-0.031
6173.000	70146.000	0.113	-0.031
6172.000	70156.000	0.155	-0.031
6171.000	70166.000	0.141	-0.031
6170.000	70176.000	0.165	-0.031
6169.000	70186.000	0.136	-0.031
6168.000	70196.000	0.148	-0.031
6167.000	70206.000	0.154	-0.031
6166.000	70216.000	0.122	-0.031
6165.000	70226.000	0.140	-0.031
6164.000	70236.000	0.139	-0.031
6163.000	70246.000	0.160	-0.031
6162.000	70256.000	0.146	-0.031
6161.000	70266.000	0.140	-0.031
6160.000	70276.000	0.129	-0.031
6159.000	70286.000	0.117	-0.031
6158.000	70296.000	0.134	-0.031
6157.000	70306.000	0.135	-0.031
6156.000	70316.000	0.110	-0.031
