# Delay scan
# MW at 19 dB
# Laser at 365872 GHz, 0.5th Resonance.
# PM at 1.4 (35 dB)
# 0 mV static
i	d	s	b
0.000	52184.000	0.020	-0.014
1.000	52194.000	0.073	-0.014
2.000	52204.000	0.061	-0.014
3.000	52214.000	0.047	-0.014
4.000	52224.000	0.075	-0.014
5.000	52234.000	0.050	-0.014
6.000	52244.000	0.048	-0.014
7.000	52254.000	0.058	-0.014
8.000	52264.000	0.165	-0.014
9.000	52274.000	0.066	-0.014
10.000	52284.000	0.047	-0.014
11.000	52294.000	0.043	-0.014
12.000	52304.000	0.084	-0.014
13.000	52314.000	0.131	-0.014
14.000	52324.000	0.070	-0.014
15.000	52334.000	0.136	-0.014
16.000	52344.000	0.050	-0.014
17.000	52354.000	0.075	-0.014
18.000	52364.000	0.104	-0.014
19.000	52374.000	0.040	-0.014
20.000	52384.000	0.123	-0.014
21.000	52394.000	0.085	-0.014
22.000	52404.000	0.090	-0.014
23.000	52414.000	0.052	-0.014
24.000	52424.000	0.028	-0.014
25.000	52434.000	0.052	-0.014
26.000	52444.000	0.163	-0.014
27.000	52454.000	0.123	-0.014
28.000	52464.000	0.083	-0.014
29.000	52474.000	0.048	-0.014
30.000	52484.000	0.113	-0.014
31.000	52494.000	0.057	-0.014
32.000	52504.000	0.059	-0.014
33.000	52514.000	0.051	-0.014
34.000	52524.000	0.062	-0.014
35.000	52534.000	0.072	-0.014
36.000	52544.000	0.073	-0.014
37.000	52554.000	0.057	-0.014
38.000	52564.000	0.107	-0.014
39.000	52574.000	0.078	-0.014
40.000	52584.000	0.061	-0.014
41.000	52594.000	0.052	-0.014
42.000	52604.000	0.038	-0.014
43.000	52614.000	0.043	-0.014
44.000	52624.000	0.045	-0.014
45.000	52634.000	0.100	-0.014
46.000	52644.000	0.067	-0.014
47.000	52654.000	0.064	-0.014
48.000	52664.000	0.088	-0.014
49.000	52674.000	0.078	-0.014
50.000	52684.000	0.049	-0.014
51.000	52694.000	0.073	-0.014
